District,District Code,School Name,School Code,
Boston,2,Franklin D. Roosevelt K-8 School,96,
Boston,2,William E. Russell Elementary School,97,
Boston,2,Pauline A. Shaw Elementary School,98,
Boston,2,Snowden International School at Copley,99,
Boston,2,Charles Sumner Elementary School,100,
Boston,2,Charles H. Taylor Elementary School,101,
Boston,2,TechBoston Academy,102,
Boston,2,James P. Timilty Middle School,103,
Boston,2,Maurice Tobin K-8 School,104,
Boston,2,William Monroe Trotter K-8 School,105,
Boston,2,Joseph P. Tynan Elementary School,106,
Boston,2,Mario Umana Academy,107,
Boston,2,UP Academy Boston,108,
Boston,2,UP Academy Dorchester,109,
Boston,2,UP Academy Holland,110,
Boston,2,Urban Science Academy,111,
Boston,2,Warren/Prescott K-8 School,112,
Boston,2,West Roxbury Academy,113,
Boston,2,F. Lyman Winship Elementary School,114,
Boston,2,John Winthrop Elementary School,115,
Boston,2,Young Achievers Science and Math K-8 School,116,
Lowell,3,Bailey Elementary School,1,
Lowell,3,Butler Middle School,2,
Lowell,3,Cardinal O'Connell Alternative School,3,
Lowell,3,Daley Middle School,4,
Lowell,3,Greenhalge Elementary School,5,
Lowell,3,Laura Lee Therapeutic Day School,6,
Lowell,3,LeBlanc Therapeutic Day School,7,
Lowell,3,Lowell High School,8,
Lowell,3,McAuliffe Elementary School,9,
Lowell,3,McAvinnue Elementary School,10,
Lowell,3,Moody Elementary School,11,
Lowell,3,Morey Elementary School,12,
Lowell,3,Murkland Elementary School,13,
Lowell,3,Pawtucketville Memorial Elementary School,14,
Lowell,3,Pyne Arts School,15,
Lowell,3,Reilly Elementary School,16,
Lowell,3,Riverside School,17,
Lowell,3,Robinson Middle School,18,
Lowell,3,Shaughnessy Elementary School,19,
Lowell,3,STEM Academy at the Rogers School,20,
Lowell,3,Stoklosa Middle School,21,
Lowell,3,Sullivan Middle School,22,
Lowell,3,The Career Academy,23,
Lowell,3,Wang Middle School,24,
Lowell,3,Washington Elementary School,25,
Lowell,3,Bartlett Community Partnership School,26,
Lowell,3,Adie Day School,51,
Lowell,3,Abraham Lincoln Elementary School,52,
Revere,4,Beachmont Elementary School,1,
Revere,4,Garfield Elementary School,2,
Revere,4,Garfield Middle School,3,
Revere,4,Hill Elementary School,4,
Revere,4,Lincoln Elementary School,5,
Revere,4,Paul Revere Elementary School,6,
Revere,4,Whelan Elementary School,7,
Revere,4,Susan B. Anthony Middle School,8,
Revere,4,Rumney Marsh Academy,9,
Revere,4,Revere High School,10,
Revere,4,Seacoast High School,11,
Somerville,5,Arthur D. Healey School,1,
Somerville,5,Benjamin G. Brown School,2,
Somerville,5,Dr. Albert F. Argenziano School at Lincoln Park,3,
Somerville,5,East Somerville Community School,4,
Somerville,5,Next Wave/Full Circle,5,
Somerville,5,John F. Kennedy Elementary School,6,
Somerville,5,Somerville High School,8,
Somerville,5,West Somerville Neighborhood School,9,
Somerville,5,Winter Hill Community Innovation School,10,
Somerville,5,Michael E Capuano Early Childhood Center,12,
Winchester,6,Ambrose Elementary School,1,
Winchester,6,Lincoln Elementary School,2,
Winchester,6,Lynch Elementary School,3,
Winchester,6,Muraco Elementary School,4,
Winchester,6,Vinson-Owen Elementary School,5,
Winchester,6,McCall Middle School,6,
Winchester,6,Winchester High School,7,
Milford,7,Woodland Elementary School,1,
Milford,7,Milford High School,2,
Milford,7,Stacy Middle School,26,
Milford,7,Brookside Elementary School,3,
Milford,7,Memorial Elementary School,4,
Milford,7,Shining Star Early Childhood Center,5,
Wareham,8,Minot Forest Elementary School,2,
Wareham,8,Wareham Middle School,3,
Wareham,8,Wareham High School,4,
Wareham,8,Wareham Cooperative Alternative School,8,
Wareham,8,John William Decas Elementary School,1,
