Category,Category ID,Category Description,Category Short Description,Subcategory,Subcategory ID,Subcategory Description,Measures,Measure Description,Measure ID,Source,Source Notes,Show items in accordion?,Active admin & survey items,Question/item (22-23),Question/item (21-22),Question/item (20-21),Original Item (19-20 surveys),Original Item (18-19 surveys),Original Item (17-18 surveys),Original Item (16-17 surveys),Survey Item ID,Reverse Scored,HS only admin item?,On Short Form?,Qualtrics ID,Admin Data Benchmark (Absolute) ,Admin Data Unit (Absolute) ,Item Warning High,Item Watch Low,Item Watch High,Item Growth Low,Item Growth High,Item Approval Low,Item Approval High,Item Ideal Low,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Curricular Strength & Variety,"Draws on anonymous teacher reports on the strength and variety of the school curriculum. It also includes the percentage of students completing the recommended state core curriculum, the ratio of students to total classes, the ratio of students to elective classes, and the percentage of students participating in Advanced Placement courses in high school.",3B-i,Admin Data,,TRUE,TRUE,Student to number of electives ratio (completely free choice) (HS only),Student to number of electives ratio (completely free choice) (HS only),Student to number of electives ratio (completely free choice) (HS only),Student to number of electives ratio (completely free choice) (HS only),Student to number of electives ratio (completely free choice) (HS only),Student to number of electives ratio (completely free choice) (HS only),Student to number of electives ratio (completely free choice) (HS only),a-curv-i6,X,X,,#N/A,2,ratio,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",Student Commitment To Learning,4B,Seeks to determine the degree to which students are invested in the process of learning. It includes measures of engagement in school and degree completion. ,Degree Completion,Tracks the percentage of students in each school who receive a high school diploma within 4 years and 5 years of starting 9th grade.,4B-ii,Admin Data,"MA DESE, 2019-20",TRUE,TRUE,4-year on-time graduation rate (HS only),4-year on-time graduation rate (HS only),4-year on-time graduation rate (HS only),4-year on-time graduation rate (HS only),4-year on-time graduation rate (HS only),4-year on-time graduation rate (HS only),4-year on-time graduation rate (HS only),a-degr-i1,,X,,#N/A,80,percentage,2.98,2.99,3.49,3.5,3.99,4,4.4,4.41,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",Student Commitment To Learning,4B,Seeks to determine the degree to which students are invested in the process of learning. It includes measures of engagement in school and degree completion. ,Degree Completion,Tracks the percentage of students in each school who receive a high school diploma within 4 years and 5 years of starting 9th grade.,4B-ii,Admin Data,"NCES, 2016",TRUE,TRUE,Percent students retained in a grade,Percent students retained in a grade,Percent students retained in a grade,Percent students retained in a grade,Percent students retained in a grade,Percent students retained in a grade,Percent students retained in a grade,a-degr-i2,X,,,#N/A,2,percentage,2.98,2.99,3.49,3.5,3.99,4,4.4,4.41,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",Student Commitment To Learning,4B,Seeks to determine the degree to which students are invested in the process of learning. It includes measures of engagement in school and degree completion. ,Degree Completion,Tracks the percentage of students in each school who receive a high school diploma within 4 years and 5 years of starting 9th grade.,4B-ii,Admin Data,"MA DESE, 2019-20",TRUE,TRUE,5-year graduation rate (HS only),5-year graduation rate (HS only),5-year graduation rate (HS only),5-year graduation rate (HS only),5-year graduation rate (HS only),5-year graduation rate (HS only),5-year graduation rate (HS only),a-degr-i3,,X,,#N/A,85,percentage,2.98,2.99,3.49,3.5,3.99,4,4.4,4.41,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals. It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,Admin Data,"Constructed by MCIEA staff, based on research from Kraft and Papay",TRUE,TRUE,Percentage teachers with 3+ years of experience,Percentage teachers with 5+ years of experience,Percentage teachers with 5+ years of experience,Percentage teachers with 5+ years of experience,Percentage teachers with 5+ years of experience,Percentage teachers with 5+ years of experience,Percentage teachers with 5+ years of experience,a-exp-i1,,,,,80,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,Admin Data,"NCES, 2015-16",TRUE,TRUE,Percentage teachers National Board certified,Percentage teachers National Board certified,Percentage teachers National Board certified,Percentage teachers National Board certified,Percentage teachers National Board certified,Percentage teachers National Board certified,Percentage teachers National Board certified,a-exp-i2,,,,,10,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,Admin Data,Center for Education Data and Research,TRUE,TRUE,Percentage teachers teaching in area of licensure,Percentage teachers teaching in area of licensure,Percentage teachers teaching in area of licensure,Percentage teachers teaching in area of licensure,Percentage teachers teaching in area of licensure,Percentage teachers teaching in area of licensure,Percentage teachers teaching in area of licensure,a-exp-i3,,,,,95,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",Performance,4A,Seeks to determine the degree to which students are performing as expected and on-track for graduation. It includes measures of overall performance as rated by teachers. ,Overall Performance,Draws on anonymous teacher reports about the efforts and abilities of their students. In the future this measure will also include the results of teacher-designed curriculum-embedded performance assessments.,4A-i,Admin Data,Benchmark is the statewide average 9th grade passing rate in the 21-22 school year,TRUE,TRUE,9th grade passing rate,Percent students who fail 1 core course (HS only),Percent students who fail 1 core course (HS only),Percent students who fail 1 core course (HS only),Percent students who fail 1 core course (HS only),Percent students who fail 1 core course (HS only),Percent students who fail 1 core course (HS only),a-ovpe-i1,,X,,#N/A,75.8,percentage,2.98,2.99,3.49,3.5,3.99,4,4.5,4.51,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",Performance,4A,Seeks to determine the degree to which students are performing as expected and on-track for graduation. It includes measures of overall performance as rated by teachers. ,Overall Performance,Draws on anonymous teacher reports about the efforts and abilities of their students. In the future this measure will also include the results of teacher-designed curriculum-embedded performance assessments.,4A-i,Admin Data,Constructed by MCIEA staff,TRUE,FALSE,,Percent students who fail 2 core courses (HS only),Percent students who fail 2 core courses (HS only),Percent students who fail 2 core courses (HS only),Percent students who fail 2 core courses (HS only),Percent students who fail 2 core courses (HS only),Percent students who fail 2 core courses (HS only),a-ovpe-i2,,X,,#N/A,1,percentage,2.98,2.99,3.49,3.5,3.99,4,4.5,4.51,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,Admin Data,Constructed by MCIEA staff,TRUE,TRUE,Percent teacher returning (including retirement),Percent teacher returning (excluding retirement),Percent teacher returning (excluding retirement),Percent teacher returning (excluding retirement),Percent teacher returning (excluding retirement),Percent teacher returning (excluding retirement),Percent teacher returning (excluding retirement),a-pcom-i1,,,,#N/A,85,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,Admin Data,Ed Week,TRUE,TRUE,Percent teachers with 10+ days absent,Percent teachers with 10+ days absent,Percent teachers with 10+ days absent,Percent teachers with 10+ days absent,Percent teachers with 10+ days absent,Percent teachers with 10+ days absent,Percent teachers with 10+ days absent,a-pcom-i2,X,,,#N/A,28,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,Admin Data,Benchmark is the % of teachers of color statewide in the 21-22 school year ,TRUE,TRUE,% Teachers of Color,,,,,,,a-pcom-i3,,,,#N/A,12.8,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Health,5D,"Seeks to determine the degree to which the school supports various health outcomes.  It includes measures of student social, emotional, and physical health.",Physical Health,Draws on anonymous teacher reports about student access to physical education and activity. It also includes a measure of medical staff to student ratio. ,5D-ii,Admin Data,Constructed by MCIEA staff,TRUE,TRUE,Medical staff to student ratio (schoolwide),Medical staff to student ratio ,Medical staff to student ratio,Medical staff to student ratio,Medical staff to student ratio,Medical staff to student ratio,Medical staff to student ratio,a-phya-i1,X,,,#N/A,750,ratio,2.98,2.99,3.49,3.5,3.99,4,4.3,4.31,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Physical Safety,Draws on anonymous student reports about the degree to which they feel physically safe at school. It also measures the use of exclusionary discipline at the school.,2A-i,Admin Data,NCES,TRUE,TRUE,Percent of students suspended,Student to suspensions ratio,Student to suspensions ratio,Student to suspensions ratio,Student to suspensions ratio,Student to suspensions ratio,Student to suspensions ratio,a-phys-i1,X,,,#N/A,5.27,percent,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Physical Safety,Draws on anonymous student reports about the degree to which they feel physically safe at school. It also measures the use of exclusionary discipline at the school.,2A-i,Admin Data,Only captured to calculate the ratio,TRUE,FALSE,,Number of student suspensions,Number of student suspensions,Number of student suspensions,Number of student suspensions,Number of student suspensions,Number of student suspensions,a-phys-i2,,,,#N/A,n/a,number,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Physical Safety,Draws on anonymous student reports about the degree to which they feel physically safe at school. It also measures the use of exclusionary discipline at the school.,2A-i,Admin Data,only captured to calculate the chronic absence ratio,TRUE,TRUE,Percent of students suspended for 10+ days,Number of students suspended for 10+ days,Number of students suspended for 10+ days,Number of students suspended for 10+ days,Number of students suspended for 10+ days,Number of students suspended for 10+ days,Number of students suspended for 10+ days,a-phys-i3,X,,,#N/A,1,percent,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Creative & Performing Arts,5C,Seeks to determine the degree to which students are being nurtured as artistic and creative people. It includes measures of participation in creative & performing arts and valuing creative & performing arts.,Participation In Creative & Performing Arts,Draws on anonymous teacher and student reports about the frequency of student exposure to creative and performing arts. It also includes a measure of student art instruction per week. ,5C-i,Admin Data,,TRUE,TRUE,Percent of students enrolled in at least 1 arts course,Hours of arts instruction per student per week,Hours of arts instruction per student per week,Hours of arts instruction per student per week,Hours of arts instruction per student per week,Hours of arts instruction per student per week,Hours of arts instruction per student per week,a-picp-i1,,,,#N/A,77.5 (statewide average in the 22-23 school year),number,2.98,2.99,3.49,3.5,3.99,4,4.3,4.31,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff.,Physical Space & Materials,Draws on anonymous teacher reports about their access to high-quality materials and facilities. It also includes administrative data on class size.,3A-i,Admin Data,Constructed by MCIEA staff,TRUE,TRUE,Average class size,Average class size,Average class size,Average class size,Average class size,Average class size,Average class size,a-reso-i1,X,,,#N/A,20,number,2.98,2.99,3.49,3.5,3.99,4,4.8,4.81,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff.,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,Admin Data,American School Counselor Association (2005),TRUE,TRUE,Student to guidance counselor ratio (HS only),Student to guidance counselor ratio,Student to guidance counselor ratio,Student to guidance counselor ratio,Student to guidance counselor ratio,Student to guidance counselor ratio,Student to guidance counselor ratio,a-sust-i1,X,,,#N/A,250,ratio,2.98,2.99,3.49,3.5,3.99,4,4.9,4.91,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff.,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,Admin Data,American School Counselor Association (2005),TRUE,TRUE,Student to mental health counselor ratio,Student to mental health counselor ratio,Student to mental health counselor ratio,Student to mental health counselor ratio,Student to mental health counselor ratio,Student to mental health counselor ratio,Student to mental health counselor ratio,a-sust-i2,X,,,#N/A,250,ratio,2.98,2.99,3.49,3.5,3.99,4,4.9,4.91,
