District,School,Category,NonLikert Title,NL_Value,,Z-Score,B_MCIEA,B_Expert,B_ExpertDesc,NL_DataType
Boston,Kilmer K-8,4-A-i,Student Growth Percentile (Math),41.5,2.1,-0.9,47,50,State average,
Boston,King K-8,4-A-i,Student Growth Percentile (ELA),44,2.2,-0.8,49.1,50,State average,
Boston,King K-8,4-A-i,Student Growth Percentile (Math),35.5,1.8,-1.2,47,50,State average,
Boston,Frederick Middle,4-A-i,Student Growth Percentile (ELA),28,1.4,-1.6,49.1,50,State average,
Boston,Frederick Middle,4-A-i,Student Growth Percentile (Math),35,1.8,-1.2,47,50,State average,
Boston,Lyndon K-8,4-A-i,Student Growth Percentile (ELA),49,2.5,-0.5,49.1,50,State average,
Boston,Lyndon K-8,4-A-i,Student Growth Percentile (Math),52,2.6,-0.4,47,50,State average,
Boston,Lyon K-8,4-A-i,Student Growth Percentile (ELA),55,2.8,-0.2,49.1,50,State average,
Boston,Lyon K-8,4-A-i,Student Growth Percentile (Math),55,2.8,-0.2,47,50,State average,
Boston,Bradley Elementary,4-A-i,Student Growth Percentile (ELA),54,2.7,-0.3,49.1,50,State average,
Boston,Bradley Elementary,4-A-i,Student Growth Percentile (Math),24,1.2,-1.8,47,50,State average,
Boston,Umana Academy,4-A-i,Student Growth Percentile (ELA),41,2.1,-0.9,49.1,50,State average,
Boston,Umana Academy,4-A-i,Student Growth Percentile (Math),37.5,1.9,-1.1,47,50,State average,
Boston,Mather Elementary,4-A-i,Student Growth Percentile (ELA),40,2,-1,49.1,50,State average,
Boston,Mather Elementary,4-A-i,Student Growth Percentile (Math),48,2.4,-0.6,47,50,State average,
Boston,Mattahunt Elementary,4-A-i,Student Growth Percentile (ELA),45,2.3,-0.7,49.1,50,State average,
Boston,Mattahunt Elementary,4-A-i,Student Growth Percentile (Math),44.5,2.2,-0.8,47,50,State average,
Boston,Tobin K-8,4-A-i,Student Growth Percentile (ELA),45,2.3,-0.7,49.1,50,State average,
Boston,Tobin K-8,4-A-i,Student Growth Percentile (Math),28,1.4,-1.6,47,50,State average,
Boston,Perkins Elementary,4-A-i,Student Growth Percentile (ELA),42,2.1,-0.9,49.1,50,State average,
Boston,Perkins Elementary,4-A-i,Student Growth Percentile (Math),37.5,1.9,-1.1,47,50,State average,
Boston,Mildred Avenue K-8 School,4-A-i,Student Growth Percentile (ELA),46,2.3,-0.7,49.1,50,State average,
Boston,Mildred Avenue K-8 School,4-A-i,Student Growth Percentile (Math),44,2.2,-0.8,47,50,State average,
Boston,Mission Hill K-8,4-A-i,Student Growth Percentile (ELA),45,2.3,-0.7,49.1,50,State average,
Boston,Mission Hill K-8,4-A-i,Student Growth Percentile (Math),39,2,-1,47,50,State average,
Boston,Mozart Elementary,4-A-i,Student Growth Percentile (ELA),61,3.1,0.1,49.1,50,State average,
Boston,Mozart Elementary,4-A-i,Student Growth Percentile (Math),58,2.9,-0.1,47,50,State average,
Boston,Hale Elementary,4-A-i,Student Growth Percentile (ELA),78,3.9,0.9,49.1,50,State average,
Boston,Hale Elementary,4-A-i,Student Growth Percentile (Math),77,3.9,0.9,47,50,State average,
Boston,Holmes Elementary,4-A-i,Student Growth Percentile (ELA),36,1.8,-1.2,49.1,50,State average,
Boston,Holmes Elementary,4-A-i,Student Growth Percentile (Math),17.5,0.9,-2.1,47,50,State average,
Boston,O'Bryant School Mathematics and Science,4-A-i,"Student Growth Percentile (ELA, middle school only)",46,2.3,-0.7,49.1,50,State average,
Boston,O'Bryant School Mathematics and Science,4-A-i,"Student Growth Percentile (Math, middle school only)",40,2,-1,47,50,State average,
Boston,Perry K-8,4-A-i,Student Growth Percentile (ELA),43,2.2,-0.8,49.1,50,State average,
Boston,Perry K-8,4-A-i,Student Growth Percentile (Math),64.5,3.2,0.2,47,50,State average,
Boston,Orchard Gardens K-8,4-A-i,Student Growth Percentile (ELA),33,1.7,-1.3,49.1,50,State average,
Boston,Orchard Gardens K-8,4-A-i,Student Growth Percentile (Math),28,1.4,-1.6,47,50,State average,
Boston,Patrick J. Kennedy Elementary,4-A-i,Student Growth Percentile (ELA),49,2.5,-0.5,49.1,50,State average,
Boston,Patrick J. Kennedy Elementary,4-A-i,Student Growth Percentile (Math),38,1.9,-1.1,47,50,State average,
Boston,Dever Elementary,4-A-i,Student Growth Percentile (ELA),55,2.8,-0.2,49.1,50,State average,
Boston,Dever Elementary,4-A-i,Student Growth Percentile (Math),70,3.5,0.5,47,50,State average,
Boston,Bates Elementary,4-A-i,Student Growth Percentile (ELA),29,1.5,-1.5,49.1,50,State average,
Boston,Bates Elementary,4-A-i,Student Growth Percentile (Math),32.5,1.6,-1.4,47,50,State average,
Boston,Quincy Upper,4-A-i,Student Growth Percentile (ELA),51,2.6,-0.4,49.1,50,State average,
Boston,Quincy Upper,4-A-i,Student Growth Percentile (Math),33,1.7,-1.3,47,50,State average,
Boston,Hernandez K-8,4-A-i,Student Growth Percentile (ELA),36,1.8,-1.2,49.1,50,State average,
Boston,Hernandez K-8,4-A-i,Student Growth Percentile (Math),31,1.6,-1.4,47,50,State average,
Boston,Murphy K-8,4-A-i,Student Growth Percentile (ELA),41,2.1,-0.9,49.1,50,State average,
Boston,Murphy K-8,4-A-i,Student Growth Percentile (Math),48,2.4,-0.6,47,50,State average,
Boston,Clap Elementary School,4-A-i,Student Growth Percentile (ELA),30,1.5,-1.5,49.1,50,State average,
Boston,Clap Elementary School,4-A-i,Student Growth Percentile (Math),30,1.5,-1.5,47,50,State average,
Boston,Adams Elementary,4-A-i,Student Growth Percentile (ELA),57,2.9,-0.1,49.1,50,State average,
Boston,Adams Elementary,4-A-i,Student Growth Percentile (Math),59.5,3,0,47,50,State average,
Boston,Mason Elementary,4-A-i,Student Growth Percentile (ELA),60,3,0,49.1,50,State average,
Boston,Mason Elementary,4-A-i,Student Growth Percentile (Math),67,3.4,0.4,47,50,State average,
Boston,Sarah Greenwood K-8,4-A-i,Student Growth Percentile (ELA),40,2,-1,49.1,50,State average,
Boston,Sarah Greenwood K-8,4-A-i,Student Growth Percentile (Math),35.5,1.8,-1.2,47,50,State average,
Boston,TechBoston Academy,4-A-i,"Student Growth Percentile (ELA, middle school only)",32,1.6,-1.4,49.1,50,State average,
Boston,TechBoston Academy,4-A-i,"Student Growth Percentile (Math, middle school only)",24.5,1.2,-1.8,47,50,State average,
Boston,Kenny Elementary,4-A-i,Student Growth Percentile (ELA),37,1.9,-1.1,49.1,50,State average,
Boston,Kenny Elementary,4-A-i,Student Growth Percentile (Math),51.5,2.6,-0.4,47,50,State average,
Boston,UP Academy Holland,4-A-i,Student Growth Percentile (ELA),55,2.8,-0.2,49.1,50,State average,
Boston,UP Academy Holland,4-A-i,Student Growth Percentile (Math),46,2.3,-0.7,47,50,State average,
Boston,Warren/Prescott K-8,4-A-i,Student Growth Percentile (ELA),49.5,2.5,-0.5,49.1,50,State average,
Boston,Warren/Prescott K-8,4-A-i,Student Growth Percentile (Math),42.5,2.1,-0.9,47,50,State average,
Boston,Irving Middle,4-A-i,Student Growth Percentile (ELA),34,1.7,-1.3,49.1,50,State average,
Boston,Irving Middle,4-A-i,Student Growth Percentile (Math),28,1.4,-1.6,47,50,State average,
Boston,Russell Elementary,4-A-i,Student Growth Percentile (ELA),50,2.5,-0.5,49.1,50,State average,
Boston,Russell Elementary,4-A-i,Student Growth Percentile (Math),56,2.8,-0.2,47,50,State average,
Boston,Channing Elementary,4-A-i,Student Growth Percentile (ELA),54.5,2.7,-0.3,49.1,50,State average,
Boston,Channing Elementary,4-A-i,Student Growth Percentile (Math),60.5,3,0,47,50,State average,
Boston,Ohrenberger K-8,4-A-i,Student Growth Percentile (ELA),56.5,2.8,-0.2,49.1,50,State average,
Boston,Ohrenberger K-8,4-A-i,Student Growth Percentile (Math),52,2.6,-0.4,47,50,State average,
Boston,McKinley Elementary,4-A-i,Student Growth Percentile (ELA),31,1.6,-1.4,49.1,50,State average,
Boston,McKinley Elementary,4-A-i,Student Growth Percentile (Math),31,1.6,-1.4,47,50,State average,
Boston,McKinley Middle,4-A-i,Student Growth Percentile (ELA),31,1.6,-1.4,49.1,50,State average,
Boston,McKinley Middle,4-A-i,Student Growth Percentile (Math),31,1.6,-1.4,47,50,State average,
Boston,Trotter Elementary,4-A-i,Student Growth Percentile (ELA),61.5,3.1,0.1,49.1,50,State average,
Boston,Trotter Elementary,4-A-i,Student Growth Percentile (Math),62,3.1,0.1,47,50,State average,
Boston,Winship Elementary,4-A-i,Student Growth Percentile (ELA),53.5,2.7,-0.3,49.1,50,State average,
Boston,Winship Elementary,4-A-i,Student Growth Percentile (Math),45.5,2.3,-0.7,47,50,State average,
Boston,Young Achievers Science & Math K-8,4-A-i,Student Growth Percentile (ELA),46,2.3,-0.7,49.1,50,State average,
Boston,Young Achievers Science & Math K-8,4-A-i,Student Growth Percentile (Math),62,3.1,0.1,47,50,State average,
Boston,UP Academy Boston,4-A-i,Student Growth Percentile (ELA),51,2.6,-0.4,49.1,50,State average,
Boston,UP Academy Boston,4-A-i,Student Growth Percentile (Math),46,2.3,-0.7,47,50,State average,
Boston,UP Academy Dorchester,4-A-i,Student Growth Percentile (ELA),32,1.6,-1.4,49.1,50,State average,
Boston,UP Academy Dorchester,4-A-i,Student Growth Percentile (Math),22,1.1,-1.9,47,50,State average,
Boston,Boston Green Academy,4-A-i,Student Growth Percentile (ELA),53,2.7,-0.3,49.1,50,State average,
Boston,Boston Green Academy,4-A-i,Student Growth Percentile (Math),26,1.3,-1.7,47,50,State average,
Boston,Dudley Street Neighborhood Charter School,4-A-i,Student Growth Percentile (ELA),52,2.6,-0.4,49.1,50,State average,
Boston,Dudley Street Neighborhood Charter School,4-A-i,Student Growth Percentile (Math),17,0.9,-2.1,47,50,State average,
Lowell,Lincoln Elementary School,4-A-i,Student Growth Percentile (ELA),55,2.8,-0.2,49.1,50,State average,
Lowell,Lincoln Elementary School,4-A-i,Student Growth Percentile (Math),65,3.3,0.3,47,50,State average,
Lowell,Butler Middle School,4-A-i,Student Growth Percentile (ELA),45,2.3,-0.7,49.1,50,State average,
Lowell,Butler Middle School,4-A-i,Student Growth Percentile (Math),42,2.1,-0.9,47,50,State average,
Lowell,Bartlett Community Partnership School,4-A-i,Student Growth Percentile (ELA),36.5,1.8,-1.2,49.1,50,State average,
Lowell,Bartlett Community Partnership School,4-A-i,Student Growth Percentile (Math),38,1.9,-1.1,47,50,State average,
Lowell,Morey Elementary School,4-A-i,Student Growth Percentile (ELA),41,2.1,-0.9,49.1,50,State average,
Lowell,Morey Elementary School,4-A-i,Student Growth Percentile (Math),56,2.8,-0.2,47,50,State average,
Lowell,Murkland Elementary School,4-A-i,Student Growth Percentile (ELA),41,2.1,-0.9,49.1,50,State average,
Lowell,Murkland Elementary School,4-A-i,Student Growth Percentile (Math),52,2.6,-0.4,47,50,State average,
Lowell,Wang Middle School,4-A-i,Student Growth Percentile (ELA),59,3,0,49.1,50,State average,
Lowell,Wang Middle School,4-A-i,Student Growth Percentile (Math),53,2.7,-0.3,47,50,State average,
Lowell,Bailey Elementary School,4-A-i,Student Growth Percentile (ELA),43,2.2,-0.8,49.1,50,State average,
Lowell,Bailey Elementary School,4-A-i,Student Growth Percentile (Math),57,2.9,-0.1,47,50,State average,
Lowell,Greenhalge Elementary School,4-A-i,Student Growth Percentile (ELA),38,1.9,-1.1,49.1,50,State average,
Lowell,Greenhalge Elementary School,4-A-i,Student Growth Percentile (Math),29,1.5,-1.5,47,50,State average,
Lowell,Robinson Middle School,4-A-i,Student Growth Percentile (ELA),43,2.2,-0.8,49.1,50,State average,
Lowell,Robinson Middle School,4-A-i,Student Growth Percentile (Math),46,2.3,-0.7,47,50,State average,
Lowell,Daley Middle School,4-A-i,Student Growth Percentile (ELA),55,2.8,-0.2,49.1,50,State average,
Lowell,Daley Middle School,4-A-i,Student Growth Percentile (Math),49,2.5,-0.5,47,50,State average,
Lowell,Sullivan Middle School,4-A-i,Student Growth Percentile (ELA),44,2.2,-0.8,49.1,50,State average,
Lowell,Sullivan Middle School,4-A-i,Student Growth Percentile (Math),38,1.9,-1.1,47,50,State average,
Lowell,Shaughnessy Elementary School,4-A-i,Student Growth Percentile (ELA),48,2.4,-0.6,49.1,50,State average,
Lowell,Shaughnessy Elementary School,4-A-i,Student Growth Percentile (Math),56.5,2.8,-0.2,47,50,State average,
Lowell,McAvinnue Elementary School,4-A-i,Student Growth Percentile (ELA),26,1.3,-1.7,49.1,50,State average,
Lowell,McAvinnue Elementary School,4-A-i,Student Growth Percentile (Math),25,1.3,-1.7,47,50,State average,
Lowell,Stoklosa Middle School,4-A-i,Student Growth Percentile (ELA),37,1.9,-1.1,49.1,50,State average,
Lowell,Stoklosa Middle School,4-A-i,Student Growth Percentile (Math),47,2.4,-0.6,47,50,State average,
Lowell,Moody Elementary School,4-A-i,Student Growth Percentile (ELA),50,2.5,-0.5,49.1,50,State average,
Lowell,Moody Elementary School,4-A-i,Student Growth Percentile (Math),59.5,3,0,47,50,State average,
Lowell,Pawtucketville Memorial Elementary School,4-A-i,Student Growth Percentile (ELA),44,2.2,-0.8,49.1,50,State average,
Lowell,Pawtucketville Memorial Elementary School,4-A-i,Student Growth Percentile (Math),40.5,2,-1,47,50,State average,
Lowell,Reilly Elementary School,4-A-i,Student Growth Percentile (ELA),61,3.1,0.1,49.1,50,State average,
Lowell,Reilly Elementary School,4-A-i,Student Growth Percentile (Math),45,2.3,-0.7,47,50,State average,
Lowell,Pyne Arts School,4-A-i,Student Growth Percentile (ELA),59.5,3,0,49.1,50,State average,
Lowell,Pyne Arts School,4-A-i,Student Growth Percentile (Math),50.5,2.5,-0.5,47,50,State average,
Lowell,STEM Academy at the Rogers School,4-A-i,Student Growth Percentile (ELA),25,1.3,-1.7,49.1,50,State average,
Lowell,STEM Academy at the Rogers School,4-A-i,Student Growth Percentile (Math),22,1.1,-1.9,47,50,State average,
Lowell,McAuliffe Elementary School,4-A-i,Student Growth Percentile (ELA),58,2.9,-0.1,49.1,50,State average,
Lowell,McAuliffe Elementary School,4-A-i,Student Growth Percentile (Math),80,4,1,47,50,State average,
Lowell,Washington Elementary School,4-A-i,Student Growth Percentile (ELA),57,2.9,-0.1,49.1,50,State average,
Lowell,Washington Elementary School,4-A-i,Student Growth Percentile (Math),56,2.8,-0.2,47,50,State average,
Revere,Whelan Elementary School,4-A-i,Student Growth Percentile (ELA),49,2.5,-0.5,49.1,50,State average,
Revere,Whelan Elementary School,4-A-i,Student Growth Percentile (Math),51,2.6,-0.4,47,50,State average,
Revere,Lincoln Elementary School,4-A-i,Student Growth Percentile (ELA),62,3.1,0.1,49.1,50,State average,
Revere,Lincoln Elementary School,4-A-i,Student Growth Percentile (Math),38,1.9,-1.1,47,50,State average,
Revere,Beachmont Elementary School,4-A-i,Student Growth Percentile (ELA),57,2.9,-0.1,49.1,50,State average,
Revere,Beachmont Elementary School,4-A-i,Student Growth Percentile (Math),71,3.6,0.6,47,50,State average,
Revere,Garfield Elementary School,4-A-i,Student Growth Percentile (ELA),46,2.3,-0.7,49.1,50,State average,
Revere,Garfield Elementary School,4-A-i,Student Growth Percentile (Math),58,2.9,-0.1,47,50,State average,
Revere,Garfield Middle School,4-A-i,Student Growth Percentile (ELA),50,2.5,-0.5,49.1,50,State average,
Revere,Garfield Middle School,4-A-i,Student Growth Percentile (Math),47,2.4,-0.6,47,50,State average,
Revere,Paul Revere Elementary School,4-A-i,Student Growth Percentile (ELA),59,3,0,49.1,50,State average,
Revere,Paul Revere Elementary School,4-A-i,Student Growth Percentile (Math),47,2.4,-0.6,47,50,State average,
Revere,Rumney Marsh Academy,4-A-i,Student Growth Percentile (ELA),51,2.6,-0.4,49.1,50,State average,
Revere,Rumney Marsh Academy,4-A-i,Student Growth Percentile (Math),43,2.2,-0.8,47,50,State average,
Revere,Hill Elementary School,4-A-i,Student Growth Percentile (ELA),58,2.9,-0.1,49.1,50,State average,
Revere,Hill Elementary School,4-A-i,Student Growth Percentile (Math),40.5,2,-1,47,50,State average,
Revere,Susan B. Anthony Middle School,4-A-i,Student Growth Percentile (ELA),53,2.7,-0.3,49.1,50,State average,
Revere,Susan B. Anthony Middle School,4-A-i,Student Growth Percentile (Math),48,2.4,-0.6,47,50,State average,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,4-A-i,Student Growth Percentile (ELA),58,2.9,-0.1,49.1,50,State average,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,4-A-i,Student Growth Percentile (Math),55,2.8,-0.2,47,50,State average,
Somerville,Arthur D. Healey School,4-A-i,Student Growth Percentile (ELA),68,3.4,0.4,49.1,50,State average,
Somerville,Arthur D. Healey School,4-A-i,Student Growth Percentile (Math),66,3.3,0.3,47,50,State average,
Somerville,Benjamin G. Brown School,4-A-i,Student Growth Percentile (ELA),67,3.4,0.4,49.1,50,State average,
Somerville,Benjamin G. Brown School,4-A-i,Student Growth Percentile (Math),76.5,3.8,0.8,47,50,State average,
Somerville,East Somerville Community School,4-A-i,Student Growth Percentile (ELA),61,3.1,0.1,49.1,50,State average,
Somerville,East Somerville Community School,4-A-i,Student Growth Percentile (Math),53,2.7,-0.3,47,50,State average,
Somerville,John F. Kennedy Elementary School,4-A-i,Student Growth Percentile (ELA),53,2.7,-0.3,49.1,50,State average,
