District,School,Category,NonLikert Title,NL_Value,Z-Score,B_MCIEA,B_Expert,B_ExpertDesc,NL_DataType
Revere,Revere High School,3-B-iii,Student to co-curricular activities ratio (HS only),36.6,,,,,
Revere,Revere High School,4-B-ii,4-year on-time graduation rate (HS only),93.6,5.3754,68.14,,,%
Revere,Revere High School,4-B-ii,5-year graduation rate (HS only),96.5,5.6699,73.15,,,%
Revere,Revere High School,4-D-i,College enrollment rate (HS only),85,0.568,77.37,,,%
Revere,Revere High School,4-D-ii,Percent positive work placement (HS only),,,96.5,,,%
Revere,Revere High School,4-D-ii,Student to career-technical education courses (HS only),0,-0.5,0,,,
Revere,Revere High School,5-C-i,Hours of arts instruction per student per week,7,,1.52,,,
Revere,Revere High School,5-D-ii,Medical staff to student ratio,897,1.3239,577.41,,,
Revere,Seacoast High School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Revere,Seacoast High School,1-A-i,Percentage teachers with 5+ years of experience,85,1.2702,67.41,,,%
Revere,Seacoast High School,1-A-i,Percentage teachers National Board certified,10,2.7898,1.91,,,%
Revere,Seacoast High School,1-B-i,Percent teacher returning (excluding retirement),80,-1.6716,92.26,,,%
Revere,Seacoast High School,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Seacoast High School,2-A-i,Violent incidents per student,0.314,5.2786,0.02,,,
Revere,Seacoast High School,2-C-i,Average daily attendance,75,-3.7099,94.57,,,%
Revere,Seacoast High School,2-C-i,Chronic absence rate,68,3.0833,18.06,,,%
Revere,Seacoast High School,3-A-i,Average class size,5.6,-4.0109,18.92,,,
Revere,Seacoast High School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Seacoast High School,3-A-ii,Student to art teacher ratio,50,-1.6716,472.08,,,
Revere,Seacoast High School,3-A-ii,Student to counselor ratio,33,-1.3724,365.89,,,
Revere,Seacoast High School,3-A-ii,Student to instructional support staff ratio,33,-0.874,236.29,,,
Revere,Seacoast High School,3-B-i,Student to number of electives ratio (HS only),15.13,0.2053,14.55,,,
Revere,Seacoast High School,3-B-i,Percent graduates completing MassCORE (HS only),89,0.0292,88.85,,,%
Revere,Seacoast High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),0,-1.4077,30.87,,,%
Revere,Seacoast High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),0,-1.4066,54.72,,,%
Revere,Seacoast High School,3-B-iii,Student to co-curricular activities ratio (HS only),,,,,,
Revere,Seacoast High School,4-B-ii,4-year on-time graduation rate (HS only),31.6,1.8148,68.14,,,%
Revere,Seacoast High School,4-B-ii,5-year graduation rate (HS only),42.3,2.4853,73.15,,,%
Revere,Seacoast High School,4-D-i,College enrollment rate (HS only),63,-1.0708,77.37,,,%
Revere,Seacoast High School,4-D-ii,Percent positive work placement (HS only),,,96.5,,,%
Revere,Seacoast High School,4-D-ii,Student to career-technical education courses (HS only),0,-0.5,0,,,
Revere,Seacoast High School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Revere,Seacoast High School,5-D-ii,Medical staff to student ratio,326,-1.0415,577.41,,,
Revere,Garfield Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Revere,Garfield Middle School,1-A-i,Percentage teachers with 5+ years of experience,51,-1.1854,67.41,,,%
Revere,Garfield Middle School,1-A-i,Percentage teachers National Board certified,2.3,0.1348,1.91,,,%
Revere,Garfield Middle School,1-B-i,Percent teacher returning (excluding retirement),86,-0.8537,92.26,,,%
Revere,Garfield Middle School,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Garfield Middle School,2-A-i,Violent incidents per student,0.054,0.602,0.02,,,
Revere,Garfield Middle School,2-C-i,Average daily attendance,96,0.2716,94.57,,,%
Revere,Garfield Middle School,2-C-i,Chronic absence rate,19,0.0578,18.06,,,%
Revere,Garfield Middle School,3-A-i,Average class size,19.5,0.1739,18.92,,,
Revere,Garfield Middle School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Garfield Middle School,3-A-ii,Student to art teacher ratio,550,0.3086,472.08,,,
Revere,Garfield Middle School,3-A-ii,Student to counselor ratio,157,-0.8612,365.89,,,
Revere,Garfield Middle School,3-A-ii,Student to instructional support staff ratio,,,236.29,,,
Revere,Garfield Middle School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Revere,Garfield Middle School,5-D-ii,Medical staff to student ratio,500,-0.3207,577.41,,,
Revere,Rumney Marsh Academy,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Revere,Rumney Marsh Academy,1-A-i,Percentage teachers with 5+ years of experience,46,-1.5465,67.41,,,%
Revere,Rumney Marsh Academy,1-A-i,Percentage teachers National Board certified,0,-0.6583,1.91,,,%
Revere,Rumney Marsh Academy,1-B-i,Percent teacher returning (excluding retirement),89,-0.4447,92.26,,,%
Revere,Rumney Marsh Academy,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Rumney Marsh Academy,2-A-i,Violent incidents per student,0.083,1.1232,0.02,,,
Revere,Rumney Marsh Academy,2-C-i,Average daily attendance,96,0.2716,94.57,,,%
Revere,Rumney Marsh Academy,2-C-i,Chronic absence rate,17,-0.0657,18.06,,,%
Revere,Rumney Marsh Academy,3-A-i,Average class size,20.3,0.4148,18.92,,,
Revere,Rumney Marsh Academy,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Rumney Marsh Academy,3-A-ii,Student to art teacher ratio,300,-0.6815,472.08,,,
Revere,Rumney Marsh Academy,3-A-ii,Student to counselor ratio,200,-0.6839,365.89,,,
Revere,Rumney Marsh Academy,3-A-ii,Student to instructional support staff ratio,300,0.2739,236.29,,,
Revere,Rumney Marsh Academy,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Revere,Rumney Marsh Academy,5-D-ii,Medical staff to student ratio,538,-0.1633,577.41,,,
Revere,Susan B. Anthony Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Revere,Susan B. Anthony Middle School,1-A-i,Percentage teachers with 5+ years of experience,64,-0.2465,67.41,,,%
Revere,Susan B. Anthony Middle School,1-A-i,Percentage teachers National Board certified,0,-0.6583,1.91,,,%
Revere,Susan B. Anthony Middle School,1-B-i,Percent teacher returning (excluding retirement),94,0.2369,92.26,,,%
Revere,Susan B. Anthony Middle School,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Susan B. Anthony Middle School,2-A-i,Violent incidents per student,0.075,0.9934,0.02,,,
Revere,Susan B. Anthony Middle School,2-C-i,Average daily attendance,95,0.082,94.57,,,%
Revere,Susan B. Anthony Middle School,2-C-i,Chronic absence rate,24,0.3665,18.06,,,%
Revere,Susan B. Anthony Middle School,3-A-i,Average class size,22.9,1.1976,18.92,,,
Revere,Susan B. Anthony Middle School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Susan B. Anthony Middle School,3-A-ii,Student to art teacher ratio,286,-0.737,472.08,,,
Revere,Susan B. Anthony Middle School,3-A-ii,Student to counselor ratio,190,-0.7251,365.89,,,
Revere,Susan B. Anthony Middle School,3-A-ii,Student to instructional support staff ratio,63,-0.745,236.29,,,
Revere,Susan B. Anthony Middle School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Revere,Susan B. Anthony Middle School,5-D-ii,Medical staff to student ratio,519,-0.242,577.41,,,
Revere,Whelan Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Revere,Whelan Elementary School,1-A-i,Percentage teachers with 5+ years of experience,80,0.9091,67.41,,,%
Revere,Whelan Elementary School,1-A-i,Percentage teachers National Board certified,0.03,-0.6479,1.91,,,%
Revere,Whelan Elementary School,1-B-i,Percent teacher returning (excluding retirement),95,0.3732,92.26,,,%
Revere,Whelan Elementary School,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Whelan Elementary School,2-A-i,Violent incidents per student,0.001,-0.3359,0.02,,,
Revere,Whelan Elementary School,2-C-i,Average daily attendance,95,0.082,94.57,,,%
Revere,Whelan Elementary School,2-C-i,Chronic absence rate,25,0.4283,18.06,,,%
Revere,Whelan Elementary School,3-A-i,Average class size,21.8,0.8664,18.92,,,
Revere,Whelan Elementary School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Whelan Elementary School,3-A-ii,Student to art teacher ratio,762,1.1482,472.08,,,
Revere,Whelan Elementary School,3-A-ii,Student to counselor ratio,762,1.6329,365.89,,,
Revere,Whelan Elementary School,3-A-ii,Student to instructional support staff ratio,23,-0.8955,236.29,,,
Revere,Whelan Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Revere,Whelan Elementary School,5-D-ii,Medical staff to student ratio,689,0.4623,577.41,,,
Revere,Beachmont Elementary School,1-A-i,Percentage teachers teaching in area of licensure,97,-4.561,99.81,,,%
Revere,Beachmont Elementary School,1-A-i,Percentage teachers with 5+ years of experience,67,-0.0298,67.41,,,%
Revere,Beachmont Elementary School,1-A-i,Percentage teachers National Board certified,0,-0.6583,1.91,,,%
Revere,Beachmont Elementary School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Revere,Beachmont Elementary School,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Beachmont Elementary School,2-A-i,Violent incidents per student,0.011,-0.1664,0.02,,,
Revere,Beachmont Elementary School,2-C-i,Average daily attendance,96,0.2716,94.57,,,%
Revere,Beachmont Elementary School,2-C-i,Chronic absence rate,18,-0.0039,18.06,,,%
Revere,Beachmont Elementary School,3-A-i,Average class size,18.7,-0.0669,18.92,,,
Revere,Beachmont Elementary School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Beachmont Elementary School,3-A-ii,Student to art teacher ratio,384,-0.3488,472.08,,,
Revere,Beachmont Elementary School,3-A-ii,Student to counselor ratio,384,0.0746,365.89,,,
Revere,Beachmont Elementary School,3-A-ii,Student to instructional support staff ratio,38,-0.8525,236.29,,,
Revere,Beachmont Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Revere,Beachmont Elementary School,5-D-ii,Medical staff to student ratio,427,-0.6231,577.41,,,
Revere,Garfield Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Revere,Garfield Elementary School,1-A-i,Percentage teachers with 5+ years of experience,71,0.2591,67.41,,,%
Revere,Garfield Elementary School,1-A-i,Percentage teachers National Board certified,0,-0.6583,1.91,,,%
Revere,Garfield Elementary School,1-B-i,Percent teacher returning (excluding retirement),91,-0.1721,92.26,,,%
Revere,Garfield Elementary School,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Garfield Elementary School,2-A-i,Violent incidents per student,0.001,-0.3392,0.02,,,
Revere,Garfield Elementary School,2-C-i,Average daily attendance,95,0.082,94.57,,,%
Revere,Garfield Elementary School,2-C-i,Chronic absence rate,23,0.3048,18.06,,,%
Revere,Garfield Elementary School,3-A-i,Average class size,20,0.3245,18.92,,,
Revere,Garfield Elementary School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Garfield Elementary School,3-A-ii,Student to art teacher ratio,424,-0.1904,472.08,,,
Revere,Garfield Elementary School,3-A-ii,Student to counselor ratio,424,0.2395,365.89,,,
Revere,Garfield Elementary School,3-A-ii,Student to instructional support staff ratio,41,-0.8396,236.29,,,
Revere,Garfield Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Revere,Garfield Elementary School,5-D-ii,Medical staff to student ratio,770,0.7978,577.41,,,
