District,School,Category,NonLikert Title,NL_Value,Likert_Value,Benchmark,Data Type
Revere,Garfield Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Garfield Middle School,1-A-i,Percentage teachers with 5+ years of experience,45,2.3,80,%
Revere,Garfield Middle School,1-A-i,Percentage teachers National Board certified,2,,,%
Revere,Garfield Middle School,1-B-i,Percent teacher returning (excluding retirement),96,4.5,85,%
Revere,Garfield Middle School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Garfield Middle School,2-A-i,Student to violent incidents ratio,0,3.9,0,
Revere,Garfield Middle School,2-C-i,Average daily attendance,95.4,4.2,90,%
Revere,Garfield Middle School,2-C-i,Chronic absence rate,3.4,5,10,%
Revere,Garfield Middle School,3-A-i,Average class size,18.4,4.4,20,
Revere,Garfield Middle School,3-A-i,Student to technology ratio,1,1.3,3,
Revere,Garfield Middle School,3-A-ii,Student to art teacher ratio,269,5,500,
Revere,Garfield Middle School,3-A-ii,Student to counselor ratio,153.7,5,250,
Revere,Garfield Middle School,3-A-ii,Student to instructional support staff ratio,67.3,,,
Revere,Garfield Middle School,5-C-i,Hours of arts instruction per student per week,2,4,2,hours
Revere,Garfield Middle School,5-D-ii,Medical staff to student ratio,538,,750,
Revere,Rumney Marsh Academy,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Rumney Marsh Academy,1-A-i,Percentage teachers with 5+ years of experience,46,2.3,80,%
Revere,Rumney Marsh Academy,1-A-i,Percentage teachers National Board certified,1.7,,,%
Revere,Rumney Marsh Academy,1-B-i,Percent teacher returning (excluding retirement),90,4.2,85,%
Revere,Rumney Marsh Academy,1-B-ii,Professional development spending per teacher,63,,,
Revere,Rumney Marsh Academy,2-A-i,Student to violent incidents ratio,0,3.9,0,
Revere,Rumney Marsh Academy,2-C-i,Average daily attendance,94.1,4.2,90,%
Revere,Rumney Marsh Academy,2-C-i,Chronic absence rate,0.8,5,10,%
Revere,Rumney Marsh Academy,3-A-i,Average class size,19.9,4.1,20,
Revere,Rumney Marsh Academy,3-A-i,Student to technology ratio,1,1.3,3,
Revere,Rumney Marsh Academy,3-A-ii,Student to art teacher ratio,298.5,5,500,
Revere,Rumney Marsh Academy,3-A-ii,Student to counselor ratio,199,4.84375,250,
Revere,Rumney Marsh Academy,3-A-ii,Student to instructional support staff ratio,54.3,,,
Revere,Rumney Marsh Academy,5-C-i,Hours of arts instruction per student per week,2,4,2,hours
Revere,Rumney Marsh Academy,5-D-ii,Medical staff to student ratio,597,4.828125,750,
Revere,Susan B. Anthony Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Susan B. Anthony Middle School,1-A-i,Percentage teachers with 5+ years of experience,63,3.2,80,%
Revere,Susan B. Anthony Middle School,1-A-i,Percentage teachers National Board certified,2,,,%
Revere,Susan B. Anthony Middle School,1-B-i,Percent teacher returning (excluding retirement),98,4.6,85,%
Revere,Susan B. Anthony Middle School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Susan B. Anthony Middle School,2-A-i,Student to violent incidents ratio,0,4,0,
Revere,Susan B. Anthony Middle School,2-C-i,Average daily attendance,95.6,4.2,90,%
Revere,Susan B. Anthony Middle School,2-C-i,Chronic absence rate,2.1,5,10,%
Revere,Susan B. Anthony Middle School,3-A-i,Average class size,22.3,3.6,20,
Revere,Susan B. Anthony Middle School,3-A-i,Student to technology ratio,1,1.3,3,
Revere,Susan B. Anthony Middle School,3-A-ii,Student to art teacher ratio,175.4,5,500,
Revere,Susan B. Anthony Middle School,3-A-ii,Student to counselor ratio,190,4.96875,250,
Revere,Susan B. Anthony Middle School,3-A-ii,Student to instructional support staff ratio,71.3,,,
Revere,Susan B. Anthony Middle School,5-C-i,Hours of arts instruction per student per week,3,6,2,hours
Revere,Susan B. Anthony Middle School,5-D-ii,Medical staff to student ratio,570,4.96875,750,
Revere,Whelan Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Whelan Elementary School,1-A-i,Percentage teachers with 5+ years of experience,71,2.3,80,%
Revere,Whelan Elementary School,1-A-i,Percentage teachers National Board certified,1.6,,,%
Revere,Whelan Elementary School,1-B-i,Percent teacher returning (excluding retirement),,4.2,85,%
Revere,Whelan Elementary School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Whelan Elementary School,2-A-i,Student to violent incidents ratio,0,3.9,0,
Revere,Whelan Elementary School,2-C-i,Average daily attendance,95.3,4.2,90,%
Revere,Whelan Elementary School,2-C-i,Chronic absence rate,2.12,5,10,%
Revere,Whelan Elementary School,3-A-i,Average class size,22.3,3.6,20,
Revere,Whelan Elementary School,3-A-i,Student to technology ratio,1,,3,
Revere,Whelan Elementary School,3-A-ii,Student to art teacher ratio,376.5,5,500,
Revere,Whelan Elementary School,3-A-ii,Student to counselor ratio,376.5,2,250,
Revere,Whelan Elementary School,3-A-ii,Student to instructional support staff ratio,50.2,,,
Revere,Whelan Elementary School,5-C-i,Hours of arts instruction per student per week,1.5,3,2,hours
Revere,Whelan Elementary School,5-D-ii,Medical staff to student ratio,753,3.984375,750,
Revere,Beachmont Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Beachmont Elementary School,1-A-i,Percentage teachers with 5+ years of experience,62.5,2.3,80,%
Revere,Beachmont Elementary School,1-A-i,Percentage teachers National Board certified,0,,,%
Revere,Beachmont Elementary School,1-B-i,Percent teacher returning (excluding retirement),98,4.2,85,%
Revere,Beachmont Elementary School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Beachmont Elementary School,2-A-i,Student to violent incidents ratio,0,3.9,0,
Revere,Beachmont Elementary School,2-C-i,Average daily attendance,1,4.2,90,%
Revere,Beachmont Elementary School,2-C-i,Chronic absence rate,1.1,5,10,%
Revere,Beachmont Elementary School,3-A-i,Average class size,16.7,4.7,20,
Revere,Beachmont Elementary School,3-A-i,Student to technology ratio,1,,3,
Revere,Beachmont Elementary School,3-A-ii,Student to art teacher ratio,187,5,500,
Revere,Beachmont Elementary School,3-A-ii,Student to counselor ratio,374,2.03125,250,
Revere,Beachmont Elementary School,3-A-ii,Student to instructional support staff ratio,41.6,,,
Revere,Beachmont Elementary School,5-C-i,Hours of arts instruction per student per week,1.3,2.6,2,hours
Revere,Beachmont Elementary School,5-D-ii,Medical staff to student ratio,467.5,,750,
Revere,Garfield Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Garfield Elementary School,1-A-i,Percentage teachers with 5+ years of experience,71,2.3,80,%
Revere,Garfield Elementary School,1-A-i,Percentage teachers National Board certified,0,,,%
Revere,Garfield Elementary School,1-B-i,Percent teacher returning (excluding retirement),100,4.2,85,%
Revere,Garfield Elementary School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Garfield Elementary School,2-A-i,Student to violent incidents ratio,0,3.9,0,
Revere,Garfield Elementary School,2-C-i,Average daily attendance,90,4,90,%
Revere,Garfield Elementary School,2-C-i,Chronic absence rate,3,5,10,%
Revere,Garfield Elementary School,3-A-i,Average class size,19.4,4.2,20,
Revere,Garfield Elementary School,3-A-i,Student to technology ratio,1,,3,
Revere,Garfield Elementary School,3-A-ii,Student to art teacher ratio,384,5,500,
Revere,Garfield Elementary School,3-A-ii,Student to counselor ratio,384,1.875,250,
Revere,Garfield Elementary School,3-A-ii,Student to instructional support staff ratio,40.4,,,
Revere,Garfield Elementary School,5-C-i,Hours of arts instruction per student per week,1.2,2.4,2,hours
Revere,Garfield Elementary School,5-D-ii,Medical staff to student ratio,768,3.90625,750,
Revere,Hill Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.201680672,95,%
Revere,Hill Elementary School,1-A-i,Percentage teachers with 5+ years of experience,73,3.65,80,%
Revere,Hill Elementary School,1-A-i,Percentage teachers National Board certified,4,,,%
Revere,Hill Elementary School,1-B-i,Percent teacher returning (excluding retirement),100,4.694835681,85,%
Revere,Hill Elementary School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Hill Elementary School,2-A-i,Student to violent incidents ratio,0,0,0,
Revere,Hill Elementary School,2-C-i,Average daily attendance,100,4.2,90,%
Revere,Hill Elementary School,2-C-i,Chronic absence rate,1.69,5,10,%
Revere,Hill Elementary School,3-A-i,Average class size,21.3,3.8,20,
Revere,Hill Elementary School,3-A-i,Student to technology ratio,1,,3,
Revere,Hill Elementary School,3-A-ii,Student to art teacher ratio,356,5,500,
Revere,Hill Elementary School,3-A-ii,Student to counselor ratio,712,0,250,
Revere,Hill Elementary School,3-A-ii,Student to instructional support staff ratio,64.7,,,
Revere,Hill Elementary School,5-C-i,Hours of arts instruction per student per week,2,4,2,hours
Revere,Hill Elementary School,5-D-ii,Medical staff to student ratio,712,4.203125,750,
Revere,Lincoln Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Lincoln Elementary School,1-A-i,Percentage teachers with 5+ years of experience,64,2.3,80,%
Revere,Lincoln Elementary School,1-A-i,Percentage teachers National Board certified,0,,,%
Revere,Lincoln Elementary School,1-B-i,Percent teacher returning (excluding retirement),95,4.2,85,%
Revere,Lincoln Elementary School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Lincoln Elementary School,2-A-i,Student to violent incidents ratio,0,3.9,0.02,
Revere,Lincoln Elementary School,2-C-i,Average daily attendance,90,4,90,%
Revere,Lincoln Elementary School,2-C-i,Chronic absence rate,2.73,5,10,%
Revere,Lincoln Elementary School,3-A-i,Average class size,18.4,4.4,20,
Revere,Lincoln Elementary School,3-A-i,Student to technology ratio,1,,3,
Revere,Lincoln Elementary School,3-A-ii,Student to art teacher ratio,347.5,5,500,
Revere,Lincoln Elementary School,3-A-ii,Student to counselor ratio,695,0,250,
Revere,Lincoln Elementary School,3-A-ii,Student to instructional support staff ratio,63.2,,,
Revere,Lincoln Elementary School,5-C-i,Hours of arts instruction per student per week,5,10,2,hours
Revere,Lincoln Elementary School,5-D-ii,Medical staff to student ratio,695,4.296875,750,
Revere,Paul Revere Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Paul Revere Elementary School,1-A-i,Percentage teachers with 5+ years of experience,57,2.3,80,%
Revere,Paul Revere Elementary School,1-A-i,Percentage teachers National Board certified,2.2,,,%
Revere,Paul Revere Elementary School,1-B-i,Percent teacher returning (excluding retirement),98,4.2,85,%
Revere,Paul Revere Elementary School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Paul Revere Elementary School,2-A-i,Student to violent incidents ratio,0,3.9,0.02,
Revere,Paul Revere Elementary School,2-C-i,Average daily attendance,1,4.2,90,%
Revere,Paul Revere Elementary School,2-C-i,Chronic absence rate,1.06,5,10,%
