Category,Category Description,Subcategory,Subcategory Description,Measures,Measure Id,Measure Description,Source,Question/item,Revised Question (for the 19-20 surveys),Survey Item ID,Watch Low,Growth Low,Approval Low,Ideal Low
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Teachers,How confident are you in your ability to identify gaps in student understanding?,,t-ieff-q2,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Teachers,How confident are you in your ability to provide extra help to students who need it?,,t-ieff-q3,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Teachers,How confident are you in your ability to make material interesting for students?,,t-ieff-q4,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Students,"Overall, how much have you learned from your teacher?",,s-peff-q1,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Students,"For this class, how clearly does your teacher present the information that you need to learn?",,s-peff-q2,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Community,1A-iii,"This measure includes teacher reports on the professional community and includes the teacher retention rate.",Admin Data,Percent teacher returning (excluding retirement),,,2.69,3.2,3.7,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Community,1A-iii,"This measure includes teacher reports on the professional community and includes the teacher retention rate.",Teachers,How many teachers in this school feel responsible for helping each other do their best?,,t-pcom-q1,2.69,3.2,3.7,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Community,1A-iii,"This measure includes teacher reports on the professional community and includes the teacher retention rate.",Teachers,How many teachers in this school take responsibility for improving the school?,,t-pcom-q2,2.69,3.2,3.7,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Community,1A-iii,"This measure includes teacher reports on the professional community and includes the teacher retention rate.",Teachers,"This year, how often have you had conversations with your colleagues about what helps students learn?",,t-pcom-q3,2.69,3.2,3.7,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Community,1A-iii,"This measure includes teacher reports on the professional community and includes the teacher retention rate.",Teachers,"As a faculty, how well do you do talking through views, opinions, and values?",,t-pcom-q4,2.69,3.2,3.7,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Community,1A-iii,"This measure includes teacher reports on the professional community and includes the teacher retention rate.",Teachers,"This year, how often have you had colleagues observe your classroom?",,t-pcom-q5,2.69,3.2,3.7,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Effective Leadership,1B-i,"This measure draws on anonymous teacher reports about the degree to which they trust their principals to make good school-wide decisions, as well as on the degree to which their principals are strong instructional leaders.",Teachers,"At your school, how comfortable are you raising concerns with the principal?",,t-prtr-q2,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Effective Leadership,1B-i,"This measure draws on anonymous teacher reports about the degree to which they trust their principals to make good school-wide decisions, as well as on the degree to which their principals are strong instructional leaders.",Teachers,How much do you trust your principal to stand up for you in disagreements with parents?,,t-prtr-q3,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Effective Leadership,1B-i,"This measure draws on anonymous teacher reports about the degree to which they trust their principals to make good school-wide decisions, as well as on the degree to which their principals are strong instructional leaders.",Teachers,How effectively does your principal communicate a clear vision of teaching and learning?,,t-inle-q1,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Effective Leadership,1B-i,"This measure draws on anonymous teacher reports about the degree to which they trust their principals to make good school-wide decisions, as well as on the degree to which their principals are strong instructional leaders.",Teachers,How effectively does your principal press teachers to engage in good pedagogical practice?,,t-inle-q2,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Effective Leadership,1B-i,"This measure draws on anonymous teacher reports about the degree to which they trust their principals to make good school-wide decisions, as well as on the degree to which their principals are strong instructional leaders.",Teachers,How much does your principal know about what's going on in teachers' classrooms?,How much does your principal know about what’s going on in teachers’ classrooms either in-person or online?,t-inle-q3,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Effective Leadership,1B-i,"This measure draws on anonymous teacher reports about the degree to which they trust their principals to make good school-wide decisions, as well as on the degree to which their principals are strong instructional leaders.",Teachers,To what extent do you trust your principal at his or her word?,,t-prtr-q1,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Support For Teaching Development & Growth,1B-ii,"This measure includes district-wide professional development expenditures, and draws on anonymous teacher reports on the quality of professional development.",Teachers,To what extent has your professional development included enough time to explore new ideas?,,t-qupd-q3,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Support For Teaching Development & Growth,1B-ii,"This measure includes district-wide professional development expenditures, and draws on anonymous teacher reports on the quality of professional development.",Teachers,How much would you say that your professional development has been sustained/consistent (rather than discontinuous)?,,t-qupd-q2,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Support For Teaching Development & Growth,1B-ii,"This measure includes district-wide professional development expenditures, and draws on anonymous teacher reports on the quality of professional development.",Teachers,How often do teachers here work together to plan curriculum and instruction?,,t-coll-q1,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Support For Teaching Development & Growth,1B-ii,"This measure includes district-wide professional development expenditures, and draws on anonymous teacher reports on the quality of professional development.",Teachers,How hard do teachers here work to coordinate their teaching with instruction at other grade levels?,,t-coll-q2,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Support For Teaching Development & Growth,1B-ii,"This measure includes district-wide professional development expenditures, and draws on anonymous teacher reports on the quality of professional development.",Teachers,How often do teachers here collaborate to make the school run effectively?,,t-coll-q3,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Support For Teaching Development & Growth,1B-ii,"This measure includes district-wide professional development expenditures, and draws on anonymous teacher reports on the quality of professional development.",Teachers,"Overall, how strong has support for your professional growth been?",,t-qupd-q4,2.49,3,3.5,4.51
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Leadership,"This subcategory seeks to determine how well a school supports teachers and enables them to do their work.  It includes measures of teacher satisfaction, effective leadership, and school-wide support for teacher development.",Support For Teaching Development & Growth,1B-ii,"This measure includes district-wide professional development expenditures, and draws on anonymous teacher reports on the quality of professional development.",Teachers,To what extent has your professional development been connected to the topics you teach?,,t-qupd-q1,2.49,3,3.5,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Physical Safety Scale,2A-i,"This measure draws on anonymous student reports about the degree to which they feel physically safe at school.",Students,How often do students get into physical fights at your school?,,s-phys-q2,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Physical Safety Scale,2A-i,"This measure draws on anonymous student reports about the degree to which they feel physically safe at school.",Students,"Overall, how physically safe do you feel at school?",,s-phys-q3,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Physical Safety Scale,2A-i,"This measure draws on anonymous student reports about the degree to which they feel physically safe at school.",Students,How often do you feel like you might be harmed by someone at school?,,s-phys-q4,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Physical Safety Scale,2A-i,"This measure draws on anonymous student reports about the degree to which they feel physically safe at school.",Students,How often do you worry about violence at your school?,,s-phys-q1,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Emotional Safety,2A-ii,"This measure draws on anonymous student and teacher reports about the nature and frequency of school bullying and emotional harassment.",Teachers,How often are students bullied at school?,How often are students bullied at school or online?,t-pvic-q1,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Emotional Safety,2A-ii,"This measure draws on anonymous student and teacher reports about the nature and frequency of school bullying and emotional harassment.",Teachers,How often are students bullied because of who they are?,,t-pvic-q2,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Emotional Safety,2A-ii,"This measure draws on anonymous student and teacher reports about the nature and frequency of school bullying and emotional harassment.",Teachers,"Overall, how unkind are students to each other?",,t-pvic-q3,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Emotional Safety,2A-ii,"This measure draws on anonymous student and teacher reports about the nature and frequency of school bullying and emotional harassment.",Students,How often are students at this school unkind to each other online?,,s-emsa-q2,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Emotional Safety,2A-ii,"This measure draws on anonymous student and teacher reports about the nature and frequency of school bullying and emotional harassment.",Students,How much bullying occurs at this school?,,s-emsa-q3,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Safety,"This subcategory seeks to determine how safe the school environment is.  It includes measures of physical safety, bullying, and trust.",Student Emotional Safety,2A-ii,"This measure draws on anonymous student and teacher reports about the nature and frequency of school bullying and emotional harassment.",Students,How often are students unkind to each other at this school?,,s-emsa-q1,2.79,3.3,3.8,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Teachers,How much do students at this school care about each other?,,t-psup-q1,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Teachers,How often do students at this school help each other learn?,,t-psup-q2,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Teachers,"At this school, how respectful are students to each other?",,t-psup-q4,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Students,"At your school, how accepted do you feel by the other students?",,s-sbel-q2,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Students,How well do people at your school understand you?,,s-sbel-q3,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Students,How much respect do students in your school show you?,,s-sbel-q4,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Students,How connected do you feel to the adults at your school?,,s-sbel-q5,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Students,"Overall, how much do you feel like you belong at your school?",,s-sbel-q1,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student Sense of Belonging,2B-i,"This measure draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",Teachers,How well do students at this school get along with each other?,,t-psup-q3,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student-Teacher Relationships,2B-ii,"This measure draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.",Students,"When your teacher asks how you are doing, how often do you feel that he/she is really interested in your answer?",,s-tint-q1,2.24,2.75,3.25,4.51
