District,Academic Year,LASID,HispanicLatino,Race,Gender,SpecialEdStatus,In 504 Plan,LowIncome,EL Student First Year
Maynard Public Schools,2022-23,27,TRUE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,28,TRUE,Caucasian,F,,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,29,TRUE,Native American,F,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,30,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,31,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,32,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,33,FALSE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,34,FALSE,Caucasian,M,Active,Not 504,Free Lunch,
Maynard Public Schools,2022-23,35,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,36,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,37,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,38,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,39,TRUE,"Black, Caucasian",M,Exited,Not 504,Reduced Lunch,Does not apply
Maynard Public Schools,2022-23,40,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,41,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,42,FALSE,,M,,,Not Eligible,
Maynard Public Schools,2022-23,43,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,44,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,45,FALSE,Caucasian,F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,46,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,47,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,48,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,49,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,50,TRUE,Native American,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,51,TRUE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,52,TRUE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,53,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,54,FALSE,"Caucasian,Pacific Island",M,Active,Not 504,Reduced Lunch,Does not apply
Maynard Public Schools,2022-23,55,FALSE,"Caucasian,Pacific Island",F,,Not 504,Reduced Lunch,Does not apply
Maynard Public Schools,2022-23,56,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,57,TRUE,Caucasian,M,Active,,Free Lunch,
Maynard Public Schools,2022-23,58,TRUE,Caucasian,M,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,59,TRUE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,60,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,61,TRUE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,62,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,63,FALSE,,M,,,Not Eligible,
Maynard Public Schools,2022-23,64,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,65,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,66,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,67,FALSE,"Asian,Caucasian",M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,68,FALSE,"Asian,Caucasian",M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,69,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,70,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,71,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,72,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,73,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,74,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,75,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,76,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,77,TRUE,Caucasian,M,,504,Reduced Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,78,TRUE,Caucasian,M,,504,Reduced Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,79,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,80,TRUE,Caucasian,F,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,81,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,82,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,83,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,84,TRUE,Caucasian,M,,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,85,FALSE,Caucasian,F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,86,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,87,TRUE,Black,F,Active,504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,88,TRUE,Black,F,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,89,TRUE,Black,F,,,Free Lunch,
Maynard Public Schools,2022-23,90,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,91,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,92,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,93,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,94,FALSE,Caucasian,M,,,Free Lunch,
Maynard Public Schools,2022-23,95,FALSE,Caucasian,F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,96,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,97,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,98,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,99,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,100,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,101,FALSE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,102,FALSE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,103,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,104,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,105,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,106,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,107,FALSE,Caucasian,M,Active,Not 504,Not Eligible,
Maynard Public Schools,2022-23,108,FALSE,Caucasian,M,Eligible,Not 504,Not Eligible,
Maynard Public Schools,2022-23,109,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,110,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,111,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,112,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,113,TRUE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,114,TRUE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,115,TRUE,Caucasian,F,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,116,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,117,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,118,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,119,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,120,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,121,FALSE,"Black, Native American",F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,122,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,123,FALSE,Caucasian,F,,,Reduced Lunch,
Maynard Public Schools,2022-23,124,FALSE,Caucasian,M,,,Reduced Lunch,
Maynard Public Schools,2022-23,125,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,126,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,127,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,128,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,129,FALSE,"Caucasian, Native American",F,,,Not Eligible,
Maynard Public Schools,2022-23,130,TRUE,Caucasian,F,,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,131,TRUE,Caucasian,M,,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,132,TRUE,Caucasian,F,Active,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,133,TRUE,Caucasian,F,,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,134,TRUE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,135,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,136,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,137,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,138,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,139,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,140,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,141,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,142,TRUE,Caucasian,M,,,Not Eligible,LEP student 1st year
Maynard Public Schools,2022-23,143,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,144,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,145,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,146,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,147,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,148,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,149,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,150,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,151,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,152,TRUE,Caucasian,M,Active,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,153,TRUE,Caucasian,F,,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,154,FALSE,Caucasian,F,,,Not Eligible,Does not apply
Maynard Public Schools,2022-23,155,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,156,FALSE,Black,F,,504,Not Eligible,
Maynard Public Schools,2022-23,157,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,158,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,159,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,160,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,161,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,162,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,163,TRUE,Caucasian,M,,,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,164,TRUE,Caucasian,M,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,165,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,166,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,167,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,168,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,169,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,170,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,171,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,172,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,173,FALSE,Caucasian,F,,504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,174,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,175,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,176,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,177,FALSE,Caucasian,M,Exited,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,178,TRUE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,179,FALSE,Caucasian,M,,,Free Lunch,
Maynard Public Schools,2022-23,180,TRUE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,181,TRUE,Caucasian,F,,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,182,TRUE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,183,TRUE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,184,TRUE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,185,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,186,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,187,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,188,FALSE,"Asian,Caucasian",M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,189,FALSE,"Asian,Caucasian",M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,190,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,191,FALSE,"Asian,Caucasian",F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,192,FALSE,Black,F,Active,Not 504,Free Lunch,
Maynard Public Schools,2022-23,193,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,194,FALSE,Asian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,195,FALSE,Asian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,196,TRUE,Caucasian,F,,,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,197,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,198,FALSE,Caucasian,F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,199,FALSE,"Asian,Caucasian",M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,200,FALSE,"Asian,Caucasian",F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,201,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,202,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,203,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,204,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,205,TRUE,Caucasian,M,,,Free Lunch,
Maynard Public Schools,2022-23,206,FALSE,Asian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,207,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,208,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,209,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,210,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,211,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,212,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,213,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,214,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,215,FALSE,Caucasian,F,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,216,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,217,FALSE,Caucasian,F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,218,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,219,FALSE,Caucasian,M,Active,Not 504,Reduced Lunch,Does not apply
Maynard Public Schools,2022-23,220,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,221,TRUE,"Black, Caucasian",M,Active,,Not Eligible,
Maynard Public Schools,2022-23,222,TRUE,Caucasian,F,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,223,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,224,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,225,FALSE,Caucasian,F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,226,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,227,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,228,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,229,FALSE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,230,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,231,TRUE,Pacific Island,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,232,TRUE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,233,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,234,FALSE,Caucasian,M,,,Free Lunch,
Maynard Public Schools,2022-23,235,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,236,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,237,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,238,TRUE,"Black, Caucasian, Native American",F,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,239,TRUE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,240,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,241,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,242,TRUE,Caucasian,M,,Not 504,Reduced Lunch,Does not apply
Maynard Public Schools,2022-23,243,TRUE,Caucasian,F,,,Reduced Lunch,LEP student 1st year
Maynard Public Schools,2022-23,244,TRUE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,245,FALSE,Caucasian,M,Active,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,246,TRUE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,247,FALSE,"Caucasian,Native American",M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,248,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,249,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,250,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,251,FALSE,"Black, Caucasian",M,Exited,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,252,FALSE,"Black, Caucasian",F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,253,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,254,FALSE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,255,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,256,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,257,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,258,FALSE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,259,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,260,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,261,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,262,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,263,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,264,TRUE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,265,TRUE,Caucasian,F,,,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,266,TRUE,Caucasian,M,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,267,FALSE,Caucasian,F,,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,268,TRUE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,269,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,270,TRUE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,271,TRUE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,272,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,273,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,274,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,275,FALSE,Black,M,,,Free Lunch,
Maynard Public Schools,2022-23,276,FALSE,Black,F,,,Free Lunch,
Maynard Public Schools,2022-23,277,FALSE,Black,F,,,Free Lunch,
Maynard Public Schools,2022-23,278,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,279,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,280,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,281,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,282,TRUE,Caucasian,M,Active,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,283,TRUE,Caucasian,F,,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,284,TRUE,Caucasian,F,,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,285,TRUE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,286,TRUE,Caucasian,M,,504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,287,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,288,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,289,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,290,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
