District,School,DESE ID,Category,Item ID,NonLikert Title,NL_Value,LikertScore,Benchmark,Data Type,Academic Year
Somerville,Next Wave/Full Circle,02740510,2-C-i,a-vale-i2,Average daily attendance,88,3.911111111,90,,2016-17
Somerville,Somerville High School,02740505,2-C-i,a-vale-i2,Average daily attendance,93,4.133333333,90,,2016-17
Revere,Revere High School,02480505,2-C-i,a-vale-i2,Average daily attendance,94,4.177777778,90,,2016-17
Somerville,West Somerville Neighborhood School,02740115,2-C-i,a-vale-i2,Average daily attendance,94,4.177777778,90,,2016-17
Revere,Susan B. Anthony Middle School,02480305,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Revere,Whelan Elementary School,02480003,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Revere,Garfield Elementary School,02480056,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Revere,Lincoln Elementary School,02480025,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Somerville,Arthur D. Healey School,02740075,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Somerville,John F. Kennedy Elementary School,02740083,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Somerville,Winter Hill Community Innovation School,02740120,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Winchester,Winchester High School,03440505,2-C-i,a-vale-i2,Average daily attendance,95,4.222222222,90,,2016-17
Attleboro,Cyril K. Brennan Middle School,00160315,2-C-i,a-vale-i2,Average daily attendance,95.6,4.248888889,90,,2016-17
Attleboro,Attleboro High School,00160505,2-C-i,a-vale-i2,Average daily attendance,95.8,4.257777778,90,,2016-17
Revere,Garfield Middle School,02480057,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Revere,Rumney Marsh Academy,02480014,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Revere,Beachmont Elementary School,02480013,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Revere,Hill Elementary School,02480035,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Revere,Paul Revere Elementary School,02480050,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,02740087,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Somerville,Benjamin G. Brown School,02740015,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Somerville,East Somerville Community School,02740111,2-C-i,a-vale-i2,Average daily attendance,96,4.266666667,90,,2016-17
Winchester,Lynch Elementary School,03440020,2-C-i,a-vale-i2,Average daily attendance,96.5,4.288888889,90,,2016-17
Winchester,Vinson-Owen Elementary School,03440025,2-C-i,a-vale-i2,Average daily attendance,96.6,4.293333333,90,,2016-17
Winchester,Ambrose Elementary School,03440045,2-C-i,a-vale-i2,Average daily attendance,96.8,4.302222222,90,,2016-17
Winchester,Lincoln Elementary School,02480025,2-C-i,a-vale-i2,Average daily attendance,96.9,4.306666667,90,,2016-17
Winchester,Muraco Elementary School,03440040,2-C-i,a-vale-i2,Average daily attendance,96.9,4.306666667,90,,2016-17
Attleboro,Hill-Roberts Elementary School,00160045,2-C-i,a-vale-i2,Average daily attendance,97,4.311111111,90,,2016-17
Attleboro,Wamsutta Middle School,00160320,2-C-i,a-vale-i2,Average daily attendance,97.1,4.315555556,90,,2016-17
Attleboro,Thomas Willett Elementary School,00160035,2-C-i,a-vale-i2,Average daily attendance,97.3,4.324444444,90,,2016-17
Attleboro,Robert J. Coelho Middle School,00160305,2-C-i,a-vale-i2,Average daily attendance,97.4,4.328888889,90,,2016-17
Attleboro,Hyman Fine Elementary School,00160040,2-C-i,a-vale-i2,Average daily attendance,97.4,4.328888889,90,,2016-17
Attleboro,A. Irvin Studley Elementary School,00160001,2-C-i,a-vale-i2,Average daily attendance,97.4,4.328888889,90,,2016-17
Attleboro,Peter Thacher Elementary School,00160050,2-C-i,a-vale-i2,Average daily attendance,97.4,4.328888889,90,,2016-17
Winchester,McCall Middle School,03440305,2-C-i,a-vale-i2,Average daily attendance,97.9,4.351111111,90,,2016-17
Attleboro,Hyman Fine Elementary School,00160040,2-C-i,a-vale-i1,Chronic absence rate,5.06,3.976,10,,2016-17
Attleboro,A. Irvin Studley Elementary School,00160001,2-C-i,a-vale-i1,Chronic absence rate,5.07,3.972,10,,2016-17
Somerville,East Somerville Community School,02740111,2-C-i,a-vale-i1,Chronic absence rate,5.1,3.96,10,,2016-17
Attleboro,Wamsutta Middle School,00160320,2-C-i,a-vale-i1,Chronic absence rate,5.9,3.64,10,,2016-17
Attleboro,Robert J. Coelho Middle School,00160305,2-C-i,a-vale-i1,Chronic absence rate,6,3.6,10,,2016-17
Attleboro,Peter Thacher Elementary School,00160050,2-C-i,a-vale-i1,Chronic absence rate,6.6,3.36,10,,2016-17
Somerville,John F. Kennedy Elementary School,02740083,2-C-i,a-vale-i1,Chronic absence rate,6.9,3.24,10,,2016-17
Attleboro,Thomas Willett Elementary School,00160035,2-C-i,a-vale-i1,Chronic absence rate,7.06,3.176,10,,2016-17
Somerville,Benjamin G. Brown School,02740015,2-C-i,a-vale-i1,Chronic absence rate,7.2,3.12,10,,2016-17
Winchester,Winchester High School,03440505,2-C-i,a-vale-i1,Chronic absence rate,8.4,2.64,10,,2016-17
Winchester,McCall Middle School,03440305,2-C-i,a-vale-i1,Chronic absence rate,8.8,2.48,10,,2016-17
Attleboro,Cyril K. Brennan Middle School,00160315,2-C-i,a-vale-i1,Chronic absence rate,9.08,2.368,10,,2016-17
Attleboro,Hill-Roberts Elementary School,00160045,2-C-i,a-vale-i1,Chronic absence rate,9.2,2.32,10,,2016-17
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,02740087,2-C-i,a-vale-i1,Chronic absence rate,9.8,2.08,10,,2016-17
Attleboro,Attleboro High School,00160505,2-C-i,a-vale-i1,Chronic absence rate,10.02,1.992,10,,2016-17
Somerville,Arthur D. Healey School,02740075,2-C-i,a-vale-i1,Chronic absence rate,12.7,0.92,10,,2016-17
Revere,Revere High School,02480505,2-C-i,a-vale-i1,Chronic absence rate,13,0.8,10,,2016-17
Somerville,West Somerville Neighborhood School,02740115,2-C-i,a-vale-i1,Chronic absence rate,13.6,0.56,10,,2016-17
Winchester,Muraco Elementary School,03440040,2-C-i,a-vale-i1,Chronic absence rate,15.5,-0.2,10,,2016-17
Winchester,Lincoln Elementary School,02480025,2-C-i,a-vale-i1,Chronic absence rate,16.4,-0.56,10,,2016-17
Revere,Rumney Marsh Academy,02480014,2-C-i,a-vale-i1,Chronic absence rate,17,-0.8,10,,2016-17
Winchester,Ambrose Elementary School,03440045,2-C-i,a-vale-i1,Chronic absence rate,17.3,-0.92,10,,2016-17
Revere,Beachmont Elementary School,02480013,2-C-i,a-vale-i1,Chronic absence rate,18,-1.2,10,,2016-17
Winchester,Vinson-Owen Elementary School,03440025,2-C-i,a-vale-i1,Chronic absence rate,18.1,-1.24,10,,2016-17
Revere,Garfield Middle School,02480057,2-C-i,a-vale-i1,Chronic absence rate,19,-1.6,10,,2016-17
Revere,Paul Revere Elementary School,02480050,2-C-i,a-vale-i1,Chronic absence rate,19,-1.6,10,,2016-17
Somerville,Somerville High School,02740505,2-C-i,a-vale-i1,Chronic absence rate,20.8,-2.32,10,,2016-17
Winchester,Lynch Elementary School,03440020,2-C-i,a-vale-i1,Chronic absence rate,21.8,-2.72,10,,2016-17
Revere,Garfield Elementary School,02480056,2-C-i,a-vale-i1,Chronic absence rate,23,-3.2,10,,2016-17
Revere,Hill Elementary School,02480035,2-C-i,a-vale-i1,Chronic absence rate,23,-3.2,10,,2016-17
Revere,Susan B. Anthony Middle School,02480305,2-C-i,a-vale-i1,Chronic absence rate,24,-3.6,10,,2016-17
Revere,Whelan Elementary School,02480003,2-C-i,a-vale-i1,Chronic absence rate,25,-4,10,,2016-17
Revere,Lincoln Elementary School,02480025,2-C-i,a-vale-i1,Chronic absence rate,27,-4.8,10,,2016-17
Somerville,Next Wave/Full Circle,02740510,2-C-i,a-vale-i1,Chronic absence rate,50,-14,10,,2016-17
Revere,Seacoast High School,02480520,2-C-i,a-vale-i1,Chronic absence rate,68,-21.2,10,,2016-17
Somerville,Next Wave/Full Circle,02740510,2-C-i,a-vale-i1,Chronic absence rate,77.9,-25.16,10,,2016-17
Revere,Seacoast High School,02480520,4-D-i,a-cgpr-i1,College enrollment rate (HS only),63,3.841463415,65.6,,2016-17
Attleboro,Attleboro High School,00160505,4-D-i,a-cgpr-i1,College enrollment rate (HS only),69.5,4.237804878,65.6,,2016-17
Revere,Revere High School,02480505,4-D-i,a-cgpr-i1,College enrollment rate (HS only),85,5.182926829,65.6,,2016-17
Winchester,Winchester High School,03440505,4-D-i,a-cgpr-i1,College enrollment rate (HS only),92,5.609756098,65.6,,2016-17
Revere,Seacoast High School,02480520,5-D-ii,a-phya-i1,Medical staff to student ratio,326,4.261333333,750,,2016-17
Attleboro,Peter Thacher Elementary School,00160050,5-D-ii,a-phya-i1,Medical staff to student ratio,368.57,4.034293333,750,,2016-17
Winchester,Muraco Elementary School,03440040,5-D-ii,a-phya-i1,Medical staff to student ratio,404,3.845333333,750,,2016-17
Winchester,Lincoln Elementary School,02480025,5-D-ii,a-phya-i1,Medical staff to student ratio,410,3.813333333,750,,2016-17
Winchester,Vinson-Owen Elementary School,03440025,5-D-ii,a-phya-i1,Medical staff to student ratio,422,3.749333333,750,,2016-17
Attleboro,A. Irvin Studley Elementary School,00160001,5-D-ii,a-phya-i1,Medical staff to student ratio,423.81,3.73968,750,,2016-17
Revere,Beachmont Elementary School,02480013,5-D-ii,a-phya-i1,Medical staff to student ratio,427,3.722666667,750,,2016-17
Attleboro,Thomas Willett Elementary School,00160035,5-D-ii,a-phya-i1,Medical staff to student ratio,433.33,3.688906667,750,,2016-17
Attleboro,Hyman Fine Elementary School,00160040,5-D-ii,a-phya-i1,Medical staff to student ratio,439.05,3.6584,750,,2016-17
Winchester,Ambrose Elementary School,03440045,5-D-ii,a-phya-i1,Medical staff to student ratio,440,3.653333333,750,,2016-17
Revere,Paul Revere Elementary School,02480050,5-D-ii,a-phya-i1,Medical staff to student ratio,442,3.642666667,750,,2016-17
Attleboro,Hill-Roberts Elementary School,00160045,5-D-ii,a-phya-i1,Medical staff to student ratio,446.67,3.61776,750,,2016-17
Revere,Garfield Middle School,02480057,5-D-ii,a-phya-i1,Medical staff to student ratio,500,3.333333333,750,,2016-17
Revere,Susan B. Anthony Middle School,02480305,5-D-ii,a-phya-i1,Medical staff to student ratio,519,3.232,750,,2016-17
Attleboro,Cyril K. Brennan Middle School,00160315,5-D-ii,a-phya-i1,Medical staff to student ratio,531.43,3.165706667,750,,2016-17
Revere,Rumney Marsh Academy,02480014,5-D-ii,a-phya-i1,Medical staff to student ratio,538,3.130666667,750,,2016-17
Winchester,Lynch Elementary School,03440020,5-D-ii,a-phya-i1,Medical staff to student ratio,546,3.088,750,,2016-17
Attleboro,Wamsutta Middle School,00160320,5-D-ii,a-phya-i1,Medical staff to student ratio,549.52,3.069226667,750,,2016-17
Revere,Lincoln Elementary School,02480025,5-D-ii,a-phya-i1,Medical staff to student ratio,629,2.645333333,750,,2016-17
Revere,Hill Elementary School,02480035,5-D-ii,a-phya-i1,Medical staff to student ratio,636,2.608,750,,2016-17
Attleboro,Robert J. Coelho Middle School,00160305,5-D-ii,a-phya-i1,Medical staff to student ratio,640,2.586666667,750,,2016-17
Revere,Whelan Elementary School,02480003,5-D-ii,a-phya-i1,Medical staff to student ratio,689,2.325333333,750,,2016-17
Revere,Garfield Elementary School,02480056,5-D-ii,a-phya-i1,Medical staff to student ratio,770,1.893333333,750,,2016-17
Winchester,Winchester High School,03440505,5-D-ii,a-phya-i1,Medical staff to student ratio,792.5,1.773333333,750,,2016-17
Winchester,McCall Middle School,03440305,5-D-ii,a-phya-i1,Medical staff to student ratio,809.29,1.683786667,750,,2016-17
Revere,Revere High School,02480505,5-D-ii,a-phya-i1,Medical staff to student ratio,897,1.216,750,,2016-17
Attleboro,Attleboro High School,00160505,5-D-ii,a-phya-i1,Medical staff to student ratio,1560.95,-2.325066667,750,,2016-17
Attleboro,Attleboro High School,00160505,3-B-i,a-curv-i3,Percent AP test takers scoring 3 or higher (HS only),61.9,12.38,20,,2016-17
Revere,Revere High School,02480505,3-B-i,a-curv-i3,Percent AP test takers scoring 3 or higher (HS only),65,13,20,,2016-17
Winchester,Winchester High School,03440505,3-B-i,a-curv-i3,Percent AP test takers scoring 3 or higher (HS only),92,18.4,20,,2016-17
Attleboro,Attleboro High School,00160505,3-B-i,a-curv-i1,Percent graduates completing MassCORE (HS only),81.8,3.635555556,90,,2016-17
Revere,Seacoast High School,02480520,3-B-i,a-curv-i1,Percent graduates completing MassCORE (HS only),89,3.955555556,90,,2016-17
Winchester,Winchester High School,03440505,3-B-i,a-curv-i1,Percent graduates completing MassCORE (HS only),90.6,4.026666667,90,,2016-17
Revere,Revere High School,02480505,3-B-i,a-curv-i1,Percent graduates completing MassCORE (HS only),94,4.177777778,90,,2016-17
Attleboro,Attleboro High School,00160505,3-B-i,a-curv-i2,Percent juniors and seniors enrolled in one AP (HS only),31.5,4.2,30,,2016-17
Winchester,Winchester High School,03440505,3-B-i,a-curv-i2,Percent juniors and seniors enrolled in one AP (HS only),42,5.6,30,,2016-17
Revere,Revere High School,02480505,3-B-i,a-curv-i2,Percent juniors and seniors enrolled in one AP (HS only),50,6.666666667,30,,2016-17
Attleboro,Attleboro High School,00160505,4-D-ii,a-cppm-i1,Percent positive work placement (HS only),96.5,4.541176471,85,,2016-17
Somerville,Next Wave/Full Circle,02740510,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),65.9,3.101176471,85,,2016-17
Somerville,Next Wave/Full Circle,02740510,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),72.4,3.407058824,85,,2016-17
Revere,Seacoast High School,02480520,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),80,3.764705882,85,,2016-17
Somerville,Winter Hill Community Innovation School,02740120,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),82.3,3.872941176,85,,2016-17
Somerville,John F. Kennedy Elementary School,02740083,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),85.3,4.014117647,85,,2016-17
Revere,Garfield Middle School,02480057,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),86,4.047058824,85,,2016-17
Somerville,Somerville High School,02740505,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),88.2,4.150588235,85,,2016-17
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,02740087,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),88.8,4.178823529,85,,2016-17
Revere,Rumney Marsh Academy,02480014,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),89,4.188235294,85,,2016-17
Somerville,West Somerville Neighborhood School,02740115,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),90.3,4.249411765,85,,2016-17
Somerville,Arthur D. Healey School,02740075,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),90.9,4.277647059,85,,2016-17
Revere,Garfield Elementary School,02480056,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),91,4.282352941,85,,2016-17
Winchester,McCall Middle School,03440305,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),92,4.329411765,85,,2016-17
Somerville,Benjamin G. Brown School,02740015,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),93,4.376470588,85,,2016-17
Somerville,East Somerville Community School,02740111,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),93.6,4.404705882,85,,2016-17
Revere,Susan B. Anthony Middle School,02480305,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),94,4.423529412,85,,2016-17
Revere,Hill Elementary School,02480035,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),94,4.423529412,85,,2016-17
Revere,Lincoln Elementary School,02480025,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),94,4.423529412,85,,2016-17
Revere,Revere High School,02480505,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),95,4.470588235,85,,2016-17
Revere,Whelan Elementary School,02480003,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),95,4.470588235,85,,2016-17
Winchester,Winchester High School,03440505,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),96,4.517647059,85,,2016-17
Winchester,Lincoln Elementary School,02480025,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),96,4.517647059,85,,2016-17
Winchester,Muraco Elementary School,03440040,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),96,4.517647059,85,,2016-17
Attleboro,Attleboro High School,00160505,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,Cyril K. Brennan Middle School,00160315,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,Robert J. Coelho Middle School,00160305,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,Wamsutta Middle School,00160320,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,Hill-Roberts Elementary School,00160045,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,Hyman Fine Elementary School,00160040,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,A. Irvin Studley Elementary School,00160001,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,Peter Thacher Elementary School,00160050,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Attleboro,Thomas Willett Elementary School,00160035,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Revere,Beachmont Elementary School,02480013,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),97,4.564705882,85,,2016-17
Winchester,Ambrose Elementary School,03440045,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),98,4.611764706,85,,2016-17
Winchester,Vinson-Owen Elementary School,03440025,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),98,4.611764706,85,,2016-17
Winchester,Lynch Elementary School,03440020,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),99,4.658823529,85,,2016-17
Revere,Paul Revere Elementary School,02480050,1-B-i,a-pcom-i1,Percent teacher returning (excluding retirement),100,4.705882353,85,,2016-17
Revere,Whelan Elementary School,02480003,1-A-i,a-exp-i2,Percentage teachers National Board certified,0.03,0.012,10,,2016-17
Revere,Hill Elementary School,02480035,1-A-i,a-exp-i2,Percentage teachers National Board certified,2,0.8,10,,2016-17
Revere,Lincoln Elementary School,02480025,1-A-i,a-exp-i2,Percentage teachers National Board certified,2,0.8,10,,2016-17
Revere,Paul Revere Elementary School,02480050,1-A-i,a-exp-i2,Percentage teachers National Board certified,2.27,0.908,10,,2016-17
Revere,Garfield Middle School,02480057,1-A-i,a-exp-i2,Percentage teachers National Board certified,2.3,0.92,10,,2016-17
Revere,Revere High School,02480505,1-A-i,a-exp-i2,Percentage teachers National Board certified,2.4,0.96,10,,2016-17
Revere,Seacoast High School,02480520,1-A-i,a-exp-i2,Percentage teachers National Board certified,10,4,10,,2016-17
Revere,Beachmont Elementary School,02480013,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,97,4.084210526,95,,2016-17
Revere,Revere High School,02480505,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,98,4.126315789,95,,2016-17
Winchester,McCall Middle School,03440305,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,99,4.168421053,95,,2016-17
Somerville,Winter Hill Community Innovation School,02740120,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,99.95,4.208421053,95,,2016-17
Attleboro,Attleboro High School,00160505,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,Cyril K. Brennan Middle School,00160315,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,Robert J. Coelho Middle School,00160305,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,Wamsutta Middle School,00160320,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,Hill-Roberts Elementary School,00160045,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,Hyman Fine Elementary School,00160040,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,A. Irvin Studley Elementary School,00160001,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,Peter Thacher Elementary School,00160050,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Attleboro,Thomas Willett Elementary School,00160035,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Seacoast High School,02480520,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Garfield Middle School,02480057,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Rumney Marsh Academy,02480014,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Susan B. Anthony Middle School,02480305,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Whelan Elementary School,02480003,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Garfield Elementary School,02480056,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Hill Elementary School,02480035,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
Revere,Lincoln Elementary School,02480025,1-A-i,a-exp-i3,Percentage teachers teaching in area of licensure,100,4.210526316,95,,2016-17
