Category,Category ID,Category Description,Category Short Description,Subcategory,Subcategory ID,Subcategory Description,Subcategory Warning High,Subcategory Watch Low,Subcategory Watch High,Subcategory Growth Low,Subcategory Growth High,Subcategory Approval Low,Subcategory Approval High,Subcategory Ideal Low,Measures,Measure Description,Measure ID,Measure Warning High,Measure Watch Low,Measure Watch High,Measure Growth Low,Measure Growth High,Measure Approval Low,Measure Approval High,Measure Ideal Low,Source,Source Notes,Question/item (21-22),Question/item (20-21),Original Item (19-20 surveys),Original Item (20-21 surveys),Survey Item ID,HS only admin item?,Admin Data Benchmark (Absolute) ,Admin Data Unit (Absolute) ,Item Warning High,Item Watch Low,Item Watch High,Item Growth Low,Item Growth High,Item Approval Low,Item Approval High,Item Ideal Low
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Students,,How interesting does your teacher make the things you are learning?,How interesting does your teacher make the things you are learning?,,,s-peff-q5,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Students,,How good is your teacher at helping you learn?,How good is your teacher at helping you learn?,,,s-peff-q6,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Teachers,,How confident are you in your ability to present material clearly?,How confident are you in your ability to present material clearly?,,,t-ieff-q1,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Teachers,,How confident are you in your ability to identify gaps in student understanding?,How confident are you in your ability to identify gaps in student understanding?,,,t-ieff-q2,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Teachers,,How confident are you in your ability to provide extra help to students who need it?,How confident are you in your ability to provide extra help to students who need it?,,,t-ieff-q3,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Teachers,,How confident are you in your ability to make material interesting for students?,How confident are you in your ability to make material interesting for students?,,,t-ieff-q4,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Admin Data,Constructed by MCIEA staff,Percent teacher returning (excluding retirement),Percent teacher returning (excluding retirement),,,a-pcom-i1,,85,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Admin Data,Ed Week,Percent teachers with 10+ days absent,Percent teachers with 10+ days absent,,,a-pcom-i2,,28,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Teachers,,How many teachers in this school feel responsible for helping each other do their best?,How many teachers in this school feel responsible for helping each other do their best?,,,t-pcom-q1,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Teachers,,How many teachers in this school take responsibility for improving the school?,How many teachers in this school take responsibility for improving the school?,,,t-pcom-q2,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Teachers,,"This year, how often have you had conversations with your colleagues about what helps students learn?","This year, how often have you had conversations with your colleagues about what helps students learn?",,,t-pcom-q3,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Teachers,,"As a faculty, how well do you do talking through views, opinions, and values?","As a faculty, how well do you do talking through views, opinions, and values?",,,t-pcom-q4,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Community,Draws on anonymous teacher reports about the health of the professional community. It also includes measures of teacher absences and retention.,1A-iii,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Teachers,,"This year, how often have you had colleagues observe your classroom?","This year, how often have you had colleagues observe your classroom?",,,t-pcom-q5,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Effective Leadership,Draws on anonymous teacher reports about the degree to which teachers believe their principals are a strong leader and trust their principal to make good school-wide decisions.,1B-i,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,To what extent do you trust your principal at his or her word?,To what extent do you trust your principal at his or her word?,,,t-prtr-q1,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Effective Leadership,Draws on anonymous teacher reports about the degree to which teachers believe their principals are a strong leader and trust their principal to make good school-wide decisions.,1B-i,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,"At your school, how comfortable are you raising concerns with the principal?","At your school, how comfortable are you raising concerns with the principal?",,,t-prtr-q2,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Effective Leadership,Draws on anonymous teacher reports about the degree to which teachers believe their principals are a strong leader and trust their principal to make good school-wide decisions.,1B-i,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How much do you trust your principal to stand up for you in disagreements with parents?,How much do you trust your principal to stand up for you in disagreements with parents?,,,t-prtr-q3,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Effective Leadership,Draws on anonymous teacher reports about the degree to which teachers believe their principals are a strong leader and trust their principal to make good school-wide decisions.,1B-i,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How effectively does your principal communicate a clear vision of teaching and learning?,How effectively does your principal communicate a clear vision of teaching and learning?,,,t-inle-q1,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Effective Leadership,Draws on anonymous teacher reports about the degree to which teachers believe their principals are a strong leader and trust their principal to make good school-wide decisions.,1B-i,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How effectively does your principal press teachers to engage in good pedagogical practice?,How effectively does your principal press teachers to engage in good pedagogical practice?,,,t-inle-q2,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Effective Leadership,Draws on anonymous teacher reports about the degree to which teachers believe their principals are a strong leader and trust their principal to make good school-wide decisions.,1B-i,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How much does your principal know about what’s going on in teachers’ classrooms either in-person or online?,How much does your principal know about what’s going on in teachers’ classrooms either in-person or online?,,How much does your principal know about what's going on in teachers' classrooms?,t-inle-q3,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Support For Teaching Development & Growth,Draws on anonymous teacher reports on the quality of professional development.,1B-ii,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,To what extent has your professional development been connected to the topics you teach?,To what extent has your professional development been connected to the topics you teach?,,,t-qupd-q1,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Support For Teaching Development & Growth,Draws on anonymous teacher reports on the quality of professional development.,1B-ii,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,To what extent has your professional development included enough time to explore new ideas?,To what extent has your professional development included enough time to explore new ideas?,,,t-qupd-q3,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Support For Teaching Development & Growth,Draws on anonymous teacher reports on the quality of professional development.,1B-ii,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How much would you say that your professional development has been sustained/consistent (rather than discontinuous)?,How much would you say that your professional development has been sustained/consistent (rather than discontinuous)?,,,t-qupd-q2,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Support For Teaching Development & Growth,Draws on anonymous teacher reports on the quality of professional development.,1B-ii,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,"Overall, how strong has support for your professional growth been?","Overall, how strong has support for your professional growth been?",,,t-qupd-q4,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Support For Teaching Development & Growth,Draws on anonymous teacher reports on the quality of professional development.,1B-ii,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How often do teachers here work together to plan curriculum and instruction?,How often do teachers here work together to plan curriculum and instruction?,,,t-coll-q1,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Support For Teaching Development & Growth,Draws on anonymous teacher reports on the quality of professional development.,1B-ii,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How hard do teachers here work to coordinate their teaching with instruction at other grade levels?,How hard do teachers here work to coordinate their teaching with instruction at other grade levels?,,,t-coll-q2,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
Teachers & Leadership,1,This is a category description.,This is a category short description.,Leadership,1B,Seeks to determine how well school leadership supports teachers and enables them to do their work. It includes measures of effective leadership and support for teaching development & growth,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Support For Teaching Development & Growth,Draws on anonymous teacher reports on the quality of professional development.,1B-ii,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51,Teachers,,How often do teachers here collaborate to make the school run effectively?,How often do teachers here collaborate to make the school run effectively?,,,t-coll-q3,,,,2.48,2.49,2.99,3,3.49,3.5,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Safety,2A,This is a subcategory description.,2.855,2.865,3.365,3.375,3.865,3.875,4.575,4.585,Student Physical Safety,This is a measure description.,2A-i,2.93,2.94,3.44,3.45,3.94,3.95,4.65,4.66,Admin Data,NCES,Student to suspensions ratio,Student to suspensions ratio,,,a-phys-i1,,5.27,ratio,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Safety,2A,This is a subcategory description.,2.855,2.865,3.365,3.375,3.865,3.875,4.575,4.585,Student Physical Safety,This is a measure description.,2A-i,2.93,2.94,3.44,3.45,3.94,3.95,4.65,4.66,Admin Data,Only captured to calculate the ratio,Number of student suspensions,Number of student suspensions,,,a-phys-i2,,n/a,number,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Safety,2A,This is a subcategory description.,2.855,2.865,3.365,3.375,3.865,3.875,4.575,4.585,Student Physical Safety,This is a measure description.,2A-i,2.93,2.94,3.44,3.45,3.94,3.95,4.65,4.66,Admin Data,only captured to calculate the chronic absence ratio,Number of students suspended for 10+ days,Number of students suspended for 10+ days,,,a-phys-i3,,n/a,number,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Safety,2A,This is a subcategory description.,2.855,2.865,3.365,3.375,3.865,3.875,4.575,4.585,Student Physical Safety,This is a measure description.,2A-i,2.93,2.94,3.44,3.45,3.94,3.95,4.65,4.66,Students,,How often do you worry about violence at your school?,How often do you worry about violence at your school?,,,s-phys-q1,,,,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Safety,2A,This is a subcategory description.,2.855,2.865,3.365,3.375,3.865,3.875,4.575,4.585,Student Physical Safety,This is a measure description.,2A-i,2.93,2.94,3.44,3.45,3.94,3.95,4.65,4.66,Students,,How often do students get into physical fights at your school?,How often do students get into physical fights at your school?,,,s-phys-q2,,,.,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Safety,2A,This is a subcategory description.,2.855,2.865,3.365,3.375,3.865,3.875,4.575,4.585,Student Physical Safety,This is a measure description.,2A-i,2.93,2.94,3.44,3.45,3.94,3.95,4.65,4.66,Students,,"Overall, how physically safe do you feel at school?","Overall, how physically safe do you feel at school?",,,s-phys-q3,,,,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51
