Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,district_code,school_code,,,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,"t-inle-q2",t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,#N/A,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,,,,
2020-12-07 11:05:52,2020-12-07 11:21:26,0,50.250.37.165,100,934,1,2020-12-07 11:21:27,R_3PuEVpXLzkIDwHh,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,5,4,5,3,4,3,3,1,4,4,4,5,3,3,3,4,3,3,4,4,3,4,4,4,4,2,2,5,3,3,4,4,4,4,4,2,3,2,3,5,4,2,3,3,4,4,4,4,4,4,4,4,5,3,3,1,4,4,4,4,4,3,3,4,4,3,4,4,3,3,I believe that the survey questions are affected by the hybrid model and covid restrictions. Under normal circumstances my answers would have been more towards the positive range.,8,7,
2020-12-07 11:36:46,2020-12-07 11:43:03,0,50.250.37.165,100,376,1,2020-12-07 11:43:03,R_1jkTpajvgOe13v0,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,2,2,5,3,2,2,1,1,4,4,1,3,1,1,1,1,2,1,2,5,2,3,1,1,1,3,3,4,3,3,3,3,3,3,3,2,2,1,2,5,1,1,1,1,3,3,4,3,2,2,2,4,5,2,1,1,3,2,1,2,3,3,3,1,2,2,1,2,3,3,,5,3,
2020-12-07 14:02:49,2020-12-07 14:11:01,0,50.250.37.165,100,492,1,2020-12-07 14:11:02,R_1exgjJ9yxQ3dpy3,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,5,5,5,4,3,3,3,1,4,4,3,4,5,4,4,5,3,3,3,4,5,5,4,4,3,3,3,3,4,4,4,4,4,3,3,1,2,4,2,5,4,3,4,3,3,3,4,4,4,3,3,3,1,3,3,1,4,3,2,4,2,3,3,2,2,5,4,4,3,4,"So many of these questions are impossible to know the answers to.  I have no idea how often other teachers do things, only how often I do.  I have no idea how many parents volunteer, etc.  I can't imagine this is a helpful survey because I guessed on 2/3's of the answers.",3,3,"make Do Not Know an answer.  As I mentioned, I just guessed for most of this and would not want to rely on it as a true reflection of how this school is."
2020-12-07 14:45:14,2020-12-07 14:56:56,0,50.250.37.165,100,701,1,2020-12-07 14:56:56,R_RepYykgzuzk7VIZ,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,2,5,4,4,4,4,4,5,3,4,5,5,3,4,4,3,4,4,4,5,5,5,4,4,4,5,5,3,2,1,5,3,3,5,4,3,3,5,4,5,3,4,3,4,,9,7,
2020-12-07 18:00:06,2020-12-07 18:38:27,0,66.31.158.228,100,2300,1,2020-12-07 18:38:28,R_29nb6cig1lCLjj7,,,,,42.10940552,-71.17590332,anonymous,EN,1,2,2,,5,5,5,2,2,4,3,1,5,5,5,3,4,4,4,4,3,2,3,4,5,5,4,3,4,3,3,4,3,3,3,3,4,4,4,5,4,4,3,3,3,3,3,3,5,4,4,4,4,4,3,5,5,2,2,2,4,4,3,4,3,3,3,3,3,3,2,2,2,2,,7,7,It's difficult to answer the question about support staff into accurately when they are all lumped together.  I work with an EL teacher who is tremendously supportive and an Inclusion Specialist who is not very supportive so it is difficult to answer such a broad questions accurately.
2020-12-07 19:39:25,2020-12-07 19:54:22,0,96.230.153.82,100,897,1,2020-12-07 19:54:23,R_3CBmApShGCPD4yX,,,,,41.98530579,-71.5184021,anonymous,EN,1,4,2,,5,4,4,4,3,4,3,1,4,4,4,3,4,4,4,4,4,3,4,5,5,5,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,5,2,4,4,4,5,4,3,2,2,4,4,5,3,3,1,3,3,,3,4,3,3,3,3,4,3,4,3,4,"With hybrid learning and COVID protocols in place, we do not get to see or talk to colleagues around bldg except on zoom, nor do we see students other than our own. Students stay in seats all day and due to COVID restrictions do not have opportunities to interact with others outside cohort",8,5,"Many questions needed a does not apply, especially due to Covid restrictions this year"
2020-12-08 8:24:05,2020-12-08 8:37:23,0,172.56.23.160,100,798,1,2020-12-08 8:37:24,R_3r0sSRVCZyTmK1q,,,,,41.85780334,-71.43769836,anonymous,EN,1,3,2,,5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,5,5,5,4,4,4,2,2,4,4,4,4,4,4,4,4,3,3,5,3,4,5,3,5,5,2,2,4,5,4,3,3,3,5,4,4,3,4,4,4,5,4,3,3,4,3,3,3,3,3,3,,8,8,
2020-12-08 8:29:23,2020-12-08 8:50:26,0,96.70.214.165,100,1263,1,2020-12-08 8:50:26,R_0MzDRyL0S1SilEZ,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,5,5,4,4,3,3,1,4,4,4,4,2,2,3,2,3,4,3,2,2,3,2,2,1,3,3,4,3,3,4,3,3,1,2,2,3,3,3,2,2,1,2,2,3,4,4,4,4,4,4,4,5,4,2,1,1,1,1,2,4,4,3,3,3,3,2,3,2,2,"These were very difficult questions to ask considering that we are in a pandemic where students spend all day (2/5 the week)  in one class wearing masks and ALL teachers move to each classroom on carts. The second 3/5 of the week is at home struggling to keep up with their work,  Very unfair ",2,2,Really not fair to ask any of these questions this year considering the state we are in.
2020-12-08 8:47:53,2020-12-08 8:54:27,0,96.70.214.165,100,394,1,2020-12-08 8:54:27,R_2UhlgyC4ddzeSx5,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,4,5,5,4,3,4,2,4,3,3,3,3,3,3,3,2,3,4,5,5,5,5,5,5,2,1,5,4,2,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,5,4,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,,7,6,
2020-12-08 8:45:08,2020-12-08 8:57:02,0,96.230.6.70,100,713,1,2020-12-08 8:57:02,R_1LwJSGEcUbbtedH,,,,,41.97239685,-71.55079651,anonymous,EN,1,3,2,,5,4,5,2,2,4,3,2,5,4,4,4,4,2,4,3,4,3,3,1,4,3,2,3,2,3,3,4,3,3,4,3,3,3,2,3,3,3,4,4,4,2,4,3,3,3,3,4,2,1,1,2,4,3,3,2,4,4,1,4,3,3,3,3,3,4,2,3,3,3,,9,8,
2020-12-08 9:01:11,2020-12-08 9:10:15,0,96.70.214.165,100,544,1,2020-12-08 9:10:16,R_2V40RFJvIL8lU04,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,5,5,5,5,4,5,1,4,4,4,4,4,4,4,4,5,3,4,4,3,5,4,4,4,2,1,5,5,5,5,4,4,4,4,3,3,3,4,4,5,4,4,4,5,4,4,4,2,2,2,2,5,4,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,,7,,
2020-12-08 8:18:16,2020-12-08 9:27:20,0,96.70.214.165,100,4144,1,2020-12-08 9:27:21,R_3DwDn1msywNc4PK,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,4,4,4,4,4,3,4,4,4,3,4,3,3,3,2,2,5,5,4,5,4,5,4,4,4,2,2,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,4,4,4,4,4,3,4,4,3,5,4,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,,8,5,
2020-12-08 9:06:15,2020-12-08 9:36:40,0,96.70.214.165,100,1824,1,2020-12-08 9:36:41,R_9QNTwrS3dELEWBz,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,5,5,4,5,5,3,1,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,2,2,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,4,3,2,3,3,2,4,3,4,3,4,4,2,3,3,2,3,,8,9,
2020-12-08 9:31:50,2020-12-08 9:56:36,0,96.70.214.165,100,1486,1,2020-12-08 9:56:37,R_1Lo0DwXGrc84DC1,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,5,5,3,3,3,3,1,4,2,2,4,3,3,3,4,5,4,4,4,4,4,4,4,4,2,2,5,4,4,4,4,4,4,4,5,5,5,3,3,2,2,2,2,5,5,3,5,3,3,3,3,4,3,2,2,4,4,3,4,4,3,3,2,4,4,4,4,3,5,,8,6,
2020-12-08 8:21:56,2020-12-08 10:11:55,0,96.70.214.165,100,6599,1,2020-12-08 10:11:56,R_268qRtDGRZaYtsj,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,5,4,4,4,5,4,2,4,4,3,3,3,3,5,4,4,4,5,5,5,5,4,3,4,3,2,4,4,4,4,3,4,3,4,3,3,3,2,3,5,3,4,4,4,5,4,4,2,2,3,3,4,4,4,2,5,5,2,4,3,3,3,2,3,4,2,3,2,3,,7,5,
2020-12-08 12:48:03,2020-12-08 13:07:36,0,96.70.214.165,100,1172,1,2020-12-08 13:07:36,R_2V2b71kAKEK85cn,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,5,5,4,4,4,3,1,5,4,4,4,2,2,4,3,4,3,3,5,5,5,4,4,4,2,2,4,4,4,4,4,3,3,3,4,3,2,3,3,3,2,3,3,4,5,5,4,3,3,3,3,4,2,2,2,2,4,4,4,3,3,3,3,3,4,3,3,3,3,,4,4,
2020-12-08 12:48:07,2020-12-08 13:07:57,0,96.70.214.165,100,1189,1,2020-12-08 13:07:58,R_RQs96hL03jurpnj,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,4,4,4,3,4,4,1,4,4,4,4,3,3,4,3,4,3,3,4,5,5,4,4,4,2,2,4,4,4,4,4,3,3,4,3,3,2,3,3,4,2,2,3,4,4,4,4,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,,4,5,
2020-12-08 13:50:08,2020-12-08 14:06:48,0,96.70.214.165,100,999,1,2020-12-08 14:06:48,R_3ijR68Sxffp0JvS,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,4,4,4,4,2,4,2,3,3,3,5,2,3,3,3,2,3,3,3,2,3,3,3,2,2,1,4,4,4,4,4,2,2,2,3,3,3,3,2,3,4,3,3,2,3,4,4,4,3,2,3,3,3,3,3,2,2,2,3,3,3,3,2,3,2,2,2,2,2,,9,5,
2020-12-08 14:06:00,2020-12-08 14:20:24,0,96.253.61.165,100,863,1,2020-12-08 14:20:25,R_5pswpGMQuFF4IZH,,,,,41.71389771,-71.38950348,anonymous,EN,1,4,2,,5,5,5,5,5,5,4,1,4,4,4,4,4,4,4,4,4,3,4,5,5,5,4,2,2,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,5,1,3,3,4,4,4,4,2,2,2,3,4,2,2,2,3,3,1,4,4,3,3,3,3,3,3,4,3,4,"Our school need more staff to support students social and emotional needs. 
We have 1 school adjustment counselor for almost 600 students;completely inadequate. 
Guidance counselors are needed at the MS level to help with this and to eleviate the school adjustment counselor of extra duties. ",9,4,
2020-12-08 14:05:37,2020-12-08 14:21:20,0,50.250.37.165,100,942,1,2020-12-08 14:21:20,R_234B3RS1nZJEDB6,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,5,5,5,5,5,4,4,3,5,5,4,3,4,4,4,4,4,5,5,5,4,2,4,4,4,2,1,4,4,5,4,4,3,3,3,3,4,3,4,5,4,3,5,5,5,4,5,5,4,4,4,5,5,3,3,1,5,5,3,5,4,3,3,3,3,4,4,4,4,4,,8,,
2020-12-08 16:02:28,2020-12-08 16:24:39,0,173.76.119.77,100,1330,1,2020-12-08 16:24:39,R_3GoGHTuJV4T24MJ,,,,,41.90820313,-71.10310364,anonymous,EN,1,3,2,,4,1,4,4,2,2,2,1,2,4,3,3,3,3,4,3,4,2,4,3,2,5,3,3,2,2,2,4,4,3,4,4,3,4,3,1,2,3,1,2,4,2,2,2,4,2,4,1,4,4,4,5,5,3,2,1,3,4,3,4,4,5,2,4,4,2,3,4,3,3,You didn't ask if we have enough materials to teach our content areas.,9,4,
2020-12-08 17:54:59,2020-12-08 18:24:02,0,96.252.58.119,100,1743,1,2020-12-08 18:24:02,R_2zGtoiAgLpcNJ4P,,,,,41.97390747,-71.32839966,anonymous,EN,1,3,2,,4,4,4,4,4,4,4,3,4,4,4,3,2,2,4,2,4,3,4,4,4,5,4,4,3,2,1,4,2,4,4,4,2,3,3,2,3,2,2,2,3,3,3,2,3,4,,4,2,2,4,2,5,3,3,,2,4,3,4,3,3,3,,3,2,2,3,2,3,,4,4,
2020-12-09 5:11:45,2020-12-09 5:22:25,0,24.91.216.45,100,639,1,2020-12-09 5:22:25,R_2CZG4H8CwU7HS9B,,,,,41.97390747,-71.32839966,anonymous,EN,1,4,2,,5,5,5,4,4,3,4,1,5,4,4,5,4,4,3,4,5,2,4,4,4,4,4,4,4,2,2,5,4,3,5,5,3,3,3,4,3,3,3,3,3,3,3,3,4,5,4,4,4,4,4,5,5,2,2,1,2,3,3,3,4,3,3,3,3,3,3,4,3,3,,8,8,
2020-12-08 14:07:31,2020-12-09 6:14:49,0,24.91.220.195,100,58038,1,2020-12-09 6:14:49,R_3jcwSqQehrtASCQ,,,,,41.83779907,-71.32240295,anonymous,EN,1,3,2,,5,5,5,4,4,5,4,1,4,4,4,4,2,2,3,2,2,5,5,3,1,4,3,4,2,2,2,5,4,4,4,4,4,4,4,3,3,3,2,3,5,3,3,3,3,4,5,5,3,2,2,3,3,3,4,2,4,4,4,5,4,3,3,3,3,3,2,2,2,2,,8,5,
2020-12-09 8:21:36,2020-12-09 8:35:10,0,96.70.214.197,100,813,1,2020-12-09 8:35:11,R_2zVby7aIGPw3NFT,,,,,41.92610168,-71.30110168,anonymous,EN,1,2,2,,5,5,5,4,4,5,5,2,5,5,5,5,3,4,5,5,4,4,5,5,5,5,5,5,5,2,2,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,4,3,4,4,4,5,2,2,3,4,4,2,2,1,3,3,3,5,3,3,3,4,4,4,3,3,3,3,,8,6,
2020-12-09 8:32:44,2020-12-09 8:39:17,0,50.204.125.194,100,393,1,2020-12-09 8:39:18,R_1igGShPS43hMMO6,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,2,,5,5,5,4,3,5,5,3,4,4,4,4,3,2,4,3,5,4,4,3,2,4,3,4,3,2,2,4,3,4,4,4,4,3,5,3,3,3,3,2,3,2,3,3,4,4,4,4,3,2,3,3,3,2,2,2,2,2,2,2,3,4,4,3,4,4,3,3,3,3,,8,4,
2020-12-09 8:30:06,2020-12-09 8:39:19,0,50.204.125.194,100,553,1,2020-12-09 8:39:20,R_3KHhEBpYRh5jUR0,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,2,,4,4,4,2,2,5,2,1,4,4,3,4,4,3,3,4,3,3,3,2,4,3,2,2,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,1,3,4,4,4,4,2,3,3,3,4,3,3,3,2,2,2,2,2,3,3,3,3,3,3,1,4,1,4,,5,4,
2020-12-09 8:32:23,2020-12-09 8:40:22,0,50.204.125.194,100,479,1,2020-12-09 8:40:22,R_1goxtSXT1FPGwoN,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,2,,5,5,5,2,2,3,3,2,5,4,5,5,4,4,5,4,3,1,3,4,4,3,4,3,3,3,3,3,2,3,3,2,3,2,4,2,2,1,1,3,1,1,2,2,4,4,4,3,4,4,4,5,5,3,2,2,1,3,2,3,4,3,3,4,3,3,3,4,3,4,We're all struggling. We're all trying our best. But it's nearly impossible to give students/families/colleagues what they need to succeed against such tremendous struggles. ,9,4,
2020-12-09 8:32:01,2020-12-09 8:40:42,0,50.204.125.194,100,520,1,2020-12-09 8:40:42,R_3rSSsDtJBS9FGtZ,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,2,,5,5,5,4,4,5,2,2,3,4,4,4,5,5,5,5,5,4,4,4,4,3,5,4,4,3,3,4,3,4,4,2,3,2,4,4,3,3,2,4,4,4,3,4,3,4,3,4,3,3,4,5,4,4,3,2,2,2,4,4,3,3,3,4,5,4,4,5,2,3,,9,5,
2020-12-09 8:34:42,2020-12-09 8:41:29,0,50.204.125.194,100,407,1,2020-12-09 8:41:29,R_1mXjpYOSkX7M9XA,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,4,,5,5,5,4,3,3,3,2,4,4,4,3,4,3,3,4,4,4,5,5,5,5,5,5,4,2,2,5,4,4,4,4,4,4,4,5,2,3,3,3,4,4,4,4,4,5,5,5,4,3,3,2,5,4,3,3,5,5,4,4,4,3,3,4,4,4,4,4,5,5,,8,3,
2020-12-09 8:33:19,2020-12-09 8:43:02,0,73.249.59.34,100,582,1,2020-12-09 8:43:03,R_d4sqkklZ5eHeqnT,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,2,,5,5,5,2,3,4,2,1,5,5,5,5,1,4,4,4,4,3,4,5,5,5,4,5,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,4,4,5,4,5,3,4,5,5,5,4,4,4,1,4,3,2,4,3,4,4,3,5,2,3,3,2,3,,5,5,
2020-12-09 8:33:43,2020-12-09 8:44:14,0,50.204.125.194,100,631,1,2020-12-09 8:44:14,R_3njB4Iax0acMfMx,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,2,,5,5,5,4,4,5,5,1,5,5,5,5,3,3,1,2,1,1,2,3,3,5,3,1,1,3,3,3,3,3,3,3,1,1,5,5,3,3,1,2,5,1,3,3,2,5,5,5,1,1,5,1,5,4,4,5,4,4,1,4,4,4,4,1,4,2,3,5,3,5,Many of the topics in this survey are unknown to me.  The survey should be particular to the individual's role in the building to get more accurate results.,9,,"Given the pandemic, many of the questions are not applicable this year.  We're not doing group work, we are not going into areas of the building that are unfamiliar to us, and many of these questions involve things that I know nothing about.  Having to put an answer reduces the accuracy of the resul"
2020-12-09 8:42:48,2020-12-09 8:52:22,0,50.204.125.194,100,573,1,2020-12-09 8:52:22,R_3POlbePWAbFrtYW,,,,,41.92610168,-71.30110168,anonymous,EN,1,1,2,,5,4,5,4,3,3,3,2,4,4,4,4,4,4,3,4,3,2,3,4,4,5,4,4,4,2,2,4,3,3,4,4,3,3,3,2,3,3,3,3,4,3,3,4,2,4,4,4,4,4,3,4,3,3,3,1,4,4,3,4,3,3,3,3,3,4,5,5,4,5,,8,5,
2020-12-08 8:21:10,2020-12-09 8:53:33,0,96.70.214.165,100,88342,1,2020-12-09 8:53:33,R_bBYuIbpaB5YCccF,,,,,41.92610168,-71.30110168,anonymous,EN,1,3,2,,5,5,4,5,5,5,4,5,4,5,5,4,4,3,5,5,5,3,5,5,5,5,4,4,3,2,2,4,3,2,3,4,4,4,4,5,5,5,4,4,5,3,4,4,4,3,4,4,2,2,3,3,5,3,3,2,3,3,3,4,3,3,3,3,2,2,2,2,2,2,,3,5,"I am a first year teacher at this school. Many of these questions were difficult for me to answer based on limited knowledge of the school community, with extenuating circumstances surrounding the pandemic. "
2020-12-09 8:32:02,2020-12-09 8:57:41,0,73.159.152.133,100,1539,1,2020-12-09 8:57:42,R_2EuFXh0evlZZyWa,,,,,42.24630737,-70.99720001,anonymous,EN,1,1,2,,5,5,5,4,5,5,3,2,5,5,5,5,4,3,4,4,5,3,5,5,5,5,5,5,5,2,2,3,4,4,4,3,4,4,4,3,3,5,3,4,3,5,4,4,4,4,4,4,3,3,3,4,4,3,3,2,4,4,3,5,4,3,3,3,3,3,3,4,3,5,,7,5,
2020-12-09 8:55:57,2020-12-09 9:05:51,0,73.61.48.245,100,593,1,2020-12-09 9:05:51,R_1qfAK9c49DBGZkU,,,,,41.7559967,-71.14920044,anonymous,EN,1,1,2,,5,5,5,2,2,2,1,1,4,4,5,3,2,1,2,4,3,2,2,3,2,4,2,2,2,3,3,3,4,4,4,4,3,3,4,3,2,2,3,4,5,2,3,3,4,4,4,4,4,3,3,4,5,5,5,3,3,4,3,3,3,3,3,3,3,3,4,5,4,5,,4,7,
