StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,School,Which of the following best describes the role you play at your school? Please select only 1 choice.,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-sach-q1,t-sach-q2,t-sach-q3
2022-11-16 9:13:23,2022-11-16 9:27:55,0,208.118.224.218,100,872,1,2022-11-16T9:27:56,R_3D7QhbbWi6JR7ed,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,3,4,4,3,1,5,5,4,4,3,3,2,3,4,3,4,3,3,4,4,4,4,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3,3,4,4,2,4,3,4,3,4,5,3,4,4,4,4,4,2,3,3
2022-11-17 15:23:52,2022-11-17 15:35:14,0,208.118.224.221,100,681,1,2022-11-17T15:35:15,R_12tHFg7hc4mvVKd,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,4,4,3,4,4,3,5,4,4,4,3,3,3,3,4,4,5,4,3,3,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,4,3,3,2,3,4,3,3,3,3,4,4,4,4,3,2,3,3,3,2,3,4,3,3,2,2,2,2
2022-11-16 10:07:23,2022-11-16 10:20:01,0,131.239.118.46,100,758,1,2022-11-16T10:20:2,R_1OriDYYY1kSqAlJ,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,4,4,4,4,3,1,5,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,,,4,2,3,3,2,1,3,3,5,3,3,2,3,3,3,3,2,2,3,3,4,3,4,3,4,3,3,3,3,3
2022-11-16 10:06:33,2022-11-16 10:15:06,0,208.118.224.215,100,513,1,2022-11-16T10:15:7,R_Zw4T2lLAfncLBQJ,42.6351,-71.3014,anonymous,EN,3,1600310,1,3,3,4,4,4,5,3,2,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,3,3,3,3,2,4,4,4,4,5,4,5,5,3,3,3,4,5,3,3,4,5,4,3,4,3,3,3,5,5,4,4,4,4,4,4,1,3,2
2022-11-16 10:09:50,2022-11-16 10:24:07,0,131.239.118.35,100,856,1,2022-11-16T10:24:8,R_1etsQVAdDVQ9niO,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,4,4,5,3,1,5,5,4,4,3,3,4,4,4,2,4,5,4,4,4,4,4,3,3,3,4,3,3,3,4,3,4,4,4,4,,,4,3,4,3,3,3,3,4,4,3,3,1,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,3,4,4
2022-11-16 13:14:14,2022-11-16 13:30:40,0,208.118.224.216,100,986,1,2022-11-16T13:30:41,R_1NrkEVzjpgGf8W6,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,4,5,5,5,4,4,4,5,5,4,3,3,4,5,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,2,2,4,5,4,5,3,3,4,3,3,3,4,4,4,4,4,3,3,3
2022-11-17 16:15:31,2022-11-17 16:22:25,0,131.239.118.9,100,414,1,2022-11-17T16:22:26,R_UbW4k1xhaVV5Mel,42.6351,-71.3014,anonymous,EN,3,1600310,4,4,4,4,5,5,5,4,2,,,,,5,4,5,4,,,,5,5,5,,,,4,4,3,3,3,4,4,,,,5,5,5,4,5,4,4,5,4,,,,,5,3,3,3,5,5,4,5,,,,3,5,3,4,,,,,,,
2022-11-17 8:05:39,2022-11-22 9:41:06,0,208.118.224.212,55,437726,0,2022-11-29T9:41:12,R_1jZJA1zU6hLAcw3,,,anonymous,EN,3,1600310,3,4,3,5,5,4,5,4,2,5,5,5,4,4,3,2,4,4,4,4,5,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,2,3,3,3,4,3,3,3,3,4,4,4,4,5,3,3,2,5,5,3,4,,,,3,3,4,5,4,3,4,4,,,
2022-11-16 10:04:26,2022-11-16 10:20:45,0,208.118.224.215,100,979,1,2022-11-16T10:20:45,R_22EW9qPleah7M7x,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,3,5,4,4,3,2,3,3,4,3,4,3,4,4,4,2,3,4,4,4,4,4,3,2,2,2,3,3,3,2,2,3,2,3,3,3,,,3,3,4,3,3,4,4,5,4,3,2,2,4,4,3,4,3,3,4,3,3,3,3,4,2,3,4,1,2,2
2022-11-16 8:41:06,2022-11-18 8:21:05,0,208.118.224.222,100,171598,1,2022-11-18T8:21:6,R_OkwSeujSD5rctaN,42.6351,-71.3014,anonymous,EN,3,1600310,5,5,4,5,2,2,5,4,3,4,4,5,,3,3,3,2,4,4,3,4,4,4,4,4,4,3,3,4,3,4,4,3,3,3,3,2,2,2,3,3,3,2,3,3,2,3,3,4,1,3,3,3,4,4,3,4,3,3,4,3,3,3,3,,,,,,,
2022-11-16 7:33:09,2022-11-16 7:44:38,0,208.118.224.217,100,688,1,2022-11-16T7:44:38,R_23e03xYB8IPigYC,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,1,2,3,3,1,3,3,3,3,1,2,2,2,4,2,2,1,1,2,1,2,1,2,2,4,4,4,4,3,2,2,2,3,3,4,2,3,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2,1,2,2,3,3,3,3,3,3,2,2,3,2,2
2022-11-16 10:06:55,2022-11-16 10:31:07,0,208.118.224.222,100,1452,1,2022-11-16T10:31:8,R_32WPrEANkZfXqjV,42.6351,-71.3014,anonymous,EN,3,1600310,2,5,4,5,5,5,4,3,2,5,5,5,4,3,4,3,4,4,3,5,5,5,4,3,4,4,4,4,4,4,4,4,3,2,3,2,5,5,3,,4,4,3,4,4,4,4,4,5,3,2,3,2,5,4,3,3,3,4,4,3,3,3,3,3,4,3,3,,,
2022-11-16 10:07:14,2022-11-16 10:26:15,0,208.118.224.214,100,1140,1,2022-11-16T10:26:16,R_2urCMnz9YvUYU2I,42.6351,-71.3014,anonymous,EN,3,1600310,3,5,4,5,4,4,5,3,1,4,4,4,4,4,3,3,4,4,2,4,4,4,4,4,4,4,3,4,2,3,3,3,2,3,3,2,2,3,3,,,4,3,3,3,4,4,4,4,5,3,3,2,4,4,3,4,2,2,2,4,4,3,5,4,3,3,4,,,
2022-11-16 13:20:11,2022-11-16 21:08:39,0,98.229.180.98,100,28108,1,2022-11-16T21:8:40,R_20MTtSHZRf6JQYb,42.4571,-71.221,anonymous,EN,3,1600310,3,5,5,5,5,5,5,4,3,4,4,5,4,4,4,5,5,3,5,5,5,4,5,5,5,4,3,3,4,4,5,4,4,4,4,4,4,3,2,3,4,4,3,4,4,3,3,5,5,5,3,3,1,5,4,3,5,3,3,3,3,3,3,3,4,4,4,4,,,
2022-11-16 13:44:26,2022-11-16 15:12:25,0,208.118.224.222,100,5279,1,2022-11-16T15:12:26,R_2EH2LApPTSTqA2E,42.6351,-71.3014,anonymous,EN,3,1600310,2,5,4,3,4,4,5,3,2,4,4,4,3,3,3,3,2,,2,3,5,4,4,4,3,3,4,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,1,1,2,3,3,4,2,2,2,2,3,2,1,3,2,3,3,2,2,3,3,3,3,2,2,,,
2022-11-16 8:11:39,2022-11-16 9:01:57,0,208.118.224.214,100,3017,1,2022-11-16T9:1:57,R_1mV1fOeevyyxVCw,42.6351,-71.3014,anonymous,EN,3,1600310,3,4,3,4,3,3,3,3,1,4,4,4,4,3,3,3,4,2,1,1,4,4,4,4,3,3,2,2,2,2,2,2,2,4,4,3,3,3,1,3,3,4,1,2,1,3,3,3,4,2,3,3,1,4,3,3,3,3,3,4,3,3,3,4,3,4,3,3,,,
2022-11-17 9:55:54,2022-11-17 14:25:25,0,131.239.118.29,100,16171,1,2022-11-17T14:25:26,R_3Eg0LEuR3fP1yuO,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,4,2,4,3,3,4,4,4,3,2,2,2,3,3,2,2,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,2,3,3,3,2,3,2,3,4,3,5,5,3,3,1,4,4,2,4,3,3,4,3,4,3,4,5,4,4,4,2,2,2
2022-11-17 14:18:09,2022-11-18 17:11:22,0,73.186.242.164,29,96793,0,2022-11-25T17:11:25,R_egrPMNdBVRDpoKR,,,anonymous,EN,3,1600310,4,,,,4,4,3,4,1,,,,,4,3,5,4,,,,,,,,,,4,4,3,,,,,,,,,,,,,,,,,,,,,5,3,2,3,4,3,3,4,,,,,,,,,,,,,,
2022-11-17 9:17:22,2022-11-17 9:29:44,0,208.118.224.209,100,741,1,2022-11-17T9:29:44,R_2XcvzlbLFahOcer,42.6351,-71.3014,anonymous,EN,3,1600310,1,3,4,4,4,4,5,4,2,3,3,3,4,3,3,3,4,4,2,3,5,5,5,4,4,3,3,3,2,3,2,3,3,3,3,2,2,4,3,3,3,2,3,3,2,3,4,4,5,3,2,2,1,3,3,2,3,2,3,2,3,4,3,5,2,3,5,3,2,2,2
2022-11-16 11:08:41,2022-11-16 12:41:49,0,131.239.118.17,100,5588,1,2022-11-16T12:41:50,R_1K8OGAiY0ox6etC,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,4,4,3,3,3,5,4,4,3,4,4,3,4,3,3,4,5,5,5,3,3,3,3,3,4,4,3,3,3,3,3,1,4,5,4,,,3,1,5,2,3,4,3,5,3,2,2,1,5,4,3,4,3,3,4,3,3,3,5,4,4,5,4,4,3,2
2022-11-21 8:18:37,2022-11-21 8:29:03,0,208.118.224.220,100,625,1,2022-11-21T8:29:4,R_aia2b7Lp5ZFX42t,42.6351,-71.3014,anonymous,EN,3,1600310,4,5,5,5,4,4,5,4,1,,,,,4,4,4,4,,,,4,4,5,,,,3,3,3,4,3,4,3,,,,4,4,4,4,4,4,4,5,4,,,,,5,2,3,1,4,3,2,4,,,,4,4,3,5,,,,,,,
2022-11-16 9:14:15,2022-11-16 9:47:49,0,131.239.118.20,100,2013,1,2022-11-16T9:47:50,R_ddvicT5heod6oal,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,5,4,3,4,5,4,2,4,3,4,4,3,3,2,2,4,2,4,4,4,4,4,4,4,2,2,2,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,4,3,4,4,4,1,2,1,1,3,1,1,2,3,3,3,3,4,3,5,,,3,,3,3,3
2022-11-16 9:23:49,2022-11-16 9:41:24,0,208.118.224.216,100,1054,1,2022-11-16T9:41:25,R_3efOigED3jpynoH,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,3,3,3,3,2,5,4,5,5,4,4,5,5,4,4,4,2,1,1,3,3,5,3,4,3,3,3,4,3,4,4,4,4,4,4,5,4,3,4,4,4,4,5,4,5,5,3,3,2,3,4,3,5,2,2,4,2,2,4,5,4,4,4,5,3,3,4
2022-11-16 11:05:48,2022-11-16 17:48:35,0,208.118.224.221,100,24167,1,2022-11-16T17:48:35,R_263ilwaYwkgS3is,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,2,2,4,3,3,3,4,3,3,4,5,3,4,4,4,3,5,5,3,4,4,4,3,3,2,3,4,3,3,2,2,2,3,3,3,4,4,3,2,3,3,4,2,3,4,4,2,1,1,4,4,5,2,2,2,4,2,4,3,5,4,3,3,4,1,2,2
2022-11-16 9:13:52,2022-11-16 9:36:21,0,131.239.118.30,100,1348,1,2022-11-16T9:36:21,R_ZjCLMSRFSJMLgT7,42.6351,-71.3014,anonymous,EN,3,1600310,1,3,4,3,3,4,3,3,2,3,2,3,3,1,2,2,2,4,3,3,4,3,2,4,3,2,2,2,2,2,3,2,2,3,4,2,2,4,4,3,4,3,4,4,3,5,3,3,4,2,2,1,1,5,4,3,3,4,3,3,2,5,3,5,,1,5,2,2,2,2
2022-11-17 14:07:25,2022-11-17 14:18:56,0,131.239.118.33,100,690,1,2022-11-17T14:18:57,R_vUd4kedvoG2A397,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,4,5,5,5,3,5,5,5,5,3,3,3,3,1,1,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,3,5,4,3,2,4,4,3,3,5,4,4,5,5,2,2,2,5,4,3,5,3,4,4,4,5,4,4,5,4,5,4,3,4,4
2022-11-17 14:15:01,2022-11-17 14:28:13,0,131.239.118.10,100,792,1,2022-11-17T14:28:14,R_2EFynzgbWqhy9ng,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,3,4,2,2,5,3,1,3,3,1,4,1,1,2,1,2,5,2,2,3,3,1,2,1,4,4,4,3,2,3,3,3,2,3,1,2,2,2,3,3,1,1,2,2,2,3,4,4,3,3,1,3,3,3,3,4,3,3,3,4,4,4,3,3,2,2,3,2,2
2022-11-16 10:07:38,2022-11-16 10:16:04,0,208.118.224.211,100,505,1,2022-11-16T10:16:4,R_1ImD5wixFn2hpf8,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,5,4,5,4,2,5,4,4,5,3,2,3,3,4,3,4,5,5,5,5,5,4,4,4,3,3,3,3,2,4,4,4,4,4,3,,,2,3,3,2,5,5,5,5,5,3,3,1,5,5,3,4,4,4,4,3,4,3,5,4,5,5,5,2,2,2
2022-11-17 11:52:44,2022-11-17 12:38:34,0,131.239.118.47,100,2749,1,2022-11-17T12:38:35,R_2dKqVum0yhWTGc0,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,4,4,5,1,1,4,3,2,3,2,3,4,3,5,2,3,2,2,1,2,3,3,3,4,3,3,3,3,3,4,4,3,3,3,1,1,1,3,3,3,1,4,5,3,4,2,1,1,1,4,2,2,2,4,2,5,3,3,3,3,4,2,3,1,1,2,2
2022-11-16 10:03:51,2022-11-16 10:16:23,0,131.239.118.25,100,751,1,2022-11-16T10:16:23,R_24CUO0mAqLEjv9q,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,5,5,5,3,2,5,5,5,5,2,3,2,3,5,5,4,5,5,4,5,4,4,4,4,2,2,4,3,1,3,4,3,3,4,4,,,2,1,3,3,4,4,3,4,5,1,2,1,4,4,2,4,3,4,5,3,3,3,3,5,5,5,4,3,4,3
