StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,District,DESE ID,"Please select the month, day and year of your birthday. - Month","Please select the month, day and year of your birthday. - Day","Please select the month, day and year of your birthday. - Year",LASID,grade,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,gender,What is your gender? - Another gender or gender identity not listed above - Text,race,What is your race/ethnicity?(Please select all that apply) - Prefer to self-describe - Text,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher
4/26/22 7:57,4/26/22 8:13,0,50.205.154.86,100,920,1,2022-04-26T8:13:6,R_2z6C3ZITZ80C4v9,EN,4,2480057,10,10,108,47585,8,1,1,2,1,2,5,1,1,5,5,5,,,,,,5,,5,1,1,2,1,,,,,1,,1,2,,,1,,1,1,,5,1,1,,,,1,5,2,4,5,5,4,5,5,5,,,,1,,,,,,,,,,3,jackson ,7,jackson ,EN,Math teacher,,,
5/5/22 13:03,5/5/22 13:22,0,209.80.140.32,57,1167,0,2022-05-06T13:22:42,R_3NDTK5YBxiLb8yq,EN,4,2480505,7,28,105,52148,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,1,2,,,,,,,,,,,,,,EN,,Science teacher,,
4/26/22 14:14,4/26/22 14:35,0,50.205.154.92,100,1281,1,2022-04-26T14:35:44,R_3Gy5O4qgwTo2ueX,EN,4,2480050,1,31,112,40492,4,2,1,2,1,2,2,2,5,4,5,4,5,4,1,1,1,5,5,5,5,2,5,5,1,1,5,1,1,1,1,1,5,5,1,5,5,5,5,5,5,1,1,4,4,3,4,5,5,5,5,5,5,1,1,1,1,1,1,5,4,1,1,1,1,5,1,2,2,,4,,EN,,,,
5/23/22 14:20,5/23/22 14:30,0,50.206.93.226,100,598,1,2022-05-23T14:30:1,R_1Ij7md1jKTkb4XQ,EN,8,3100017,7,4,114,88660,3,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,5,,3,,,,,,,5,,,1,,,5,,3,,1,,,,2,,,1,,,,3,,EN,,,,
2/11/22 11:09,2/11/22 11:15,0,192.64.64.114,100,392,1,2022-02-11T11:15:52,R_SDAfnNZMHnuA6Qx,PT-BR,5,2740087,7,7,113,111017848,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,5,,,,,,,5,,,4,,,5,,1,,4,,,,,,,5,,1,,,,PT-BR,,,,
2/15/22 10:06,2/15/22 10:11,0,172.58.219.46,74,313,0,2022-02-16T10:11:42,R_9LfEmq0bm0ZIOSB,EN,5,2740505,5,28,104,111015455,12,,,,,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,EN,,,,English teacher
2/8/22 12:37,2/8/22 12:42,0,192.64.64.114,100,317,1,2022-02-08T12:42:56,R_poqOssSkd9YX7yh,EN,5,2740111,11,15,111,111010762,5,1,3,1,1,1,1,1,2,1,1,1,1,5,3,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,4,,,,,,,,,,,,1,5,5,5,1,1,1,1,1,1,1,,,,,,,,,,,,1,,5,,EN,,,,
4/26/22 8:02,4/26/22 12:12,0,209.80.140.38,57,15018,0,2022-04-27T12:12:37,R_9siUpaOMXBD5P5n,EN,4,2480014,11,22,97,11787,6,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,EN,,Science teacher,,
4/26/22 10:46,4/26/22 10:59,0,50.205.154.86,100,804,1,2022-04-26T10:59:44,R_3g4Lnih1Rd6zavx,EN,4,2480056,8,31,114,45507,3,,,,,,,,,,,,,,,,1,,5,,,,,,,,,5,,,,,,,,,,,,,5,,1,,,,,,,5,,,4,,,2,,3,,1,,,,1,,,4,,1,,4,,EN,,,,
5/19/22 13:55,5/19/22 14:09,0,50.206.93.226,100,831,1,2022-05-19T14:9:36,R_1n0xDeUmXUcCYb7,EN,8,3100017,12,29,113,88576,3,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,5,,,,,,,1,,,5,,,5,,3,,2,,,,1,,,3,,2,,4,,EN,,,,
4/27/22 10:49,4/27/22 11:07,0,50.205.154.86,100,1066,1,2022-04-27T11:7:24,R_1LGnEhRtCUvCSCB,EN,4,2480013,9,5,113,46371,3,5,,,1,,,,,4,,,,,,,1,,1,,,,,1,,,,,,2,,,2,,,,,,,,,,,,,,,,,5,,,4,,,5,,,,,,,,,,,,,1,,"4,5",,EN,,,,
5/5/22 13:05,5/5/22 13:20,0,209.80.140.32,58,899,0,2022-05-06T13:20:57,R_TjG6l1UZ79lNOs9,EN,4,2480505,12,28,107,34462,9,1,1,2,5,5,5,5,5,5,5,3,5,5,3,2,3,1,2,1,4,3,4,4,,,,,1,1,1,1,4,5,2,5,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,3,2,2,1,1,1,1,1,1,1,1,1,1,5,1,5,2,,,,,EN,,,,English teacher
5/9/22 11:05,5/9/22 11:16,0,71.184.66.140,100,657,1,2022-05-09T11:16:9,R_2z7mJ2kKL0DJRnC,EN,8,3100505,5,5,108,84675,9,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,3,1,1,1,5,5,5,3,3,1,4,3,2,1,5,1,1,2,3,Binary,"1,6",,EN,,,,English teacher
4/26/22 7:43,4/26/22 8:03,0,209.80.140.38,100,1185,1,2022-04-26T8:3:38,R_33pOHnsJpCDyF4L,EN,4,2480014,12,29,110,36760,6,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,5,5,5,3,2,2,1,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,,5,3,,3,1,5,4,,4,4,4,4,1,1,1,5,5,5,5,5,5,5,5,5,5,5,2,,5,,EN,Math teacher,,,
4/29/22 10:45,4/29/22 11:00,0,50.205.154.86,100,889,1,2022-04-29T11:0:25,R_vGk4D9UfY8J4kkF,PT-BR,4,2480056,,,,47735,3,5,,,1,,,,,5,,,,,,,1,,4,,,,,3,,,,4,,2,,,1,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,PT-BR,,,,
4/27/22 10:46,4/27/22 10:56,0,209.80.140.36,100,563,1,2022-04-27T10:56:13,R_11cIRC5mx9lNrb4,EN,4,2480003,8,23,113,41826,4,1,5,5,2,5,2,5,2,1,1,1,2,1,1,,4,1,1,5,1,1,5,5,1,5,5,5,1,1,1,1,1,5,1,2,2,4,1,1,3,3,5,5,5,1,5,5,1,2,3,1,1,1,1,4,1,1,3,5,5,1,5,4,2,1,1,1,3,dog,"1,5,8",,EN,,,,
4/26/22 8:00,4/26/22 8:12,0,209.80.140.38,100,767,1,2022-04-26T8:12:53,R_3MEElG3vijjeCy7,EN,4,2480014,9,13,108,45869,8,1,1,1,5,1,4,2,5,5,5,5,5,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,1,1,5,5,5,5,5,5,1,3,1,5,1,5,5,5,5,4,2,2,3,5,4,4,1,1,4,4,4,4,1,3,1,4,4,2,,4,,EN,Math teacher,,,
4/29/22 10:41,4/29/22 10:47,0,50.205.154.86,100,336,1,2022-04-29T10:47:31,R_RJKT5RNyDRLE6LT,EN,4,2480056,6,17,114,39930,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,1,,,,,,,5,,,2,,,5,,1,,5,,,,2,,,3,,2,,3,,EN,,,,
4/26/22 8:02,4/26/22 8:15,0,209.80.140.38,100,760,1,2022-04-26T8:15:16,R_2yecnSwRpLdE4Eb,EN,4,2480014,10,14,110,37883,6,1,1,1,4,1,1,3,3,1,4,4,5,5,5,5,5,2,2,5,1,1,2,1,1,3,5,1,2,2,1,1,1,1,4,5,5,5,5,5,5,1,1,5,2,5,5,4,5,5,3,1,1,2,1,1,1,1,1,2,5,2,3,5,5,1,5,2,2,,3,,EN,,Science teacher,,
5/23/22 13:08,5/23/22 13:12,0,208.118.224.217,100,245,1,2022-05-23T13:12:30,R_2B2lV4RaVkDmJVF,EN,5,2740075,3,10,97,fuck off ,4,5,2,,5,2,5,5,4,4,1,5,5,2,5,1,3,1,1,1,1,1,1,1,4,5,3,5,1,,1,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,1,1,3,5,5,5,5,1,4,5,4,3,threres only to genders ,7,im not gay ,EN,,,,
4/14/22 13:39,4/14/22 13:54,0,50.205.154.89,56,948,0,2022-04-15T13:54:54,R_1FAV7JKjDA9bDEZ,EN,4,2480025,8,1,112,40511,5,,5,5,4,2,4,3,4,,,,,,,,,5,5,5,1,5,3,3,5,5,4,5,1,5,5,1,5,1,1,,,,,,,,,1,,,,,,,,,,,2,1,1,5,3,,,,1,1,,,,,,,,,EN,,,,
4/25/22 10:08,4/25/22 10:22,0,209.80.140.36,100,852,1,2022-04-25T10:22:34,R_20P978vmc2BtDHd,EN,4,2480003,4,20,114,39824,3,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,4,,,,,,,5,,,1,,,5,,1,,2,,,,2,,,5,,2,,6,,EN,,,,
5/23/22 14:32,5/23/22 14:37,0,50.206.93.226,100,295,1,2022-05-23T14:37:50,R_6omQ7BzE5OXlQnn,EN,8,3100017,7,4,114,88660,3,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,5,,3,,,,,,,3,,,1,,,5,,1,,3,,,,2,,,1,,2,,3,,EN,,,,
4/29/22 10:47,4/29/22 10:57,0,50.205.154.86,100,581,1,2022-04-29T10:57:30,R_2areAlLTvvgTqDJ,PT-BR,4,2480056,,13,110,48192,3,2,,,3,,,,,1,,,,,,,1,,5,,,,,5,,,,1,,1,,,5,,,,,,,,,,,,,,,,,4,,,1,,,2,,,,,,,,,,,,,2,,8,,PT-BR,,,,
5/19/22 13:56,5/19/22 14:05,0,50.206.93.226,100,501,1,2022-05-19T14:5:21,R_1pVTYgExATeoMl8,EN,8,3100017,3,11,113,87610,3,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,3,,2,,,,,,,5,,,1,,,5,,2,,2,,,,5,,,1,,2,,7,white,EN,,,,
4/26/22 7:54,4/26/22 8:09,0,209.80.140.38,100,848,1,2022-04-26T8:9:5,R_2fcTW2BbYG7sfg5,EN,4,2480014,2,2,109,33518,8,3,4,5,5,4,4,4,5,4,5,3,,4,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,1,1,1,5,5,,5,5,5,5,1,5,2,1,3,3,4,5,5,3,3,1,5,1,1,2,3,,4,1,1,,7,,EN,,,,English teacher
2/2/22 11:09,2/2/22 11:16,0,192.64.64.114,100,421,1,2022-02-02T11:16:26,R_1ODIk0uzRH1T7K1,EN,5,2740510,11,30,108,111007990,8,5,5,5,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,2,4,1,4,1,2,5,4,3,5,5,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,1,1,1,1,1,1,3,bath bomb,"4,5",,EN,,,Social Studies teacher,
4/26/22 7:59,4/26/22 8:04,0,209.80.140.13,100,353,1,2022-04-26T8:5:0,R_sjaOhNoNvwjfOrT,EN,4,2480057,3,24,111,45172,6,1,5,1,,2,,,,,,,3,,2,,,2,,,2,5,1,5,1,,,,5,5,5,5,,,2,,2,,,,,1,5,5,5,1,,,5,,,,5,,,,,4,1,3,5,5,5,2,2,5,5,5,4,,,,EN,,,Social Studies teacher,
2/18/22 13:42,2/18/22 13:55,0,192.64.64.114,100,776,1,2022-02-18T13:55:34,R_10qEDZanMs2CxEQ,EN,5,2740083,8,17,110,111007688,7,3,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,5,2,1,4,,,,2,5,5,5,5,5,3,5,5,4,5,5,5,4,5,1,1,1,3,5,5,5,5,4,1,1,3,1,1,1,1,1,2,2,,,,EN,,Science teacher,,
4/28/22 10:45,4/28/22 11:11,0,50.205.154.89,100,1548,1,2022-04-28T11:11:36,R_3fE8nzuMeDOBeFz,EN,4,2480025,9,9,112,41834,4,4,4,5,4,4,5,5,5,5,5,4,5,3,3,5,5,1,2,3,2,4,4,4,5,4,5,5,1,1,1,1,4,1,1,5,5,5,5,3,5,1,5,4,5,4,1,5,2,5,5,5,2,1,1,1,1,1,1,1,5,1,4,3,1,1,1,1,1,,4,,EN,,,,
2/9/22 9:11,2/9/22 9:32,0,192.64.64.114,100,1281,1,2022-02-09T9:32:54,R_1DJfx3RSdAgrqvn,ES,5,2740120,6,12,110,111017347,3,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,1,,2,,,,,,,5,,,5,,,5,,1,,1,,,,2,,,1,,3,o,6,,ES,,,,
4/27/22 10:11,4/27/22 10:22,0,209.80.140.36,100,706,1,2022-04-27T10:23:0,R_28AMrQsUs21lNxw,EN,4,2480003,12,19,113,38577,3,2,,,1,,,,,1,,,,,,,5,,1,,,,,1,,,,1,,2,,,1,,,,,,,,,,,,,,,,,5,,,2,,,5,,,,,,,,,,,,,2,,,,EN,,,,
4/29/22 9:26,4/29/22 9:42,0,209.80.140.36,100,960,1,2022-04-29T9:42:17,R_xnnkrsX6ptNHTCp,PT-BR,4,2480003,3,8,112,46449,5,5,5,5,4,4,1,5,5,5,5,5,5,5,5,1,5,1,5,1,1,2,5,1,1,5,1,1,5,5,5,5,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,5,2,5,5,5,1,1,3,5,5,1,,"2,7",,PT-BR,,,,
5/9/22 9:46,5/9/22 9:52,0,50.221.21.222,100,388,1,2022-05-09T9:52:29,R_1rPqzdulmfkA8Vd,EN,8,3100505,1,19,105,2538,12,,,,,,,,,,,,,5,5,2,5,1,1,4,,,,,5,4,5,3,,,,,,,,5,5,4,3,5,5,1,1,2,1,1,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,,5,,EN,,Science teacher,,
5/10/22 12:16,5/10/22 12:36,0,50.221.21.222,100,1150,1,2022-05-10T12:36:5,R_yPhcucSOAng6i1b,EN,8,3100305,4,13,112,87950,5,,,,,,,,,1,1,1,1,,,,,,,,2,1,1,1,,,,,,,,,1,5,1,5,5,5,5,5,5,1,1,1,1,1,4,4,4,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,,"4,5",,EN,,,,
5/4/22 10:47,5/4/22 11:09,0,50.205.154.89,100,1316,1,2022-05-04T11:9:54,R_1rxNmltfOqKVqdM,EN,4,2480025,5,19,113,41803,4,1,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,3,2,2,1,1,1,2,1,3,3,5,2,5,2,1,5,5,5,5,5,5,5,5,5,2,2,4,1,3,1,5,1,5,5,5,5,5,1,1,1,4,4,5,4,5,5,3,1,3,2,2,1,,5,,EN,,,,
4/28/22 10:48,4/28/22 11:02,0,50.205.154.86,100,856,1,2022-04-28T11:2:27,R_2rTvVXw6Oh0Kcwh,PT-BR,4,2480056,11,10,112,48035,3,5,,,3,,,,,1,,,,,,,,,1,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,3,,,4,,,5,,,,,,,,,,,,,1,,4,,PT-BR,,,,
4/27/22 10:00,4/27/22 10:15,0,50.205.154.84,100,901,1,2022-04-27T10:15:17,R_2ydufamkdHhwWaV,EN,4,2480035,8,4,112,43619,5,2,5,3,2,1,5,3,5,3,4,2,5,1,1,1,1,5,5,3,5,1,1,1,1,5,1,2,5,5,5,5,1,2,2,5,4,3,2,2,5,5,5,5,5,4,1,2,5,5,5,5,5,5,4,1,1,1,1,5,5,3,3,1,2,4,5,3,2,,8,,EN,,,,
4/28/22 10:56,4/28/22 11:02,0,50.205.154.86,100,369,1,2022-04-28T11:2:41,R_6KWnaMrwiOJKyT7,PT-BR,4,2480056,3,1,114,48138,3,5,,,1,,,,,5,,,,,,,2,,2,,,,,1,,,,4,,4,,,2,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,PT-BR,,,,
5/27/22 9:42,5/27/22 9:52,0,50.206.93.226,100,577,1,2022-05-27T9:52:5,R_1kFBWpTIwWEyIzf,EN,8,3100017,6,12,114,87479,3,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,5,,1,,,,,,,1,,,1,,,5,,2,,3,,,,2,,,1,,2,,,,EN,,,,
4/27/22 6:21,4/27/22 9:43,0,50.205.154.84,100,12122,1,2022-04-27T9:43:18,R_216UOEi5JQCUa7L,EN,4,2480035,7,15,112,47678Nks,3,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,2,,,,,,,2,,,4,,,5,,1,,1,,,,3,,,1,,,,,,EN,,,,
4/25/22 10:40,4/25/22 10:47,0,50.205.154.86,100,399,1,2022-04-25T10:47:39,R_3oWLvMlqcfmkxJY,EN,4,2480056,1,29,114,43574,3,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,5,,5,,,,,,,3,,,5,,,5,,1,,1,,,,5,,,5,,2,,"6,7",,EN,,,,
5/9/22 9:45,5/9/22 9:56,0,71.184.66.140,100,659,1,2022-05-09T9:56:41,R_5mCTPaRlvFXvzFL,EN,8,3100505,9,2,107,84294,10,1,1,1,5,2,5,1,5,5,5,5,5,1,3,1,1,3,4,3,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,1,2,3,1,3,1,4,3,4,1,5,,,,,,,,,,,,,,,,,,,,,,,1,,"2,5",,EN,,Science teacher,,
4/27/22 10:54,4/27/22 11:00,0,50.205.154.86,100,382,1,2022-04-27T11:0:39,R_2WwAxCC5Mw5PveI,EN,4,2480056,9,29,113,42770,3,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,2,,,,,,,5,,,4,,,5,,1,,4,,,,1,,,5,,2,,,,EN,,,,
4/26/22 8:40,4/26/22 8:51,0,50.205.154.92,100,633,1,2022-04-26T8:51:25,R_1kZbqKkTE7CCFMM,EN,4,2480050,6,8,114,43547,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,5,,1,,,,,,,5,,,5,,,5,,2,,1,,,,5,,,5,,2,,6,,EN,,,,
4/29/22 10:09,4/29/22 10:17,0,209.80.140.36,100,453,1,2022-04-29T10:17:18,R_6SG5SO01MA4NwKB,EN,4,2480003,11,4,113,43201,3,,,,,,,,,,,,,,,,3,,1,,,,,,,,,4,,,,,,,,,,,,,4,,5,,,,,,,5,,,1,,,5,,1,,4,,,,5,,,2,,,,,,EN,,,,
5/5/22 13:02,5/5/22 13:31,0,209.80.140.32,100,1751,1,2022-05-05T13:31:48,R_3lEMsqaZM0H1aqj,EN,4,2480505,7,31,107,41111,9,3,5,5,5,5,5,5,5,5,5,5,5,1,1,3,3,1,3,3,1,1,1,1,1,1,1,3,4,5,5,5,5,5,1,5,5,5,5,5,5,3,3,1,5,5,5,4,3,5,1,1,1,5,3,4,5,1,5,5,4,5,5,4,5,5,5,5,2,,4,,EN,Math teacher,,,
5/3/22 9:34,5/3/22 10:02,0,50.205.154.88,100,1691,1,2022-05-03T10:2:49,R_7QDSfPz6j6seksp,EN,4,2480013,3,31,114,43043,3,,,,,,,,,,,,,,,,2,,4,,,,,,,,,5,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,5,,1,,2,,,,1,,,1,,1,,4,,EN,,,,
5/20/22 9:24,5/20/22 10:42,0,50.206.93.226,100,4685,1,2022-05-20T10:42:35,R_30cWj4ETcemqbVi,EN,8,3100017,11,11,112,87786,4,5,,,4,,,,,5,,,,,,,5,,3,,,,,3,,,,1,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,2,,,1,,1,,4,,EN,,,,
2/2/22 11:13,2/2/22 11:19,0,192.64.64.114,75,338,0,2022-02-03T11:19:8,R_2bUmqpgpyUHIM2Y,EN,5,2740510,4,15,110,111008380,7,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,4,5,5,4,4,5,1,1,1,1,2,1,5,2,2,3,1,2,1,1,5,5,,,1,2,4,2,1,,,,,,,,,EN,Math teacher,,,
1/28/22 10:14,1/28/22 10:30,0,192.64.64.114,100,973,1,2022-01-28T10:30:21,R_31ggGJXjOqf1bZB,EN,5,2740510,5,3,110,111009017,7,,,,,,,,,,,,,1,1,1,5,1,1,1,,,,,3,1,3,1,,,,,,,,5,5,5,5,5,5,5,1,1,1,1,5,5,1,3,3,3,1,1,1,1,3,1,1,1,4,1,2,2,1,1,3,3,2,,4,,EN,Math teacher,,,
