StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,What district is your school in?,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,"If there is anything you would like us to know about your school that we did not ask about, please tell us.",How easy to understand were the questions?,How interesting were the questions?,Please give us any additional feedback about the survey.,
5/10/22 11:33,5/10/22 11:47,0,24.60.19.217,100,849,1,2022-05-10T11:47:12,R_2zTLURHIHnuy3q2,EN,5,2740111,5,5,5,2,2,4,2,1,5,5,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,,3,,5,5,5,5,3,1,1,1,3,2,1,1,,,,4,4,4,3,3,3,3,"Sexual assault between the students is happening. Bullying is also running rampant. All three of our admin are males who exhibit a sexist and toxic pattern of behaviors. When admin do an â€œinvestigationâ€ into issues, the vulnerable child is assumed to be lying, and the dominant child gets no conseque",9,9,9,
6/8/22 13:11,6/8/22 13:19,0,172.58.221.44,100,478,1,2022-06-08T13:19:55,R_27jaRnYdqvnkHwd,EN,4,2480057,5,5,5,4,2,4,4,,,,,,1,1,1,2,,,,1,1,1,,,,3,4,3,4,4,4,3,,,,2,2,1,2,2,5,5,5,5,,,,,,,,,5,1,1,1,5,3,2,2,,,,,,,3,3,3,3,,8,5,7,
5/10/22 11:42,5/10/22 11:48,0,192.64.64.114,100,361,1,2022-05-10T11:48:35,R_1rMSoCdZ32P7Vmk,EN,5,2740083,5,5,5,2,2,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,3,3,1,1,1,1,4,3,3,4,3,2,1,1,1,1,3,1,1,1,1,5,3,1,1,1,1,1,1,1,4,3,4,3,3,3,1,1,1,1,,7,5,,
6/8/22 14:38,6/8/22 14:47,0,50.205.154.86,100,563,1,2022-06-08T14:47:27,R_Wjr8w3LRMU6dteN,EN,4,2480056,5,5,5,5,5,5,5,2,5,5,5,5,4,4,4,4,5,2,2,2,1,3,2,4,4,4,5,4,3,4,4,4,3,5,3,4,4,2,4,1,4,1,4,1,5,3,4,4,4,5,5,5,5,1,1,1,2,1,1,1,4,3,4,3,3,3,1,1,1,1,,7,5,,
6/9/22 10:31,6/9/22 10:44,0,50.205.154.88,100,806,1,2022-06-09T10:44:55,R_8cBQAjJ1hx2APW9,EN,4,2480013,5,5,5,5,4,5,3,3,5,5,5,5,1,3,1,1,5,5,5,2,1,2,2,3,3,4,5,4,3,3,3,3,4,2,1,2,1,3,1,2,4,2,2,3,5,,5,,4,4,4,5,5,2,2,1,5,5,3,3,,,,3,1,1,1,1,3,3,,7,,4,
6/8/22 12:34,6/8/22 12:51,0,209.80.140.32,100,995,1,2022-06-08T12:51:6,R_2dQk6K35uJz7Zp7,EN,4,2480505,5,2,5,2,2,5,1,,,,,,1,1,2,1,,,,1,2,1,,,,3,3,3,3,3,3,3,,,,3,3,1,1,2,2,1,3,2,,,,,,,,,5,2,2,1,1,1,1,1,,,,,,,5,5,5,5,Central Office does not have the leadership skills necessary to support the staff to educate our students and prepare them for democracy. ,7,,6,
5/10/22 11:36,5/10/22 11:46,0,192.64.64.114,100,604,1,2022-05-10T11:46:34,R_1CDEkNlcYDqAKsI,EN,5,2740505,5,5,5,2,2,1,2,1,4,3,4,4,5,4,4,4,1,2,3,1,1,1,1,1,1,1,1,2,2,3,2,1,2,2,2,4,2,2,2,3,2,3,2,1,3,5,4,4,5,5,4,5,3,1,1,1,2,2,2,2,5,4,4,4,4,4,4,5,4,5,,9,9,,
6/8/22 14:14,6/8/22 14:25,0,50.205.154.88,100,614,1,2022-06-08T14:25:5,R_1q25RTSn6Kpcr0x,EN,4,2480520,5,5,5,4,5,5,5,1,5,4,5,4,2,1,1,1,4,2,3,1,1,2,1,1,1,4,4,5,4,2,5,4,3,4,4,3,4,3,2,3,3,3,3,4,3,4,2,3,4,4,4,5,5,1,1,1,2,2,1,2,1,1,1,3,4,3,2,2,2,2,,5,5,,
6/8/22 12:40,6/8/22 12:53,0,50.205.154.88,100,772,1,2022-06-08T12:53:20,R_d0hUjJd0vYL4gKd,EN,4,2480520,5,5,5,2,2,4,4,,,,,,3,5,5,3,,,,1,1,1,,,,1,1,4,3,3,4,3,,,,3,2,4,,2,4,4,5,5,,,,,,,,,5,1,3,1,2,1,2,2,,,,,,,3,5,3,3,,8,6,6,
5/10/22 11:45,5/10/22 11:57,0,192.64.64.114,100,749,1,2022-05-10T11:57:56,R_6icDazDYEBpvQ77,EN,5,2740111,4,5,4,4,4,5,4,1,5,4,5,4,1,1,1,1,3,3,5,1,1,1,1,1,1,3,3,4,4,4,4,3,3,3,3,2,2,4,2,4,2,1,1,1,,,,,4,4,4,5,5,2,2,1,4,2,2,2,,,,4,4,4,1,5,2,3,"My responses about the effectiveness of our principal speak for themselves. I sincerely hope that feedback from ESCS staff is at the forefront in the search for a new principal and that the interim principal is not a cis man, and is someone who builds relationships first!",8,7,5,
6/8/22 12:48,6/8/22 12:55,0,209.80.140.32,100,400,1,2022-06-08T12:55:11,R_R21VOfJ7oZuKKqJ,EN,4,2480505,5,5,5,4,4,3,3,2,5,5,5,5,2,1,1,1,4,3,3,4,4,4,1,1,3,5,5,5,5,5,5,4,1,3,1,1,2,3,1,2,3,4,4,4,4,5,3,3,5,5,5,5,3,1,2,1,2,2,2,2,2,3,4,4,4,4,2,2,3,4,Detracking and a lack of attendance policy has hurt our school immeasurably. ,7,7,,
6/8/22 12:57,6/8/22 13:08,0,50.205.154.88,100,651,1,2022-06-08T13:8:35,R_2Tv1XVdrDX8Mwq7,EN,4,2480520,5,5,5,2,2,4,4,,,,,,1,2,2,3,,,,2,2,2,,,,5,5,4,3,3,3,2,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,5,1,1,3,1,2,2,2,,,,,,,3,4,3,4,,9,6,6,
6/8/22 12:30,6/8/22 12:41,0,24.63.82.50,100,686,1,2022-06-08T12:41:33,R_1mKqrRtbOHu2K0o,EN,4,2480505,4,3,5,4,4,5,1,,,,,,1,1,2,1,,,,5,5,5,,,,3,5,3,3,4,3,3,,,,2,4,2,1,3,4,3,4,4,,,,,,,,,2,1,1,1,3,2,1,1,,,,,,,1,4,3,4,"The culture in our building is horrible.  The lack of an attendance, unleveling of classes and CBL has put an enormous strain on our community.  The district leadership and school committee do not respect teachers or value our opinions about what is good for our students. We are grossly underpaid",9,4,4,
5/10/22 17:23,5/10/22 17:36,0,24.63.10.173,100,787,1,2022-05-10T17:36:43,R_2319rTvMxrLLSmz,EN,5,2740111,5,5,3,3,3,5,3,1,5,5,5,5,1,1,2,1,1,3,1,1,5,4,2,3,2,3,4,4,4,3,3,3,1,1,1,1,1,1,3,3,3,1,2,2,5,3,3,2,4,4,5,5,4,3,3,1,4,4,2,3,1,2,2,4,3,1,4,4,4,5,,8,7,,
6/8/22 13:28,6/8/22 13:50,0,50.205.154.83,39,1329,0,2022-06-15T13:50:54,R_1dGZclWYmNhPnVJ,EN,4,2480014,5,5,5,4,2,5,2,1,,,,,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,,,,,,5,2,2,3,,,,,,,,2,4,4,,,,,,,,,
5/11/22 5:40,5/11/22 5:56,0,73.16.180.17,100,937,1,2022-05-11T5:56:15,R_2EugDMadymBGO5D,EN,5,2740075,5,5,5,5,5,5,3,2,4,5,4,3,3,2,4,3,5,2,5,1,3,2,1,1,1,3,3,1,2,2,2,2,1,1,1,3,5,5,4,3,2,1,1,1,2,4,1,2,4,4,4,5,5,3,3,3,2,2,1,2,3,1,1,3,4,4,2,3,2,3,Students' needs are not being met.,7,7,,
6/8/22 12:33,6/8/22 12:40,0,209.80.140.32,100,403,1,2022-06-08T12:40:36,R_3EasZhviJsoRcZ4,EN,4,2480505,5,5,5,3,3,4,1,,,,,,2,2,2,2,,,,4,4,5,,,,3,3,3,4,5,4,4,,,,4,4,4,2,3,4,4,5,5,,,,,,,,,5,2,2,1,2,2,1,2,,,,,,,1,1,1,1,,2,3,,
6/8/22 13:59,6/8/22 14:07,0,209.80.140.36,100,483,1,2022-06-08T14:7:12,R_2vk6HFNi87HhaYm,EN,4,2480003,5,2,5,5,5,5,5,2,4,5,5,5,1,1,3,2,5,5,5,4,5,5,4,4,2,4,4,3,4,4,3,4,2,5,1,2,5,5,5,5,3,3,3,4,1,2,2,1,4,4,4,5,5,3,2,2,4,4,3,4,2,4,3,1,2,2,1,1,3,3,"Our students are extremely behind academically after the pandemic. We started a new Reading program this year that is neither rigorous or aligns with MCAS. As with so many other times and programs, the district does not ask for input from classroom teachers when it comes to choosing a new curriuclum",9,5,,
4/25/22 9:57,4/25/22 14:28,0,50.221.21.222,100,16302,1,2022-04-25T14:28:44,R_VRmzteMJMYc0GJP,EN,8,3100505,4,4,5,2,2,3,2,3,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,2,4,1,5,2,4,4,4,5,3,3,4,3,4,4,2,2,5,5,4,4,5,1,1,1,4,4,3,3,1,3,3,1,2,1,3,4,3,3,,7,5,,
5/10/22 11:29,5/10/22 11:38,0,192.64.64.114,100,544,1,2022-05-10T11:38:47,R_bayE7bHYe3dGKpr,EN,5,2740087,4,4,5,4,2,4,3,1,5,4,4,5,2,2,1,1,2,1,2,1,1,1,1,1,1,2,3,1,2,2,1,1,2,2,2,3,1,1,3,3,4,1,1,3,1,1,1,3,5,5,4,5,5,5,4,2,3,2,1,2,1,1,2,2,2,2,1,3,1,3,,9,6,,
6/8/22 14:00,6/8/22 14:23,0,209.80.140.38,100,1387,1,2022-06-08T14:23:19,R_2CIKjKod4BaVTyB,EN,4,2480014,1,2,5,1,2,1,2,1,4,4,4,5,4,3,2,3,1,1,4,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,4,2,2,4,5,4,4,4,4,1,1,2,1,5,5,4,5,4,3,3,1,3,3,2,3,1,2,2,3,3,4,1,4,1,4,Moral is horrendous. There is little to no trust in administration. ,9,9,,
5/24/22 13:23,5/24/22 13:31,0,192.64.64.114,100,444,1,2022-05-24T13:31:19,R_3QxVNAN23ge6uzv,EN,5,2740075,5,5,5,5,5,5,5,,,,,,3,1,5,4,,,,5,5,5,,,,2,2,3,5,5,4,4,,,,1,2,2,1,4,5,2,5,5,,,,,,,,,5,3,3,2,5,5,4,5,,,,,,,3,5,4,5,,9,7,9,
6/8/22 12:29,6/8/22 12:55,0,50.205.154.83,100,1529,1,2022-06-08T12:55:25,R_uaWPkqIenQno4PD,EN,4,2480505,5,4,5,2,2,4,2,5,5,5,5,4,1,3,1,1,2,1,1,4,4,1,3,3,2,3,3,3,2,2,2,1,1,1,2,2,1,2,1,2,3,3,5,4,3,4,4,4,2,3,4,4,1,1,1,1,2,1,1,1,1,1,3,3,3,4,1,4,4,4,"The new attendance policy adopted by RHS this year has negatively impacted school culture, student accountability and student learning. Assuming that minority students from low income families need to have far less responsibility and accountability is racist. It is a disservice to our community  ",7,5,I have taken these surveys in the past and nothing has changed for the better. There is only value in these if the administration in charge of following through actually does. If teacher feedback is continued to be seen as worthless then that makes this survey worthless ,
6/8/22 13:05,6/8/22 13:12,0,98.229.163.60,100,456,1,2022-06-08T13:12:56,R_12u56GTtVUdMO10,EN,4,2480505,5,5,5,2,2,5,1,3,5,4,4,5,1,1,2,1,3,1,1,3,1,3,4,3,1,2,2,3,4,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,5,4,5,1,1,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,,9,9,,
5/24/22 13:47,5/24/22 14:17,0,192.64.64.114,100,1802,1,2022-05-24T14:17:13,R_3scviSQ1KlTBK1G,EN,5,2740111,5,5,5,5,5,5,4,1,5,5,5,5,1,3,1,2,4,5,5,3,3,4,2,1,1,4,4,4,5,4,4,3,3,2,2,2,3,4,2,3,4,4,2,4,3,2,3,2,5,5,5,5,2,4,3,5,5,3,3,4,1,3,2,4,4,4,1,1,2,2,,8,5,,
6/8/22 13:03,6/8/22 13:43,0,50.205.154.86,100,2390,1,2022-06-08T13:43:29,R_1kF9mGMV2eGNqoH,EN,4,2480056,4,5,5,3,2,2,3,4,4,4,4,4,1,1,1,1,2,1,1,3,2,2,3,4,2,3,4,4,4,4,4,3,3,1,3,1,1,1,1,1,4,1,1,1,1,,1,,3,3,3,4,5,1,1,1,2,1,1,1,,,,1,1,1,1,1,1,1,"We are hemmoraging paras because RPS wont offer insurance or FT jobs, and they leave for surrounding towns that do.We have n AAC specialist despite many kids using ipads to talk.There were children this year who were so violent that adults were out on disability.Our supt is actively ignoring this.",8,7,7,
6/8/22 12:33,6/8/22 12:57,0,209.80.140.32,100,1463,1,2022-06-08T12:57:47,R_2Pv30Z2sOdKw4AY,EN,4,2480505,5,5,5,2,2,5,3,1,4,3,3,4,1,3,2,1,3,2,4,3,4,4,2,2,1,3,3,3,4,3,3,3,1,2,1,4,4,4,1,4,4,2,3,1,3,3,2,3,5,5,5,5,4,1,1,1,4,1,1,1,1,2,2,2,3,1,3,5,3,5,Many Qs here are irrelevant. 1) We have a block schedule so Qs based on time are N/A. 2) The Principal & Community & Teachers agree the school is moving in the wrong direction. School Committee disagrees. Many admin leaving. Disconnection abounds. No one agrees what equity means so path forward hard,6,4,,
6/8/22 13:02,6/8/22 13:13,0,50.205.154.86,100,616,1,2022-06-08T13:13:11,R_sT1p2xNy6mdJ8pH,EN,4,2480056,4,4,4,4,4,5,5,4,4,4,4,4,2,3,5,2,5,3,4,5,5,5,5,5,5,3,2,3,3,3,3,2,3,3,1,3,3,3,1,1,2,2,2,2,3,4,1,1,3,5,4,4,5,1,1,1,3,2,3,3,2,3,1,2,2,2,1,1,1,1,,9,7,,
6/8/22 12:56,6/8/22 13:17,0,50.205.154.88,100,1269,1,2022-06-08T13:17:20,R_1Nkr3BomIT0L793,EN,4,2480520,4,5,4,2,4,2,1,1,5,5,5,5,1,1,1,1,2,4,3,3,1,1,1,1,2,4,4,4,3,1,3,2,2,3,1,2,1,1,2,2,5,1,3,2,1,2,2,1,1,1,2,2,5,1,2,1,2,2,2,3,1,1,1,1,1,1,3,3,1,1,,5,,,
5/10/22 11:29,5/15/22 16:50,0,73.4.152.83,59,451249,0,2022-05-22T16:50:15,R_2zVlT7ygNg5bPIR,EN,5,2740505,,,,4,4,4,5,2,,,,,2,2,2,2,,,,1,1,1,,,,,,,3,3,3,3,,,,2,4,2,1,4,,,,,,,,,4,5,5,5,5,2,2,3,4,5,3,4,1,1,2,4,4,3,,,4,5,,,,,
6/8/22 13:06,6/8/22 13:14,0,209.80.140.36,100,449,1,2022-06-08T13:14:9,R_1E0dI36NfM1P5vQ,EN,4,2480305,5,5,5,2,3,4,4,2,5,5,3,3,4,5,5,5,4,1,3,5,4,5,5,5,5,3,3,1,1,3,3,1,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,4,3,3,5,3,3,1,2,1,5,4,3,5,3,3,3,1,1,4,4,4,4,4,,7,7,,
6/8/22 12:29,6/8/22 12:39,0,209.80.140.32,100,583,1,2022-06-08T12:39:36,R_2OIwXShO86vwPsV,EN,4,2480505,5,5,5,2,2,5,1,,,,,,1,2,1,2,,,,2,3,3,,,,3,3,3,3,3,3,2,,,,2,4,4,1,2,2,1,1,1,,,,,,,,,5,1,1,1,3,3,1,3,,,,,,,4,4,1,4,,6,5,3,
4/25/22 13:54,4/25/22 14:02,0,50.221.21.222,100,428,1,2022-04-25T14:2:2,R_3r1U8A9zibbWoy7,EN,8,3100505,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,2,2,5,5,5,4,4,4,2,3,3,2,5,5,5,5,5,5,5,5,5,3,2,2,5,5,2,5,5,5,5,5,3,2,1,1,3,4,3,4,1,1,1,3,3,3,3,4,3,4,,9,9,,
6/8/22 14:09,6/8/22 14:39,0,209.80.140.38,100,1825,1,2022-06-08T14:39:39,R_2PwfIVyjMJMO1Wh,EN,4,2480014,5,5,4,4,4,5,2,1,5,,4,5,2,2,2,2,3,2,5,1,1,1,1,1,1,1,1,1,2,2,2,1,3,2,3,1,2,2,4,5,3,2,4,2,4,4,4,3,4,4,3,5,3,1,1,1,3,1,2,1,3,3,3,3,2,2,2,2,3,4,School leadership is completely ineffective. The new principal does not trust staff at all. Compliance is more important than relationships. The APs often yell in the hallways and create an extremely hostile environment. Students fear the leadership. We keep losing teacher of the year teachers. ,8,8,,
6/8/22 16:06,6/8/22 16:20,0,73.69.20.177,100,851,1,2022-06-08T16:20:23,R_1QrQ5W1T1PtKphe,EN,4,2480505,5,5,5,2,2,4,3,4,4,3,1,4,1,1,2,1,1,2,1,3,4,5,2,2,2,4,4,3,2,2,4,2,2,3,2,2,2,3,2,2,3,2,3,1,2,2,3,4,5,5,5,5,4,1,1,1,2,2,3,2,1,1,1,3,4,3,1,4,1,5,"We need a â€œno cell phone in classâ€ policy for students. They cannot regulate themselves and itâ€™s an endless battle which is desperate damaging them and burning me out,  attendance policy and clarity on grading. We need training in detracking and meeting the wide ability ranges in a sustainable way. ",8,5,Mention technology issues  and mental health of students. And teacher turnover and teacher burnout. Also I am EL certified but not an EL teacher at this moment so itâ€™s hard to define my role as you laid out on page one. ,
6/8/22 12:30,6/8/22 12:59,0,209.80.140.32,100,1763,1,2022-06-08T12:59:51,R_C1w5XEY9UVHFPAR,EN,4,2480505,4,4,5,3,2,5,1,1,4,4,4,4,2,2,3,2,3,1,1,3,4,1,1,1,1,3,3,4,4,4,3,3,3,1,4,3,2,3,1,2,4,1,3,3,2,,2,,3,3,5,5,4,1,1,1,1,1,1,1,,,,4,3,4,4,5,4,4,The ESL department works often as a team to deliver as consistent instruction as we can. We carve out opportunities to meet within the school structure. The school structure is not designed to allow sheltered teachers to come to those meetings.,7,4,3,
6/8/22 12:27,6/8/22 12:48,0,209.80.140.32,100,1274,1,2022-06-08T12:48:57,R_UAdBY8l30pLPVIZ,EN,4,2480505,5,5,4,3,2,4,4,2,4,5,4,2,2,2,3,2,2,2,2,4,5,5,1,1,3,2,2,3,3,3,3,3,1,1,1,2,4,,3,2,3,1,4,1,3,2,2,1,2,1,5,1,4,,,1,1,1,1,1,3,2,2,2,2,3,1,5,1,5,"Our schedule is trash. We can't a  variety of courses that meet individual student needs. there is no time for intervention. periods are too long. It does not allow for a real PLG structure or teacher duties.
Also, Dr. Kelly does not listen and is not a willing partner in problem solving. We lack a ",3,,"Again, this survey is an embarrassment. There is such much redundancy and lack of specificity. 2 tweets of characters for the OR portion is not enough. As DK's Pin says ""DO YOUR JOB."" Do the hard work of collecting and coding qualitative data. Also, it is a waste of time without public accountabilit",
6/8/22 14:13,6/8/22 14:21,0,209.80.140.38,100,473,1,2022-06-08T14:21:20,R_1n9nOFzAMEUUgtW,EN,4,2480014,4,4,5,5,4,5,4,4,4,4,3,3,4,2,4,2,4,3,5,1,1,3,1,1,2,1,1,2,3,3,3,1,3,2,2,3,2,4,4,5,3,1,3,3,2,,1,,5,4,4,5,5,3,2,1,2,1,1,1,,,,3,3,2,4,4,4,4,,9,7,7,
6/8/22 14:38,6/8/22 14:55,0,50.205.154.83,100,1006,1,2022-06-08T14:55:30,R_3MEHi7ZiteEmrPW,EN,4,2480056,4,5,5,5,3,2,3,2,4,4,5,5,2,3,3,4,5,3,5,5,5,5,5,4,3,4,4,2,3,4,3,2,3,3,3,3,3,3,3,4,5,3,2,2,3,3,4,3,4,5,5,5,5,1,1,1,5,3,1,1,3,3,3,3,3,1,1,1,1,1,,9,3,Questions did not pertain to my field of expertise.,
