StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,Q81,Q83_1,Q84_1,Q85,Q89_1,Q85
3/1/22 15:44,3/1/22 16:02,0,96.252.99.186,100,1079,1,2022-03-01T16:2:9,R_2ydcjJMFVrwrZPv,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,4,5,4,4,4,3,1,4,4,4,4,2,1,2,1,4,3,2,3,2,2,2,2,2,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,2,3,2,3,4,4,3,4,3,4,3,4,3,4,3,3,2,3,3,3,3,4,4,3,3,3,3,3,3,4,It has been difficult with the pandemic.,5,3,I would like to see the aggregate results. I would like to know how my school responded compared to me.,,
3/1/22 15:43,3/1/22 15:57,0,96.252.99.186,100,841,1,2022-03-01T15:57:35,R_1FnbKp5FkT9nb8e,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,4,5,4,4,3,2,4,4,5,4,3,3,2,3,4,3,5,4,4,4,3,4,3,3,3,4,4,4,4,4,4,3,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,3,3,4,4,4,4,2,4,4,2,4,5,4,4,4,4,5,3,4,4,5,,8,5,"I'm unsure about answering questions dealing with how much my principal knows, or how much creative / athletic time kids are getting per week. ",,
4/5/22 14:43,4/5/22 14:58,0,108.26.156.8,100,891,1,2022-04-05T14:58:6,R_2CZm6gjLSD7Lx12,42.4532,-71.1428,anonymous,EN,6,3440020,5,4,5,4,5,5,3,2,5,4,3,5,2,3,4,3,4,3,4,3,4,4,2,3,3,3,4,4,5,4,4,4,3,4,3,3,3,3,3,5,4,3,3,3,4,4,4,3,3,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,4,4,2,2,3,3,,,,In my answers is my belief that we can always progress. I would rarely place the highest level because I always think there is room for improvement.,,
3/1/22 17:09,3/1/22 17:19,0,73.61.212.24,100,652,1,2022-03-01T17:19:54,R_3JkgJTAXp1HY70m,42.59449768,-71.35710144,anonymous,EN,6,3440305,5,5,5,3,2,3,1,1,5,5,5,5,1,2,1,1,4,1,2,1,1,1,1,1,1,4,4,4,3,3,4,4,4,3,4,4,3,2,3,4,3,3,3,3,4,5,5,4,3,2,2,2,3,2,2,1,3,2,2,2,4,4,4,4,4,3,2,3,3,3,"The school has a toxic environment currently. Administration does not help out staff, but rather works to get rid of staff and hire cheaper. Administrators are rarely seen in hallways and classrooms. We get initiative after initiative with no direction.",9,5,"In the past four years that we have been completing this survey, we only saw the results after the first year. Since then, we never have. Our administrators appear to have no desire to make the environment better and are not there to support and care for the students.",,
2/26/22 14:56,3/1/22 15:04,0,108.49.219.202,100,259715,1,2022-03-01T15:4:56,R_3PhhFNM1A30N7VN,42.48100281,-71.15630341,anonymous,EN,6,3440025,5,5,4,3,3,3,2,2,4,4,3,4,1,1,2,1,3,3,1,4,3,3,3,3,2,3,3,4,3,2,3,3,3,3,3,3,2,2,4,4,4,2,1,3,3,3,3,4,4,4,4,4,2,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,2,3,,7,5,"It would be helpful to have an option of ""not sure"" or ""does not apply"" - as there are some aspects of the school that I don't have enough knowledge about.",,
3/2/22 8:29,3/2/22 8:41,0,96.252.99.186,100,707,1,2022-03-02T8:41:8,R_1MXIRPpevchXoJe,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,4,,,1,3,1,5,4,4,3,,,1,,3,,,4,4,,4,,,,,5,,,,,,,,3,4,4,,4,,,,,3,,4,,2,1,,4,1,,,,,,,,3,3,,,,,,,,,"So many unknowns given I am a long-term sub, in this school less than a month.",8,5,Many questions do not apply to my position in the school. I do not teach regular classes.,,
3/1/22 14:56,3/1/22 15:09,0,108.49.219.202,100,820,1,2022-03-01T15:9:47,R_DLVBZRQsH5vH9zr,42.48100281,-71.15630341,anonymous,EN,6,3440040,4,3,4,4,4,5,4,5,4,4,4,3,2,3,2,3,3,3,3,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,3,4,1,2,2,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,2,2,3,3,3,3,2,3,2,3,N/A,5,3,N/A,,
3/1/22 16:13,3/1/22 16:24,0,108.49.219.202,100,682,1,2022-03-01T16:24:29,R_9oDm2ZDgzb4nYn7,42.48100281,-71.15630341,anonymous,EN,6,3440305,2,5,5,5,5,5,5,2,3,5,5,5,2,2,1,2,5,4,3,4,4,4,5,5,5,3,4,4,4,4,3,2,3,3,5,1,1,1,2,2,2,2,2,3,3,4,3,4,3,2,2,3,4,5,4,4,2,2,2,2,4,4,4,3,5,5,3,3,3,3,N/a,4,4,N/A,,
3/1/22 16:13,3/1/22 16:28,0,108.49.219.202,100,894,1,2022-03-01T16:28:9,R_2ClcajGuzwss0Mg,42.48100281,-71.15630341,anonymous,EN,6,3440305,5,5,5,4,2,4,3,1,4,4,4,4,1,1,1,1,4,2,3,2,2,4,3,3,2,2,2,4,3,3,3,2,4,2,4,2,2,2,2,3,5,2,2,2,3,1,5,1,3,2,4,3,2,4,4,1,4,3,3,3,4,4,4,2,2,4,2,3,2,3,our curriculum for math is outdated and does not reflect what the state standards are for their grade level,3,3,needs to ask a bout specific subject/content areas,,
3/1/22 16:13,3/1/22 16:25,0,108.49.219.202,100,744,1,2022-03-01T16:25:37,R_BEZTFBsNuBIlISR,42.48100281,-71.15630341,anonymous,EN,6,3440305,4,4,4,2,2,5,4,2,4,4,4,4,3,3,4,3,4,2,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,3,3,4,3,4,5,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,no,3,3,no,,
3/1/22 14:51,3/1/22 15:21,0,108.49.219.202,100,1828,1,2022-03-01T15:21:59,R_xr5ZPZom00adM1X,42.48100281,-71.15630341,anonymous,EN,6,3440025,4,4,4,2,3,3,2,5,4,4,5,4,3,3,4,3,4,2,4,4,4,4,3,5,5,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,2,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,none,7,5,none,,
3/1/22 16:14,3/1/22 16:34,0,108.49.219.202,100,1236,1,2022-03-01T16:34:37,R_1diuuToRYEsvDdk,42.48100281,-71.15630341,anonymous,EN,6,3440305,5,5,5,4,2,5,1,1,4,4,4,4,2,4,1,1,4,2,3,1,1,1,3,4,1,3,3,3,4,3,4,3,4,5,2,3,5,3,4,4,4,3,3,4,4,5,4,4,5,5,3,4,3,4,5,,4,4,4,4,5,5,4,3,3,3,3,3,3,3,Our administration spends more time on trying to fire it's staff and nitpick everything rather than support teachers and help them become successful.,6,4,"Questions about the ""climate"" in our building regarding administrators would be far more helpful.  We are a strong academic school, but the staff is miserable.  Our administrators don't value us at all and find us expendable.  Those are the questions you should be asking!",,
3/1/22 15:47,3/1/22 16:19,0,96.252.99.186,100,1925,1,2022-03-01T16:19:26,R_31vo3QnkubWAwuC,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,5,4,2,5,3,2,5,4,5,4,5,4,4,5,5,2,3,5,5,5,2,2,3,4,4,4,3,4,3,3,4,4,5,4,4,4,4,5,4,3,4,3,2,4,2,2,2,2,2,4,5,5,3,2,3,4,3,3,3,2,2,2,3,4,3,5,3,5,,4,3,"quite, somewhat, etc. these terms are difficult to pin down.  a Likert scale would have been more accurate in capturing my opinions.  a n/a is necessary for many questions for which I have no information to provide",,
3/1/22 15:47,3/1/22 15:57,0,96.252.99.186,100,622,1,2022-03-01T15:57:42,R_2mHBmZt1S5ADDPj,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,5,3,3,4,4,3,5,4,4,4,3,3,2,3,4,3,3,4,4,4,3,3,2,3,3,4,3,3,4,4,5,3,5,4,3,3,3,5,4,3,4,4,4,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,5,5,4,4,5,4,3,5,3,5,,5,3,some of the questions are ones in which we have no basis or experience to answer.,,
3/1/22 15:34,3/1/22 15:57,0,96.252.99.186,100,1360,1,2022-03-01T15:57:18,R_2fGMYLfrb9JOT2s,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,5,4,4,4,2,1,5,4,5,4,1,1,1,1,3,3,3,3,2,2,2,2,2,3,3,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,2,3,4,5,5,5,3,2,1,1,2,4,3,1,4,3,2,3,4,4,4,3,4,4,3,4,2,3,"The upper administration (i.e. superintendent, ass't. superintendent) are completely out of touch with what we do and what we should be doing at the high school.  Consequently there has been a steady deterioration in both the morale among teachers, and the level of education provided for students.",8,5,"Some of the questions should have had ""not applicable"" or ""unknown"" as answer choices.",,
3/1/22 14:57,3/1/22 15:12,0,108.49.219.202,100,950,1,2022-03-01T15:12:52,R_RQ64ZNjbIjmNvsR,42.48100281,-71.15630341,anonymous,EN,6,3440040,5,5,4,5,4,5,4,2,5,4,4,4,3,3,4,3,4,4,4,2,3,2,2,3,3,5,4,4,4,4,4,3,3,3,2,3,3,3,2,3,3,2,3,4,4,4,3,4,2,3,4,4,5,3,3,2,4,2,2,3,2,3,2,4,3,4,4,4,4,5,no,1,9,Some questions aren't pertinent to a specialist.,,
3/1/22 16:13,3/1/22 16:26,0,108.49.219.202,100,775,1,2022-03-01T16:26:6,R_2Eo9ZCaIgIIC3qy,42.48100281,-71.15630341,anonymous,EN,6,3440305,5,5,5,4,4,4,2,2,5,4,4,4,4,4,5,4,5,4,5,4,4,4,5,4,3,3,3,4,4,4,4,4,4,4,4,5,5,5,4,5,5,3,3,4,4,5,5,5,3,2,3,4,3,3,4,2,3,4,5,4,5,5,4,3,4,4,3,3,2,3,,9,5,"Some questions did not apply to me or I had no idea how to answer, so guessed.",,
3/1/22 16:17,3/1/22 16:34,0,100.0.163.57,100,1033,1,2022-03-01T16:34:26,R_3JLE8KoaV4gVstA,42.48429871,-71.09519958,anonymous,EN,6,3440305,5,4,5,2,2,3,1,2,4,4,4,4,2,3,1,2,3,1,1,1,1,2,1,2,1,3,3,4,3,3,3,3,4,3,3,4,3,3,1,4,4,3,4,3,2,2,4,4,3,3,3,3,2,5,3,2,3,3,2,3,4,3,3,3,3,3,2,3,2,2,,6,6,"Some questions were not relevant to my teaching situation,  There should be an ""I do not know"" or ""Not applicable"" option.",,
3/1/22 15:43,3/1/22 15:57,0,96.252.99.186,100,838,1,2022-03-01T15:57:39,R_1IsaZVyOghEPCls,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,4,4,4,4,3,2,5,4,5,4,4,3,3,3,4,3,3,3,2,3,1,3,2,3,3,4,3,3,3,4,5,4,5,3,4,3,4,4,4,3,4,3,4,4,5,4,4,3,3,3,2,4,4,2,2,3,3,3,5,5,5,4,4,4,3,5,4,5,,5,4,"The scale is weird - i.e. ""A Little Hard""?",,
3/1/22 15:43,3/1/22 15:54,0,96.252.99.186,100,682,1,2022-03-01T15:54:43,R_3PLFp0DYGrR4ujf,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,5,3,3,3,2,1,5,5,5,4,4,4,3,2,3,3,3,3,2,2,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,3,4,3,3,4,4,4,3,4,3,3,4,3,3,4,4,4,4,3,3,3,3,4,4,3,3,4,4,4,3,4,3,5,,7,5,"There are two ""5s"" in these last two scales. ",,
3/1/22 15:43,3/1/22 16:02,0,96.252.99.186,100,1104,1,2022-03-01T16:2:3,R_234gyzoiaZ2A2EY,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,4,4,4,5,4,,4,5,5,4,2,2,2,2,4,3,3,4,4,4,4,4,5,2,2,2,3,3,3,2,3,2,5,4,3,3,3,3,3,3,4,4,1,4,3,4,5,5,3,4,5,4,5,3,3,3,5,4,2,3,2,3,4,3,3,5,4,5,,7,3,"There should be an option for not applicable. Also, there are 2 5's. And I tried to enter a number lower than 3 and I was not allowed to submit. So basically, this is not accurate data. 
",,
3/1/22 14:56,3/1/22 15:15,0,108.49.219.202,100,1137,1,2022-03-01T15:15:51,R_Utn1VXJSI3mQSGd,42.48100281,-71.15630341,anonymous,EN,6,3440040,5,4,5,4,4,5,3,2,4,4,4,4,4,3,4,4,4,3,5,3,5,4,1,2,3,4,4,4,4,4,4,3,4,4,4,3,2,3,1,3,4,2,3,2,4,2,4,1,4,4,3,4,5,4,3,1,5,4,3,3,4,3,3,5,4,4,3,3,4,4,,7,4,There were some questions that needed to be clarified.,,
3/1/22 16:18,3/1/22 16:32,0,96.252.99.186,100,866,1,2022-03-01T16:32:28,R_cOU6ze0lTyluviV,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,4,4,5,5,3,2,5,4,5,5,4,4,5,4,5,3,4,5,5,4,5,4,4,,,4,4,3,4,4,5,4,5,3,2,3,3,5,2,5,,,3,5,5,5,5,5,3,4,4,4,3,,4,4,3,4,3,4,3,,4,4,4,,,,,6,5,"There were some questions to which I had no idea of the answers. Some of these questions, I didn't answer. Some I just guessed the answer.",,
3/1/22 16:13,3/1/22 16:25,0,108.49.219.202,100,735,1,2022-03-01T16:25:31,R_23ai9E3IFmIXyxn,42.48100281,-71.15630341,anonymous,EN,6,3440305,2,2,4,2,2,2,1,2,2,2,2,3,2,2,2,1,1,2,2,1,2,1,2,1,1,3,3,4,3,3,3,3,3,3,2,1,2,3,2,2,3,2,4,3,5,2,4,4,2,2,3,2,3,2,4,1,3,3,1,2,3,3,3,4,4,4,2,4,3,3,,9,9,These final slider questions are broken. ,,
3/1/22 15:44,3/1/22 16:20,0,96.252.99.186,100,2156,1,2022-03-01T16:20:6,R_3KW9jQnuFN9D69C,42.45320129,-71.14279938,anonymous,EN,6,3440505,4,5,4,4,2,4,2,1,4,3,4,4,4,2,2,2,3,3,2,3,2,3,2,3,2,3,3,4,4,3,3,4,2,2,4,3,3,3,2,5,3,2,4,3,2,4,5,3,2,2,2,3,2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,5,3,4,"I think trust in and by administrators is important and should be asked about: ""Do you trust that your administrators are competent and are making good educational decisions?"" ""Do you feel that your administrators trust you to make good educational decisions?"" etc. ",7,6,"This survey had so many questions I couldn't possibly answer accurately for the high school level. Are kids bullied? Not in my class, but I'm sure out in the halls. Is my curriculum rigorous? Totally depends--my AP class yes, but not my lower level classes. Are parents involved in fundraising? Etc.",,
3/1/22 14:57,3/1/22 15:11,0,108.49.219.202,100,811,1,2022-03-01T15:11:20,R_TbFujmgFsX4LZzr,42.48100281,-71.15630341,anonymous,EN,6,3440040,4,4,5,3,2,3,3,2,4,4,4,4,2,1,2,1,2,1,2,4,4,3,2,2,1,4,4,4,4,4,4,4,3,4,3,2,3,2,2,4,4,1,1,1,4,3,5,3,3,3,4,5,5,2,2,2,3,3,3,3,4,4,4,3,4,4,1,1,2,3,We are not given any coherent curriculum and are expected to make everything up/ gather free resources from the internet for topics like science and social studies.,6,3,"This survey is the last thing I need to be doing. Then when I am almost done, I get a million errors about my placement of the dot under ""how interesting were the questions.""  They aren't.  Also, the MCIEA website has not been updated since 2019.  Judy Evans doesn't even work here anymore. ",,
3/1/22 14:57,3/1/22 15:19,0,108.49.219.202,100,1323,1,2022-03-01T15:19:38,R_2CqEeVSf1U2YCXz,42.48100281,-71.15630341,anonymous,EN,6,3440040,3,4,4,5,5,5,5,2,4,4,4,5,2,3,4,3,5,4,4,4,5,4,2,3,3,5,3,4,4,5,4,3,4,2,3,3,3,3,1,3,3,1,1,2,5,1,4,1,3,4,4,5,4,3,4,3,5,4,4,4,3,4,3,4,3,3,3,3,3,4,,5,5,This survey should allow us to make clarifying comments about our responses to the questions.,,
3/1/22 15:14,3/1/22 15:26,0,108.49.219.202,100,742,1,2022-03-01T15:26:32,R_2AMTHsWx7omMRig,42.48100281,-71.15630341,anonymous,EN,6,3440045,5,4,5,4,4,5,5,5,5,5,3,3,4,3,4,3,4,4,4,3,5,3,3,4,4,3,4,3,3,3,3,3,4,4,4,3,4,4,3,4,4,2,3,3,4,4,4,4,3,3,4,5,5,4,3,2,3,4,3,3,4,4,4,4,3,3,3,3,3,3,,2,3,Too long.,,
3/1/22 16:14,3/1/22 16:27,0,108.49.219.202,100,777,1,2022-03-01T16:27:20,R_1LzgS9Q0LdM2wmh,42.48100281,-71.15630341,anonymous,EN,6,3440305,5,5,4,3,3,4,1,2,5,5,5,4,1,1,1,1,4,4,3,4,4,3,2,3,2,3,3,3,3,3,4,3,4,2,2,1,2,2,1,2,4,1,3,3,1,1,4,1,5,5,4,5,3,2,2,1,3,3,4,3,4,4,4,3,3,4,4,4,3,3,xxx,2,3,xxxx,,
3/1/22 15:00,3/1/22 15:21,0,108.49.219.202,100,1309,1,2022-03-01T15:21:52,R_XSpD9xG0Wu2ryEN,42.48100281,-71.15630341,anonymous,EN,6,3440045,5,4,5,4,2,5,2,1,5,5,5,4,1,1,1,1,1,1,1,4,4,2,3,2,4,3,5,4,4,3,4,3,2,3,2,3,3,3,1,4,2,1,3,3,5,3,5,5,3,3,3,3,5,4,3,1,4,4,3,3,3,4,3,3,4,3,3,3,3,3,"Many of these questions I really did not know the answer to becuase of pandemic restrictions.  Parents are not allowed in the school, so I really don't know the extent of their involvement.  I am very frustrated with our administration.  The leadership in Winchester is lacking.",9,4,You really should tailor it to reflect the times in which we are teaching.,,
2/28/22 21:36,2/28/22 21:49,0,108.7.220.42,100,756,1,2022-02-28T21:49:18,R_1r8HGFglBQkPxSq,42.48100281,-71.15630341,anonymous,EN,6,3440005,5,5,4,5,2,2,2,1,5,4,3,4,2,1,2,2,3,3,3,3,3,3,2,3,3,3,3,4,3,3,4,3,3,3,1,3,2,2,3,3,2,1,1,2,3,5,4,3,5,5,5,5,2,5,4,2,3,3,2,3,4,4,3,3,3,3,3,3,2,2,,5,5,"You should have a separate survey for art, music and PE teachers as our role is different in the building than a general classroom teacher.",,
3/1/22 15:41,3/3/22 8:40,0,96.252.99.186,41,147547,0,2022-03-10T8:40:54,R_1pRuYQGh84kU6u0,,,anonymous,EN,6,3440505,,,,,,,,,4,4,4,4,,,,,,,,5,5,5,,,,,,,4,4,4,3,4,3,4,,,,,,4,3,4,4,,,,,4,4,4,4,,,,,,,,,4,4,4,,,,,,,,,,,,,
3/1/22 15:46,3/1/22 16:13,0,74.104.157.247,100,1654,1,2022-03-01T16:13:54,R_1P01SzwDACaer1W,42.41879272,-71.15570068,anonymous,EN,6,3440505,5,5,5,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,2,3,4,4,4,5,4,4,4,4,4,3,5,3,5,,7,6,,,
3/1/22 16:13,3/1/22 16:20,0,108.49.219.202,100,450,1,2022-03-01T16:20:42,R_3P66wXOZoxV9qst,42.48100281,-71.15630341,anonymous,EN,6,3440305,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,5,4,3,4,3,3,3,4,4,4,3,3,4,4,,7,5,,,
