StartDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,LocationLatitude,DistributionChannel,language,district,Q124,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,Q81,Q83_1,Q84_1,Q85,X,X.1,X.2,DESE ID
2/6/19 13:27,IP Address,192.64.64.114,100,808,TRUE,2019-02-06T13:41:0,R_1mdSYBv8lLKEgff,42.36489868,anonymous,EN,Somerville,NA,5,5,4,5,5,5,4,1,5,5,3,5,1,1,2,2,5,4,5,4,4,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,4,3,5,5,4,3,3,3,3,4,5,4,3,3,3,4,3,4,3,2,3,3,3,3,3,3,4,5,,7,NA,,NA,NA,,02740115
2/6/19 13:37,IP Address,192.64.64.114,100,424,TRUE,2019-02-06T13:44:0,R_1gqLon9gMLENT8B,42.36489868,anonymous,EN,Somerville,NA,5,5,4,4,4,4,3,1,4,4,4,4,3,1,2,2,2,4,2,3,2,1,3,3,2,3,4,3,3,3,3,3,3,3,2,2,3,2,2,3,1,2,2,2,3,2,3,2,3,2,2,4,4,3,2,2,4,3,2,3,4,3,3,2,3,3,2,2,3,3,,8,6,,NA,NA,,02740115
2/6/19 13:37,IP Address,192.64.64.114,100,503,TRUE,2019-02-06T13:45:0,R_1jvlAgZQFnZIUF0,42.36489868,anonymous,EN,Somerville,NA,5,5,5,5,5,5,5,3,5,5,5,5,3,4,4,4,4,3,4,5,5,4,5,5,5,3,2,4,3,3,3,3,5,5,5,5,5,5,4,3,3,3,3,3,3,5,4,5,5,5,5,5,3,1,2,1,5,5,4,5,3,3,3,4,4,4,3,4,3,4,,9,5,,NA,NA,,02740505
2/6/19 13:41,IP Address,192.64.64.114,100,350,TRUE,2019-02-06T13:47:0,R_Dl2Igz4gaDPStEt,42.36489868,anonymous,EN,Somerville,NA,3,4,4,3,3,2,4,1,4,4,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,2,3,3,3,3,4,4,4,5,3,4,3,3,3,3,3,3,3,3,3,5,3,3,3,4,4,4,4,2,3,3,4,3,4,2,3,3,4,,8,7,,NA,NA,,02740075
2/6/19 13:38,IP Address,192.64.64.114,100,755,TRUE,2019-02-06T13:51:0,R_12r9svLSf6OhgfZ,42.36489868,anonymous,EN,Somerville,NA,4,5,5,3,3,3,2,2,5,5,5,5,2,2,3,2,3,2,3,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,2,1,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,1,3,3,2,2,4,3,3,3,3,3,2,2,2,2,,8,7,,NA,NA,,02740115
2/6/19 13:39,IP Address,192.64.64.114,100,830,TRUE,2019-02-06T13:53:0,R_2rlkj7WIQ572d3p,42.36489868,anonymous,EN,Somerville,NA,5,5,5,3,3,5,3,4,5,5,5,5,1,2,1,2,3,4,4,4,4,2,4,4,4,4,5,3,3,4,4,4,4,4,4,2,1,2,1,4,1,1,1,1,3,3,3,1,4,4,5,4,5,1,1,1,4,4,4,4,3,3,4,4,3,3,3,3,3,3,,6,3,,NA,NA,,02740111
2/6/19 13:04,IP Address,192.64.64.114,100,3137,TRUE,2019-02-06T13:56:0,R_1lluFymK8a9vwLG,42.36489868,anonymous,EN,Somerville,NA,NA,NA,5,4,4,3,3,NA,5,3,5,4,4,4,4,2,4,4,5,4,2,3,5,4,3,4,3,3,4,4,4,4,4,4,3,4,4,2,2,2,4,4,5,5,NA,NA,NA,NA,5,4,3,5,5,2,3,2,5,4,2,4,NA,NA,NA,NA,4,4,3,5,3,4,,8,8,,NA,NA,,02740510
2/6/19 13:51,IP Address,192.64.64.114,100,723,TRUE,2019-02-06T14:3:0,R_2Y3ygzjCGKo2M2O,42.36489868,anonymous,EN,Somerville,NA,5,5,5,4,4,5,4,2,5,5,5,5,2,3,2,3,4,4,4,3,4,3,2,2,2,3,3,4,3,4,4,3,4,3,3,5,4,3,3,2,4,3,4,4,5,5,5,4,3,3,4,4,5,1,1,1,4,4,3,3,5,4,3,3,4,3,3,3,4,5,,9,5,,NA,NA,,02740075
2/6/19 13:44,IP Address,192.64.64.114,100,1465,TRUE,2019-02-06T14:8:0,R_3CQ1gvXe3xSzTA9,42.36489868,anonymous,EN,Somerville,NA,4,4,4,5,5,5,4,2,4,3,4,3,4,4,4,4,5,4,5,3,2,2,2,2,1,2,2,3,4,4,4,3,3,3,3,4,3,4,4,4,4,2,3,3,3,3,3,3,4,4,4,5,5,5,4,3,3,3,2,3,3,2,2,4,3,4,3,3,2,3,. ,5,5,,NA,NA,,02740075
2/6/19 13:29,IP Address,192.64.64.114,100,2350,TRUE,2019-02-06T14:8:0,R_3dXKCWcgOR0D5Gh,42.36489868,anonymous,EN,Somerville,NA,5,5,4,4,4,5,4,2,4,4,4,4,3,4,3,3,4,4,3,3,2,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,4,4,4,3,3,4,4,3,2,2,1,4,3,2,3,4,2,2,3,3,4,4,5,4,5,,4,NA,"There should be an option for ""do not know"" or ""not applicable"" ",NA,NA,,02740505
2/6/19 13:57,IP Address,192.64.64.114,100,673,TRUE,2019-02-06T14:9:0,R_z75C3mmlP9MOb2F,42.36489868,anonymous,EN,Somerville,NA,5,4,5,5,4,5,4,2,4,4,3,4,2,2,2,1,4,1,2,3,3,4,3,4,3,3,4,3,2,3,3,2,3,2,4,2,2,3,1,4,3,1,3,3,3,1,3,2,4,4,3,4,4,4,3,1,3,3,1,2,2,3,3,3,2,3,3,3,4,4,,1,1,"Very poorly worded survey - disgraceful that someone would implement such a poor quality survey..  Much of this information would not be available to an individual teacher -  e.gquestions on bullying; this is a preK-8 school, so it is unlikely that teachers know what it happening in an entire school",NA,NA,,02740115
2/6/19 14:00,IP Address,192.64.64.114,100,867,TRUE,2019-02-06T14:15:0,R_1Q59rYep2FV4UZb,42.36489868,anonymous,EN,Somerville,NA,5,4,5,2,3,4,4,2,4,4,3,3,4,4,5,4,3,1,4,4,4,5,4,4,4,3,4,4,4,4,4,3,4,4,2,4,5,5,5,4,5,5,5,4,4,4,4,4,3,3,3,4,3,4,3,2,5,4,2,4,4,2,2,3,3,4,1,3,3,3,,6,6,,NA,NA,,02740115
2/6/19 13:59,IP Address,192.64.64.114,100,965,TRUE,2019-02-06T14:15:0,R_3ISIrxd9u6ZldZH,42.36489868,anonymous,EN,Somerville,NA,5,4,5,4,4,2,3,2,4,4,5,4,2,1,2,2,3,3,4,5,5,4,4,4,4,4,5,4,4,3,4,4,3,3,3,3,4,4,3,4,5,3,4,3,3,2,3,3,4,4,4,4,4,3,2,1,3,3,2,2,4,3,3,3,3,3,2,3,3,4,,8,5,,NA,NA,,02740115
2/6/19 14:09,IP Address,107.77.224.202,100,588,TRUE,2019-02-06T14:19:0,R_1pEvcz4ts2pRemj,40.68159485,anonymous,EN,Somerville,NA,5,5,5,5,5,4,3,1,5,5,4,3,3,2,3,4,1,1,1,4,4,4,4,5,4,4,5,3,4,4,4,4,4,5,4,5,5,4,2,4,3,3,4,2,5,4,5,4,2,1,2,2,2,3,1,1,4,4,2,3,2,4,4,3,3,5,2,2,2,3,,NA,NA,,NA,NA,,02740115
