StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,DESE ID,Q70,Q72,Q72_5_TEXT,Q74,Q74_5_TEXT,Q86,Q86_5_TEXT,Q87,Q87_5_TEXT,Q89,Q89_5_TEXT,Q90,Q90_5_TEXT,Q92,Q92_5_TEXT,Q93,Q93_5_TEXT,Q95,Q95_5_TEXT,Q96,Q96_5_TEXT,Q98,Q98_5_TEXT,Q99,Q99_5_TEXT,p-scrp-q3,p-scrp-q2,p-valm-q1,p-valm-q2,p-valm-q3,p-valm-q4,Q87-2,p-comm-q1,p-comm-q2,p-comm-q3,p-tcom-q1,p-tcom-q3,p-evnt-q4,p-comm-q4,Q57,p-evnt-q3,p-evnt-q1,p-evnt-q2,Q88,p-socx-q3,p-socx-q4,p-scrp-q1,Q58_2,p-socx-q1,p-sosu-q1,p-sosu-q2,p-sosu-q3,Q59_2,p-socx-q2,p-sosu-q4,p-phys-q3,Q60,p-acpr-q1,p-acpr-q2,p-acpr-q3,p-acpr-q4,Q61_2,p-cure-q1,p-cure-q2,p-cure-q3,p-cure-q4,Q62,Q61,Q61_100_TEXT,Q62_2,Q62_100_TEXT,Q64,Q64_100_TEXT,Q65,Q65_100_TEXT,Q63,Q63_100_TEXT,Q67,Q67_100_TEXT,Q58,Q59
5/1/2024 10:36:15,5/1/2024 10:40:46,0,57.140.16.43,100,271,1,2023-03-01T10:40:47,R_3HS2c8pfA3KCPwB,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,5,5,5,5,5,5,,4,4,4,4,5,2,5,,4,4,5,,4,5,5,,5,5,5,5,,4,5,3,,5,5,5,5,,5,4,5,5,,1,,1,,2,,5,,2,,1,,,
5/1/2024 10:34:32,5/1/2024 10:46:58,0,71.184.210.67,100,746,1,2023-03-01T10:46:59,R_7MrkyP9X8kUrZAl,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,4,4,5,4,4,4,,5,5,4,4,4,3,5,,3,4,4,,5,5,5,,5,4,4,5,,5,4,3,,3,3,3,5,,5,5,2,3,,1,,1,,2,,6,,1,,1,,,
5/1/2024 10:29:29,5/1/2024 10:57:30,0,71.174.81.254,100,1681,1,2023-03-01T10:57:31,R_1Et7aNDw8upbgC9,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The school seems to be blind to the issue of and does a poor job at teaching students about the dangers of pornography and preventing its dissemination within the school.,
5/1/2024 11:02:58,5/1/2024 11:22:34,0,136.226.73.20,100,1175,1,2023-03-01T11:22:35,R_5hrmU0QAJYiIlt2,email,EN,1740305,2,2,,7,,2,,7,,,,,,,,,,,,,,,,,,3,3,5,5,5,5,,5,5,5,5,5,1,5,The level of communication from Fowler school has improved dramatically in the past few years.   The newsletters are very helpful. Perhaps the school could have a parents night halfway through the year to sum up how everything is going with the classes or what they will be learning about.,3,3,1,,5,5,3,,5,3,5,5,I know that the school always holds a special assembly if something negative happens within the school.  they do a great job addressing bullying from what I can tell and all the communication in the school is very positive and encouraging for the kids.,3,5,1,The only reason I answered that I wasn't 100 percent sure about the boys' safety is just because of all the school shootings.  I know they do a good job at monitoring the doors etc but you just never know.,5,5,5,5,,5,5,3,3,,1,,1,,2,,6,,2,,1,,,easy peasy.  I liked the ability to add extra comments but it didnt force me to fill them out.
5/1/2024 10:09:38,5/1/2024 11:33:39,0,68.160.160.153,100,5040,1,2023-03-01T11:33:40,R_3lLmVYKdbzuteql,email,EN,1740305,2,1,,7,,2,,7,,,,,,,,,,,,,,,,,,3,3,5,5,5,2,"re: the staff value me as a partner in my childs learning. I would mostly agree however with my IEP student this is not the case. They use the verbiage and say that we are a team and they value my input and participation, however they aren't open to my requests and needs for a quality (not lazy) IEP document and (not lazy) implementation of accommodations and goals. Even if they pretend to be and something gets inputed to better the delivery of services that does not mean it will happen. My experience in meetings has been ruthless and I have had to fight for years for services. That experience was not collaborative or in the best interest of the student or us as caregivers. Once services were granted feeling my hopes for partnership and collaboration were soon diminished after years of poor follow through after meetings and in my child's day to day.",5,5,5,3,4,3,5,"the only time I have been contacted about my childs academic achievement is by absolutely stellar individual teachers who are willing to put in extra time, tutor at school, etc. Specific academic concerns and thoughts about potential issue or disability DO NOT HAPPEN. Years will go by without identifying a students academic needs that should have intervention. If they hop into an intervention you are lucky and that is where it ends. Any thoughts about an eval, possible IEP for academics come from parent identified concerns. BUT if concerns are behavioral or disruptive you will ALWAYS hear about them and more often if not every time they are looking for help and suggestions from parents on how and what to do with those children. In my opinion the school is completely inept at dealing with basic 101 behaviors ESPECIALLY when they are a result of a disability or lets say ADHD diagnosis.",4,4,4,This last years seems school events have picked up to close to if not pre-covid  normal practice. ,1,5,4,"My children do not like going to school. One child feels completely demoralized and has lost trust in some of the teachers and staff at school due to how they treat them, call them out, mis-represent situations, etc. My other child does not like school and this is likely due to this child finding academics in general hard and unenjoyable. On another note, there is a lot of punishment and collaborative/grade level consequences happening. I feel like school finds it easier to supervise and group everyone into new systems instead dealing with a small group of students that are unruly. Some of the characteristics of a school that have previously made Fowler fun for kids is reforming into regimented systems meant to prevent and identify unwanted behaviors instead of focusing on respect, shared community and efforts to value our spaces and people, etc.",5,5,5,3,"there are certain things that have happened that lead me to feel that I don't know that the school values my child's emotional well being. I believe that they would like to, but actions are something else. The teachers have maintained good communication with me...at my request when things are off with 1 of my children that has some needs and is on an IEP. That communication however is dijointed and not collaborative. I'll recieve communication from core teachers, specials, admin all at once fordifferent things and no one knows the other is contacting me. Needless to say it's a lot. Also my child is often sent to the office to calm down and recenter vs utilizing his accommodations. For a student who feels negatively about school to be sent to the office because staff rather take an easy out vs the time and resources to implement accommodations outlines in an IEP is not ok.   ",5,5,4,I'm hearing of cigarette and vaping issues in the upper grade. One child has seen vapes and cigarettes in the locker areas and in students backpacks,4,1,3,2,"there is no one that can convince me that our public schools are preparing our children for later in life. Perhaps it is happening more so at the HS level in our public school but my experience with my kids Fowler education is 100% stick to the state standards and teach to the test. The amount of BOY/MOY/EOY testing, state MCAS, etc is absolutely absurd. In between actual testing is teaching to the test. I do believe we have a good specials program, however I would much rather see that time reorganized and utilized for a full length recess for our middle schoolers. The behavior concerns and need for regimented supervision and behavior minimizing systems would likely be reduced if all grades had a full length recess and fresh air during the day. Our school literally sit on a national wildlife preserve. The trails and systems are accessible from all 3 of our districts school properties. NOT ONE of my children classes has ever utilized this as an opportunity to learn anything about this land, not the history of the land, the ecosystems, civic politics of land like this set aside, surveying, honoring and respecting the environment, etc. Not one thing. The reason is because it’s not in the state educational standards that our schools are mandated to spend what seems like 100% of the time teaching too. It's such a loss and just one example of a huge miss for our entire district. Another issue is the use of phones in classes. In middle school at least children are using their phones in class for whatever they want, including socials, games, etc. I hear of certain classes that this is allowed because they have finished their work. It sounds like it happens at the end of a bunch of classes when their work is done that they are either allowed to do this or they just do anyway. This seems like common place in health that there is literally no assignment for them (or perhaps they complete the work and there is nothing for them to so) so they are on their phones. Health is likely mandated, but this is a great example of a time and opportunity to get the kids OUTSIDE (for health and recreation…recess) instead of them being on their PHONES!!! ",3,3,3,4,"my kids are upper middle class white kids, I'm not so concerned that they are learning about learning about people simular to that. I am concerned about them learning about POC and social disparities and children of the world living in war zones, through famine, etc. are they, I'm not sure. I'm also not sure that they are learning about people simular to them in terms of disability and mental health struggles which would be more relevant to their experience and student populations at Fowler",1,,2,,2,,5,,2,,1,,"i think the teachers care a lot, but I think the system adn post-covid education implications are wearing down teachers A LOT and it is affecting how they feel about and do their jobs. Everyone is expected to do more with less. Our district is not level funding our schools and it is a problem. We have to let go of and move teachers around every year and this not only sucks for them but I know it is effecting students too. When we hire awesome teachers only to let them go because they were the most recent hires THAT SUCKS!!!! I think our district admin does a good job with what they have but its not without issue for all levels and it trickles down to the largest stakeholders...the students. I would really like to see our Fowler admin take a step back and again consider the largest stakeholder in the building, the students, and how to best implement programing that honors our shared investments in the school community and create ways that students learn to invest in respect and care for the building itself, their behaviors and their learning without making things run like a machine. One thing that wasn't brought up and I would like to mention is the absolutely awesome acceptance and support our LGBTQ+ students have at Fowler. Students appear to feel comfortable coming out, transitioning and living an authentic life without challenge or ridicule or whatever might happen more often in other places of less tolerance. It has appeared to be effortless and natural and easy for the school community to give live in and with acceptance of our LGBTQ+ students and staff and I love that that happens so seemingly effortlessly here.      "," questions about school incidents and how they are handled for example the various instances we have had this year with swastikas and anti whatever hate and what the school has done in response. Also we were asked questions about personal feelings of OUR own cultural representation in our families experiences at school, but I am not sure that there was an opportunity to answer how we feel the school does with these same questions regarding others in our communities ethnic, economic, social, gender, etc. diversity. AS a middle class white family my personal experience and answers for those questions would differ versus our thoughts and interpretation of how the district does with other more marginalized people in our community. I'd love to see questions regarding support for mental health, LGBTQ+ students, resources for families in need of access to social services and housing even,  "
5/1/2024 11:16:37,5/1/2024 11:41:44,0,71.184.210.67,100,1507,1,2023-03-01T11:41:45,R_2Q3dgShb3dWdQVb,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,2,,7,,4,4,5,5,5,5,,5,5,5,5,5,2,4,"My student rarely has academic concerns; however, I do think it is strange that I almost never receive an email from any staff about him. We have smaller class sizes in Maynard so as  parent I would think that instruction might be more individualized. I don't think that is the case.",4,5,5,"Fowler does a nice job offering parent-teacher conferences both during the school day and in the evening. There are many events in the evening, especially if your child is involved in activities like music, sports or theater. Communication about sports could be better. I get a message when a game or meet is canceled or postponed but the coaches don't consistently use apps like they do at the high school to keep parents up to date about practices or fundraising events.",5,5,5,"Activities such as theater, clubs and music have really contributed to a positive climate at school. These activities really seem to give a sense of belonging to those who may need it.",5,5,5,5,,5,5,1,,4,4,4,4,"My child is very high achieving and he has been lucky to always have a teacher or more each year who care about him and challenge him. He gets frustrated by the slow pace of material, lac of enrichment, and rote nature of some assignments. He is clearly learning, though, and some of his teachers have been outstanding. We were both disappointed that Civics Action Projects, a new unique opportunity for students to pursue their own interests and research, were instead given to a class as a whole to complete through the library class. My student also would love to have speech and debate at school and science fair type activities. The computer science class, as with many specials, was very watered down and would have been a nice opportunity for enrichment but seemed to be a continuous repeat of old curriculum.",4,4,5,4,,1,,"2,4",,2,,6,,2,,1,,,"We have so many students leaving the district for charter schools. Parents have been bringing this up for many years and just a year or two ago Fowler and the high school started to offer open houses and describe their offerings at the same time charter schools are marketing to families. Having so many kids leave for charter schools is incredibly expensive for us, damages our community, and in many cases could be avoided. Students leave for both academic reasons and social. Why aren't we addressing students'  individual needs and differentiating more, offering more enrichment along with support."
5/1/2024 11:38:46,5/1/2024 11:46:06,0,104.28.39.29,100,439,1,2023-03-01T11:46:07,R_5jkySVjT08kvH0d,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,2,,7,,5,5,5,3,4,4,,3,4,4,2,4,3,4,More positive news and highlighting the good vs only hearing negative things. ,3,2,3,,4,2,4,,2,4,3,4,,3,3,2,"Safety on the playground is concerning. A lot of kids and not a lot of staff, ",4,1,3,1,"We need more hands on, life skills, common sense skills to be taught, ",4,4,4,4,,99,,99,,99,,99,,99,,1,,,
5/1/2024 11:58:07,5/1/2024 12:08:37,0,96.237.233.228,100,630,1,2023-03-01T12:08:38,R_51vEnOlgULMCu0p,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,2,,2,,3,3,4,4,4,4,,1,2,2,3,4,4,4,,4,2,3,,4,4,4,,5,3,3,4,,4,4,3,,4,4,3,4,,4,4,4,4,,2,,99,,2,,5,,2,,1,,,
5/1/2024 12:05:14,5/1/2024 12:18:45,0,98.118.127.136,100,810,1,2023-03-01T12:18:45,R_3XloVKpLLK1edd7,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,3,,7,,1,1,3,3,2,2,"My child came home and asked about God after an outside speaker (who bills themselves as a christian speaker) ended an assembly with ""God loves you"". I don't care that they had the speaker. I would have liked opportunity to have opted my child out of hearing the toxic positivity. Since, it was a last minute decision by school officials to have my daughter's grade attend, I didn't find out that she would be hearing that speaker until after she heard it. The speaker was totally inappropriate for a school setting and not giving advanced warning that my child would be attending the assembly was wrong. ",3,4,3,5,5,3,1,"Relevant information to my child gets buried in irrelevant information about outside happenings. I hate having to dig through those news letter to find the info I need.  Not to mention there is one from the superintendent, the principal, and the PTO. With most of that being irrelevant to my child, it's hard to easily find the information I need.",3,1,1,,4,5,3,,5,5,5,4,,2,2,3,"I had safety concerns, brought them to the attention of the principal and they were dismissed.",5,3,4,4,,3,4,3,3,,1,,1,,2,,7,,2,,1,,,
5/1/2024 12:04:59,5/1/2024 12:21:15,0,74.104.165.80,100,976,1,2023-03-01T12:21:16,R_7UWglByzxhVjOxz,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,3,3,5,3,5,5,,5,5,5,4,5,2,5,,4,5,5,,4,5,5,,5,4,4,5,,5,3,3,,4,5,3,4,,3,3,3,3,,1,,1,,2,,8,,2,,1,,,
5/1/2024 12:17:15,5/1/2024 12:22:21,0,98.118.127.248,100,306,1,2023-03-01T12:22:22,R_18VIAoagSmPmeNH,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,2,,7,,3,3,4,5,5,3,,5,5,5,4,5,1,4,I don't find the superintendent emails to be useful, the Fowler Tiger Tales have a lot of great info (wish there were more pictures), I have no idea who the counselors are or if I would need to ever talk to them,3,5,4,I wish there were opportunities offered by classes to see what my kid is learning (like the science fair in 6th grade),4,5,5,,5,3,4,3,,5,5,3,,4,4,4,4,I'm not sure some of the work is challenging enough for where my child is at,3,3,3,3,,1,,"2,4",,2,,5,,2,,1,
5/1/2024 12:24:59,5/1/2024 12:39:36,0,68.160.162.132,100,877,1,2023-03-01T12:39:38,R_3CH0A179hsvFG7D,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,4,4,4,5,5,5,"The school and her teacher have been excellent partners, going above and beyond what is necessary at times, in ensuring that my daughter receives the assistance and guidance needed given her ADHD diagnosis.",5,5,5,5,5,3,5,,3,4,5,"School events tend to be after school or in the evenings and are easy to attend, however, there are very few of them.",4,5,5,,5,5,5,5,"The school responses to anti-semitic incidents have been strong.  The administration clearly has an understanding of how to handle these sorts of incidents.  Based on my interactions with her teachers and admin, I also believe that if my daughter were personally experiencing bullying, that it would be handled appropriately.",5,5,3,"Given my daughter's grade level, I have no view into the level of substance abuse at the school.",5,5,4,4,The school and teachers provide appropriate and engaging lessons.  I think at times that there is too much screen time especially when students have completed assigned work,4,4,4,4,I think the school does a good job here given the demographics of an MA school.  My impression is that more learning about people from different backgrounds could take place throughout the year as a more integrated part of the curriculum.,1,,1,,2,,5,,2,,1,,,
5/1/2024 12:25:09,5/1/2024 12:39:42,0,166.198.21.24,100,872,1,2023-03-01T12:39:43,R_1bmOaSkjHWLQzHX,email,EN,1740305,2,2,,7,,2,,7,,,,,,,,,,,,,,,,,,3,2,4,2,1,2,This survey is geared towards minorities and gender identity.  People in the community do not speak out against anything that is being taught or not being taught anymore.  They are no longer speaking up when uncomfortable with choice in teachers or substitutes because the superintendent has made it clear that if you do you are a bigot!,5,3,4,1,3,2,4,Teachers should bring back in person conferences,3,4,4,Not sure what events referring to..  There are no more teacher conferences unless its virtual,2,5,4,,5,3,5,4,,5,5,3,,3,2,4,2,The school no longer teaches cursive.  My children are 12 and 14 and cannot sign their name nor read cursive writing.  They no longer teach basic skills.  Luckily we try to teach my boys those things.  I would prefer less gender identity and more basic skills.  things,4,4,3,3,,1,,1,,2,,7,,2,,1,,,
5/1/2024 12:58:33,5/1/2024 13:10:06,0,73.38.19.230,100,693,1,2023-03-01T13:10:07,R_2rBidpSsOWFBaxv,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,2,,7,,5,5,5,3,3,4,,5,4,5,2,3,1,4,Parent teacher conferences I was surprised was only at the beginning of the year. And ONLY offered virtually. A lot can happen in a school year and I was surprised and disappointed when there was no other parent/teacher conferences. ,2,1,1,,4,5,3,,4,4,5,4,,4,5,3,,3,3,3,3,,3,5,5,3,,1,,1,,2,,3,,2,,1,,,
5/1/2024 13:38:20,5/1/2024 13:45:23,0,71.248.181.73,100,422,1,2023-03-01T13:45:24,R_7zYKnf4CtIlFEcF,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,1,1,1,1,1,1,,4,1,1,1,1,1,1,,3,4,3,,5,5,5,,5,3,4,5,,5,5,1,,5,5,4,5,"I'm not sure the academic work is challenging enough. My daughter gets all A's (which is nice), but it makes me wonder if the material challenges her enough.",5,4,5,5,,1,,1,,2,,6,,2,,1,,,
5/1/2024 12:45:51,5/1/2024 13:47:13,0,71.184.247.12,100,3681,1,2023-03-01T13:47:13,R_3uONEjPYSbG2hLY,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,2,,1,,3,3,3,4,4,4,,5,5,5,3,4,3,5,,1,3,4,,4,5,4,,3,4,5,5,,2,5,1,Parent of a 4th grader and I understand kids are kept separate aside from an incident on the playground once. Dismissal is treated different than an elementary level so my 4th grade child has chosen to take advantage of their impromptu freedom at dismissal and start walking to the after school care when I didn't want that to be a thing yet. ,5,4,4,4,,4,4,3,3,,1,,1,,2,,5,,2,,1,,,
5/1/2024 13:57:55,5/1/2024 14:02:08,0,74.119.97.9,100,253,1,2023-03-01T14:02:09,R_2vcuCnzk8eSdn3P,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,3,3,4,4,4,4,,2,4,4,4,4,2,4,,1,3,1,,4,5,4,,5,4,4,2,my students classroom teacher has been a problem for years with many complaints but is still given a full classroom of children every year to make upset and uncomfortable,4,4,2,,5,5,2,4,,2,2,4,2,,1,,1,,2,,6,,2,,1,,,
5/1/2024 14:45:12,5/1/2024 14:55:03,0,108.49.135.105,100,590,1,2023-03-01T14:55:04,R_40U9BE6PhrnHqsQ,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,3,,7,,1,2,4,4,2,2,The superintendent and principal seem to be trying hard but not competent at dealing with issues of diversity.,2,3,2,4,5,1,2,"There are a lot of redundant e-newsletters. My child’s teacher sends emails with info that’s relevant, and I appreciate that far more.",4,3,4,,2,5,4,My child finds the academics incredibly boring.,4,3,2,4,,4,2,3,,4,4,3,1,,5,4,4,4,,1,,1,,2,,6,,2,,1,,"The principal seems overwhelmed and focused on large-scale punitive responses. I’d love to see leadership from someone with experience building positive, accepting, open-minded school cultures.",
5/1/2024 15:09:02,5/1/2024 15:32:20,0,108.49.135.118,100,1398,1,2023-03-01T15:32:21,R_5O7oLr4gydPTSCt,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,4,4,4,4,4,3,,4,4,4,2,3,2,4,,3,4,2,,4,5,5,,5,5,5,4,,5,3,1,,5,4,4,4,,3,5,3,3,,1,,"2,4",,2,,5,,2,,1,,,
