StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,School- Lee,School- Maynard,Q145_1,Q145_2,Q145_3,LASID,Grade,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,s-tint-q1-1,s-tint-q2-1,s-tint-q3-1,s-tint-q4-1,s-tint-q5-1,s-acpr-q1-1,s-acpr-q2-1,s-acpr-q3-1,s-acpr-q4-1,s-peff-q1-1,s-peff-q2-1,s-peff-q3-1,s-peff-q4-1,s-peff-q5-1,s-peff-q6-1,Q2,QA3,Qa4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q168_1,Q168_2,Q168_3,Q168_4,Q168_5,Q168_6,Q168_7,Q169,Q3,Q4,Gender,Gender_3_TEXT,Race,Race_7_TEXT,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher
2023-03-17 7:57:11,2023-03-17 8:02:59,0,71.174.81.214,100,347,1,2023-03-16T10:27:61,R_3fwXkASnbdDlj8Q,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,10,22,105,rb2350,12,4,4,5,,,,,,,,,,4,3,5,3,1,2,1,2,2,3,3,2,2,2,2,3,2,2,3,1,4,1,,,,,,,,,,,,4,5,4,4,4,1,2,2,5,2,4,,,,,,,,,,,,4,2,3,2,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,,Science teacher,,
2023-03-17 7:57:51,2023-03-17 8:03:05,0,71.174.81.214,100,313,1,2023-03-16T10:27:62,R_1gAdKtqwBPxIs0q,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,3,22,106,1851,12,5,4,5,,,,,,,,,,5,4,3,5,2,4,2,3,3,3,3,4,4,4,4,4,2,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,3,2,1,2,3,4,5,5,4,5,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,,Science teacher,,
2023-03-17 7:57:05,2023-03-17 8:03:07,0,71.174.81.214,100,361,1,2023-03-16T10:27:63,R_a2VQxL679cI2qWt,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,12,14,106,0,11,2,2,2,,,,,,,,,,1,1,1,1,5,5,5,3,3,3,4,3,3,1,1,5,2,3,3,1,2,1,,,,,,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,4,1,5,3,4,3,4,3,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,3,your mom,"3,7",negro🙈,EN,Math teacher,,,
2023-03-17 7:57:43,2023-03-17 8:03:15,0,71.174.81.214,100,332,1,2023-03-16T10:27:64,R_x5TzaRJWfD1pf8J,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,11,23,108,3092,9,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,,,,,,,,,,4,4,4,4,3,5,5,5,5,4,4,4,4,2,2,2,4,2,4,3,3,5,3,3,4,4,4,5,3,4,3,4,,,,,4,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,Science teacher,,
2023-03-17 7:57:10,2023-03-17 8:03:18,0,71.174.81.214,100,367,1,2023-03-16T10:27:65,R_2oCE54XWt0rbpex,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,10,27,105,2363,12,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,,,,,,3,4,2,,,,,,,5,5,4,5,3,5,5,4,5,4,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,,,,,,5,5,5,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,,English teacher
2023-03-17 7:58:16,2023-03-17 8:03:26,0,71.174.81.214,100,309,1,2023-03-16T10:27:66,R_1pMrpmDhbORgLEF,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,9,18,107,2493,10,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,5,4,4,4,3,5,5,4,5,4,2,3,4,4,3,3,2,4,3,4,4,4,4,3,3,4,4,4,2,4,2,4,,,,,3,4,3,4,2,3,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,,Science teacher,,
2023-03-17 7:57:45,2023-03-17 8:03:33,0,71.174.81.214,100,347,1,2023-03-16T10:27:67,R_TnIQqtrT9hOC2c1,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,10,28,106,2584,11,,,,,,,,,,,,,4,5,5,4,3,3,3,,,,,4,5,5,4,,,,,,,,,,,,,,5,5,4,4,5,4,3,4,5,4,4,4,4,2,1,2,5,5,3,3,2,4,5,3,4,4,2,,,,,,,,,,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,Math teacher,,,
2023-03-17 7:59:26,2023-03-17 8:03:35,0,71.174.81.214,100,249,1,2023-03-16T10:27:68,R_OpRBJnCLwJgdB1T,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,11,19,108,3102,9,4,4,5,,,,,,,,,,4,3,2,5,1,3,4,5,4,3,4,5,3,3,3,4,3,3,4,2,4,1,,,,,,,,,,,,5,5,4,5,4,4,2,5,2,1,1,,,,,,,,,,,,5,3,4,3,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,Science teacher,,
2023-03-17 7:58:26,2023-03-17 8:03:37,0,71.174.81.214,100,310,1,2023-03-16T10:27:69,R_3g1s9K48cirLdz1,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,6,13,107,2575,11,5,5,5,,,,,,,,,,4,5,5,5,4,5,5,4,4,4,4,4,5,4,5,5,4,4,5,4,5,5,,,,,,,,,,,,5,5,5,5,4,4,4,4,2,2,2,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,,English teacher
2023-03-17 7:58:18,2023-03-17 8:03:38,0,71.174.81.214,100,319,1,2023-03-16T10:27:70,R_1o208vDeI84U3cX,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,10,12,107,Lh2710,10,,,,,,,,,,,,,,,,,,,,3,5,4,4,,,,,,,,,3,3,2,,,,,,,5,5,3,5,4,5,4,5,5,3,3,3,3,3,4,4,2,4,3,3,3,4,2,4,2,4,4,,,,,,5,5,4,5,3,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,,,,English teacher
2023-03-17 7:57:24,2023-03-17 8:03:40,0,71.174.81.214,100,375,1,2023-03-16T10:27:71,R_31iNNzxIwKDrsCX,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,9,4,106,2452,11,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,1,1,1,1,1,3,4,2,3,1,1,1,1,1,1,5,3,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,Social Studies teacher,
2023-03-17 7:59:16,2023-03-17 8:03:46,0,71.174.81.214,100,270,1,2023-03-16T10:27:72,R_2969iNLeJPZrE4d,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,9,11,106,2610,11,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,,,,,,,,,,4,4,3,4,4,5,5,5,5,5,4,4,4,1,1,1,4,4,4,5,3,5,2,3,2,3,3,5,4,5,5,5,,,,,5,4,3,4,5,5,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,Science teacher,,
2023-03-17 7:57:11,2023-03-17 8:03:50,0,71.174.81.214,100,398,1,2023-03-16T10:27:73,R_2ttcRSKCEukHrDt,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,10,21,105,400151,12,3,3,4,,,,,,,,,,3,3,4,3,1,2,3,3,4,1,4,3,3,3,3,4,2,2,3,3,1,3,,,,,,,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,3,3,2,2,2,3,4,3,5,2,3,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,Math teacher,,,
2023-03-17 7:57:35,2023-03-17 8:03:55,0,71.174.81.214,100,380,1,2023-03-16T10:27:74,R_3nufKIcO109hEYm,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,3,11,109,3031,9,5,5,5,,,,,,,,,,3,4,3,3,3,3,4,4,4,3,3,3,2,3,3,4,4,3,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,2,2,3,3,3,3,2,4,3,4,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,Science teacher,,
2023-03-17 7:57:32,2023-03-17 8:04:05,0,71.174.81.214,100,392,1,2023-03-16T10:27:75,R_3ikapi10v5jL7po,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,8,29,108,2711,10,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,,,,,,,,,,1,4,1,2,1,1,5,1,5,5,3,1,4,1,1,1,5,5,1,5,1,3,5,1,1,1,1,2,1,1,4,2,,,,,4,4,1,1,2,3,,,,,,,,,,,,,,,,,,,,,4,,5,,EN,Math teacher,,,
2023-03-17 7:58:10,2023-03-17 8:04:05,0,71.174.81.214,100,354,1,2023-03-16T10:27:76,R_2rYEjNz5c3WK5pf,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,5,30,107,2455,11,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,5,5,5,,,,,,,5,4,4,4,5,5,5,5,5,4,4,4,4,5,5,5,1,5,2,3,1,3,5,3,4,3,2,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,,English teacher
2023-03-17 7:57:22,2023-03-17 8:04:08,0,71.174.81.214,100,406,1,2023-03-16T10:27:77,R_1oiKxGWZ1ZB03ht,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,11,7,108,264631,9,3,3,5,,,,,,,,,,3,2,4,2,2,3,2,3,5,3,3,2,2,4,2,4,5,4,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,3,4,1,3,2,4,4,3,4,4,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,EN,,,,English teacher
2023-03-17 7:57:19,2023-03-17 8:04:18,0,71.174.81.214,100,419,1,2023-03-16T10:27:78,R_12A9Yofvf7qHjzo,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,6,6,108,2715,10,2,2,2,,,,,,,,,,4,4,4,4,2,2,2,4,5,4,5,4,5,5,5,4,3,4,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,3,4,2,1,2,3,2,5,4,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,,,,English teacher
2023-03-17 7:57:37,2023-03-17 8:04:25,0,71.174.81.214,100,407,1,2023-03-16T10:27:79,R_qO9XbHOfPf8kpfX,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,4,24,109,3789,9,,,,,,,,,,,,,,,,,,,,4,4,4,5,,,,,,,,,4,4,5,,,,,,,3,3,4,4,4,4,5,4,5,4,3,3,3,2,2,2,3,3,3,2,3,4,4,3,3,2,4,,,,,,3,2,4,3,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,Science teacher,,
2023-03-17 7:57:13,2023-03-17 8:04:28,0,71.174.81.214,100,434,1,2023-03-16T10:27:80,R_10IrqMBkH61HOqt,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,10,7,106,1846,11,3,3,4,,,,,,,,,,5,3,3,3,2,2,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,,,,,,,,,,,,3,4,3,3,4,3,4,4,2,1,2,,,,,,,,,,,,3,3,4,3,3,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,Math teacher,,,
2023-03-17 7:57:50,2023-03-17 8:04:30,0,71.174.81.214,100,399,1,2023-03-16T10:27:81,R_4U9QEzFTQHrYCkx,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,3,21,108,2848,10,4,4,5,,,,,,,,,,4,4,3,4,3,3,3,3,4,3,4,4,3,4,4,4,3,4,4,4,4,2,,,,,,,,,,,,5,5,5,5,4,4,3,3,3,4,4,,,,,,,,,,,,4,2,3,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,,,,English teacher
2023-03-17 7:58:14,2023-03-17 8:04:33,0,71.174.81.214,100,379,1,2023-03-16T10:27:82,R_2Sc6hSH3RNAYaYo,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,3,29,106,1845,12,,,,,,,,,,,,,,,,,,,,5,4,5,4,,,,,,,,,2,5,2,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,3,5,5,5,5,4,4,1,5,4,5,3,,,,,,5,4,5,5,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,Math teacher,,,
2023-03-17 7:58:50,2023-03-17 8:04:35,0,71.174.81.214,100,344,1,2023-03-16T10:27:83,R_1gi7Ic0AzmfAXGO,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,4,2,108,2810,10,,,,,,,,,,,,,5,3,3,4,2,2,3,,,,,3,3,3,3,,,,,,,,,,,,,,4,4,3,4,3,5,4,5,5,4,2,2,4,2,2,2,1,3,4,3,2,4,4,3,3,3,4,,,,,,,,,,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,"3,5",,EN,,,Social Studies teacher,
2023-03-17 7:58:00,2023-03-17 8:04:35,0,71.174.81.214,100,395,1,2023-03-16T10:27:84,R_1d6wlChDRtFlNuz,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,3,21,107,2632,11,,,,,,,,,,,,,2,3,2,5,2,2,1,,,,,5,5,5,5,,,,,,,,,,,,,,3,3,2,2,3,3,4,3,3,4,3,3,3,5,5,5,5,5,5,3,1,3,1,1,2,2,2,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,4,,5,,EN,,Science teacher,,
2023-03-17 7:58:33,2023-03-17 8:04:36,0,71.174.81.214,100,362,1,2023-03-16T10:27:85,R_1F54HiJRrCW0mmc,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,6,12,107,2653,11,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,,,,,,,,,,3,4,4,3,4,5,5,3,4,4,3,4,5,2,1,1,4,2,3,3,2,3,5,3,2,4,3,3,4,5,3,4,,,,,4,3,3,3,2,3,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,Social Studies teacher,
2023-03-17 8:00:34,2023-03-17 8:04:41,0,71.174.81.214,100,247,1,2023-03-16T10:27:86,R_Tuwpr6sMtFsyl9L,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,6,5,107,1826,11,,,,,,,,,,,,,2,2,2,2,3,2,4,,,,,1,3,1,2,,,,,,,,,,,,,,3,3,3,3,1,4,4,1,3,1,2,3,1,1,4,2,2,1,3,4,3,3,1,2,1,2,2,,,,,,,,,,2,5,2,4,4,3,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,,English teacher
2023-03-17 7:57:47,2023-03-17 8:04:42,0,71.174.81.214,100,414,1,2023-03-16T10:27:87,R_1ImcLFXNNvmJBv3,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,6,26,107,2585,11,3,3,4,,,,,,,,,,4,3,4,3,2,3,3,5,4,5,5,3,2,1,2,1,3,4,1,2,5,2,,,,,,,,,,,,5,3,4,5,4,4,3,4,3,4,3,,,,,,,,,,,,5,4,4,4,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,,English teacher
2023-03-17 7:56:54,2023-03-17 8:04:45,0,71.174.81.214,100,471,1,2023-03-16T10:27:88,R_1HhECScy1FNvEgN,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,12,26,105,3584,12,,,,,,,,,,,,,,,,,,,,1,4,1,1,,,,,,,,,1,1,1,,,,,,,4,4,2,4,1,5,5,4,5,4,3,3,4,2,1,1,3,3,3,3,3,2,1,3,3,2,3,,,,,,4,3,5,4,5,4,4,4,5,3,,,,,,,,,,,,,,,,,,,,,1,,4,,EN,Math teacher,,,
2023-03-17 7:57:15,2023-03-17 8:04:46,0,71.174.81.214,100,451,1,2023-03-16T10:27:89,R_31F6zGbMFW48Me7,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,6,9,105,3875,12,,,,,,,,,,,,,,,,,,,,4,3,2,2,,,,,,,,,4,2,2,,,,,,,3,3,3,2,3,5,5,5,5,3,2,3,3,2,5,5,1,4,3,3,3,2,4,2,2,2,3,,,,,,5,5,4,5,5,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,4,,EN,,,,English teacher
2023-03-17 7:57:17,2023-03-17 8:04:47,0,71.174.81.214,100,450,1,2023-03-16T10:27:90,R_2dg9qqpovgbuIff,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,1,,108,,10,3,3,4,,,,,,,,,,3,3,3,1,1,2,3,5,5,5,5,3,1,3,1,1,1,2,1,1,1,1,,,,,,,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,2,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,2,,EN,,,Social Studies teacher,
2023-03-17 7:57:17,2023-03-17 8:04:49,0,71.174.81.214,100,451,1,2023-03-16T10:27:91,R_Rwy7ST04BH9MZLX,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,4,17,107,2637,11,3,4,4,,,,,,,,,,4,3,4,2,3,4,3,3,4,1,2,4,3,3,2,3,4,5,3,4,5,4,,,,,,,4,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,4,4,4,5,5,5,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,,,Social Studies teacher,
2023-03-17 7:57:10,2023-03-17 8:04:49,0,71.174.81.214,100,459,1,2023-03-16T10:27:92,R_3qrO6RxjkJqZt0D,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,10,6,107,2815,10,1,1,2,,,,,,,,,,5,3,3,3,3,4,3,4,4,2,4,1,1,1,1,2,3,2,3,4,1,1,,,,,,,5,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,4,3,4,5,4,5,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,1,,5,,EN,Math teacher,,,
2023-03-17 7:59:20,2023-03-17 8:04:54,0,71.174.81.214,100,333,1,2023-03-16T10:27:93,R_3KIAdhUGB29RZ7p,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,8,20,106,2341,12,3,3,5,,,,,,,,,,4,3,4,4,1,1,1,4,4,3,4,5,4,4,4,4,5,5,3,4,5,5,,,,,,,3,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,5,,EN,,,,English teacher
